Site,Plot,tert,TPHA,QMD
CR,103,Encroaching,300,16.293250136176024
CR,103,Pine,250,39.02660630902974
CR,104,Encroaching,300,14.37770264448856
CR,104,Pine,250,29.442893879508517
CR,104,Upland oak,200,22.595187540713177
CR,105,Encroaching,300,25.733927022512518
CR,105,Pine,150,42.17143583042911
CR,105,Upland oak,150,24.275227427702227
CR,106,Encroaching,50,11.7
CR,106,Pine,350,27.238418246503016
CR,106,Upland oak,100,26.61522120892479
CR,107,Encroaching,100,10.818733752154177
CR,107,Pine,600,25.671222539385745
CR,107,Upland oak,150,16.013431862033823
Kreher,19,Encroaching,500,26.949916511930052
Kreher,19,Pine,300,34.540290483240966
Kreher,19,Upland oak,100,38.708267850680166
Kreher,20,Encroaching,600,19.684130664065407
Kreher,20,Pine,200,51.06233935103248
Kreher,21,Encroaching,600,19.84002688170222
Kreher,21,Pine,350,32.694757115738646
Kreher,22,Encroaching,600,22.743350676626346
Kreher,22,Pine,150,36.59025371142795
Kreher,23,Encroaching,550,20.37841995837754
Kreher,23,Pine,100,54.755319376294395
Kreher,23,Upland oak,100,36.30564694369183
MOT,24,Encroaching,500,20.953925646522656
MOT,24,Pine,250,39.50589829379912
MOT,25,Encroaching,350,18.49304888715912
MOT,25,Pine,300,37.72932104698767
MOT,26,Encroaching,700,15.231569659287064
MOT,26,Pine,50,67.2
MOT,27,Encroaching,700,19.328494878953048
MOT,27,Pine,50,50.3
MOT,27,Upland oak,50,14.5
MOT,28,Encroaching,350,24.873968033152362
MOT,28,Pine,500,27.665176666705023
MOT,28,Upland oak,50,22.6
MOT,29,Encroaching,350,14.23943217166431
MOT,29,Pine,250,23.55610324310878
MOT,29,Upland oak,150,33.244548425268164
MOT,30,Encroaching,700,18.442826712379453
MOT,30,Pine,200,33.34775104860896
MOT,30,Upland oak,100,27.511452160872935
MOT,31,Encroaching,450,16.793550349266035
MOT,31,Pine,400,31.73513431514037
MOT,32,Encroaching,1150,9.00538486249972
MOT,32,Pine,100,23.277993899818775
MOT,32,Upland oak,200,30.089034547489224
MOT,33,Encroaching,1150,12.046269492903276
MOT,33,Pine,300,26.929909023240317
MOT,33,Upland oak,150,20.807290389027912
MOT,52,Encroaching,350,16.703079271285795
MOT,52,Pine,200,24.537573229641108
MOT,52,Upland oak,150,28.916604226637677
MOT,53,Encroaching,350,17.803490829449313
MOT,53,Pine,200,32.852359123813315
MOT,53,Upland oak,100,28.778464170278443
MOT,54,Encroaching,550,17.664216525352757
MOT,54,Pine,600,23.368568633957878
MOT,55,Encroaching,700,21.036074457260998
MOT,55,Pine,300,31.3314272469885
MOT,55,Upland oak,150,19.155329980625933
MOT,56,Encroaching,550,18.66123838821578
MOT,56,Pine,100,41.83443557644826
MOT,57,Encroaching,550,17.075021629162396
MOT,57,Pine,100,49.97679461510112
MOT,57,Upland oak,200,21.336764047062058
MOT,58,Encroaching,250,28.712088046674697
MOT,58,Pine,50,50
MOT,58,Upland oak,200,22.918442355448157
MOT,59,Encroaching,600,19.122543415211968
MOT,59,Pine,100,62.001935453661446
MOT,60,Encroaching,450,20.49479608746246
MOT,60,Pine,500,30.900388347074216
Talladega,61,Encroaching,650,14.387548035073193
Talladega,61,Pine,200,28.068086860347286
Talladega,62,Encroaching,500,18.73240507783237
Talladega,62,Pine,450,29.404175818334977
Talladega,63,Encroaching,400,20.89084727817424
Talladega,63,Pine,300,36.98576302669267
Talladega,64,Encroaching,300,16.315687747277668
Talladega,64,Pine,300,30.550259136926044
Talladega,64,Upland oak,150,15.621139523094978
Talladega,65,Encroaching,550,21.229182316287687
Talladega,65,Pine,450,39.162907621030044
Talladega,66,Encroaching,700,29.130175812328062
Talladega,66,Pine,50,56.4
Talladega,67,Encroaching,400,20.226776806995225
Talladega,67,Pine,50,52
Talladega,67,Upland oak,100,49.176925483401256
Talladega,68,Encroaching,100,22.55271602268782
Talladega,68,Pine,100,26.18253234505784
Talladega,68,Upland oak,300,34.2020710873869
Talladega,69,Encroaching,50,12.1
Talladega,69,Pine,100,41.42541490437966
Talladega,69,Upland oak,100,69.8873736808016
Talladega,70,Encroaching,50,10
Talladega,70,Pine,200,41.95476730956805
Talladega,70,Upland oak,50,11.2
Talladega,72,Encroaching,50,11.3
Talladega,72,Pine,400,26.751635464023504
Talladega,72,Upland oak,50,18
Talladega,74,Encroaching,200,17.590480380023735
Talladega,74,Pine,150,29.515532633965233
Talladega,74,Upland oak,150,23.667769927336487
Talladega,75,Encroaching,450,15.328296274102568
Talladega,75,Pine,50,31.5
Talladega,75,Upland oak,50,40.6
Talladega,76,Encroaching,150,15.848238598237554
Talladega,76,Pine,150,34.091103433789485
Talladega,76,Upland oak,100,33.763071542737336
Talladega,77,Encroaching,200,31.02374090918115
Talladega,77,Pine,150,38.08433623770627
Talladega,77,Upland oak,150,21.287398463253638
Talladega,78,Encroaching,100,41.70587488591985
Talladega,78,Pine,50,49.2
Talladega,78,Upland oak,100,56.515484603779164
Talladega,79,Encroaching,250,26.449877126368662
Talladega,79,Pine,250,35.97993885486744
Talladega,79,Upland oak,50,20.6
Talladega,80,Encroaching,200,18.64932974666918
Talladega,80,Pine,150,47.98531025220114
Talladega,80,Upland oak,200,32.568965289060074
Talladega,81,Encroaching,150,17.189434739591256
Talladega,81,Pine,100,47.113957592204024
Talladega,81,Upland oak,150,40.017537821976674
Talladega,82,Encroaching,250,23.026159037060435
Talladega,82,Pine,200,37.3072043980784
Talladega,82,Upland oak,50,28.5
Talladega,83,Pine,250,23.7823463939116
Talladega,83,Upland oak,150,30.268740751254693
Talladega,84,Encroaching,150,31.94004800664311
Talladega,84,Pine,100,40.53998026639875
Talladega,84,Upland oak,50,40.4
Talladega,85,Pine,300,31.12640893732095
Talladega,85,Upland oak,50,47.4
Talladega,86,Encroaching,50,22.3
Talladega,86,Pine,350,24.200383704159968
Talladega,86,Upland oak,150,35.86609355180275
Talladega,87,Pine,300,34.22723087445628
Talladega,87,Upland oak,50,49.3
Talladega,88,Pine,100,52.475946870923636
Talladega,88,Upland oak,150,32.68098325734198
Talladega,89,Pine,150,49.61911593999501
Talladega,89,Upland oak,50,33.4
Talladega,91,Encroaching,100,12.490396310766124
Talladega,91,Pine,150,36.283421374874045
Talladega,91,Upland oak,250,36.76683287964847
Talladega,92,Encroaching,100,15.552009516457995
Talladega,92,Pine,200,39.65592641711955
Talladega,92,Upland oak,450,28.854808957953612
Talladega,93,Pine,450,27.407156405257044
Talladega,93,Upland oak,150,37.914157426129535
Talladega,94,Encroaching,100,16.930002953337013
Talladega,94,Pine,250,32.28841897646895
Talladega,94,Upland oak,150,23.21450695865267
Talladega,95,Encroaching,250,17.280624988697603
Talladega,95,Pine,100,53.015658064386976
Talladega,96,Encroaching,50,17.1
Talladega,96,Pine,200,44.443053450455
Talladega,96,Upland oak,250,19.717251329736605
Talladega,97,Encroaching,100,11.506954418958998
Talladega,97,Pine,150,48.453345257749405
Talladega,97,Upland oak,250,23.535802514467186
Talladega,98,Encroaching,250,26.522933472751465
Talladega,98,Pine,100,59.950521265456906
Talladega,99,Encroaching,400,36.69589554704994
Talladega,99,Pine,50,91.4
Talladega,100,Encroaching,50,15.9
Talladega,100,Pine,200,37.1806737432231
Talladega,100,Upland oak,100,39.6669257694619
Talladega,101,Encroaching,150,28.691055516775027
Talladega,101,Pine,300,28.70415184835346
Talladega,101,Upland oak,50,39.7
Talladega,102,Encroaching,100,13.042430755039492
Talladega,102,Pine,200,34.62101962681053
Talladega,102,Upland oak,50,44.6
Tuskegee,1,Encroaching,850,18.64409699988649
Tuskegee,1,Pine,250,35.77795410584568
Tuskegee,1,Upland oak,50,32.8
Tuskegee,2,Encroaching,450,16.328230495406142
Tuskegee,2,Pine,250,38.69764850737057
Tuskegee,2.2,Encroaching,300,14.524806367039803
Tuskegee,2.2,Pine,150,46.27688407833872
Tuskegee,3,Encroaching,450,19.258158444323453
Tuskegee,3,Pine,300,33.611828275177174
Tuskegee,3.2,Encroaching,600,15.591637715989512
Tuskegee,3.2,Pine,300,32.90934517732008
Tuskegee,6,Encroaching,250,28.807533736854325
Tuskegee,6,Pine,150,37.50706600095507
Tuskegee,6,Upland oak,150,29.71615722128283
Tuskegee,7,Encroaching,150,18.948086974679
Tuskegee,7,Pine,100,59.003050768583144
Tuskegee,7.2,Encroaching,650,19.717797505338634
Tuskegee,7.2,Pine,200,50.55939576379449
Tuskegee,8,Encroaching,200,34.689984145283205
Tuskegee,8,Pine,250,40.845489347050304
Tuskegee,9,Encroaching,200,26.880197171895894
Tuskegee,9,Pine,150,52.2934667684852
Tuskegee,9,Upland oak,150,39.766149759143985
Tuskegee,12,Pine,200,31.54512640646729
Tuskegee,12,Upland oak,200,27.31524299727169
Tuskegee,17,Encroaching,350,20.69541011915444
Tuskegee,17,Pine,450,31.061068880513435
Tuskegee,34,Encroaching,400,20.257498611625277
Tuskegee,34,Pine,200,44.4091206848323
Tuskegee,35,Encroaching,200,27.101844955648318
Tuskegee,35,Pine,150,46.24716207509386
Tuskegee,36,Encroaching,600,30.083204062510806
Tuskegee,36,Pine,150,40.048054467934726
Tuskegee,37,Encroaching,300,25.078144535298726
Tuskegee,37,Pine,200,39.161077615407876
Tuskegee,38,Encroaching,350,30.67427959335685
Tuskegee,38,Pine,50,61.3
Tuskegee,39,Encroaching,550,16.286776565947324
Tuskegee,39,Pine,350,30.050481336767778
Tuskegee,40,Encroaching,450,20.099944720764228
Tuskegee,40,Pine,150,54.65610670364292
Tuskegee,41,Encroaching,100,17.52441154504196
Tuskegee,41,Pine,500,29.48706496075864
Tuskegee,41,Upland oak,50,10.2
Tuskegee,42,Encroaching,200,24.23401535032938
Tuskegee,42,Pine,250,38.52915778991282
Tuskegee,43,Encroaching,250,20.605242051478065
Tuskegee,43,Pine,100,31.100482311372602
Tuskegee,44,Encroaching,250,31.42145763646238
Tuskegee,44,Pine,150,35.18849243715905
Tuskegee,45,Encroaching,300,20.595751989184564
Tuskegee,45,Pine,250,25.35077908073044
Tuskegee,45,Upland oak,50,40.6
Tuskegee,47,Encroaching,500,20.154180707734064
Tuskegee,47,Pine,150,31.882388032684545
Tuskegee,47,Upland oak,300,11.896357986095296
Tuskegee,48,Encroaching,300,28.147113528743937
Tuskegee,48,Pine,150,30.412552233137774
Tuskegee,49,Encroaching,200,29.439896399274232
Tuskegee,49,Pine,150,56.30441072124516
Tuskegee,50,Encroaching,800,19.0239815758952
Tuskegee,50,Pine,250,44.191311363208044
Tuskegee,51,Encroaching,350,19.240804853970413
Tuskegee,51,Pine,200,53.59717809735882
