stem_id,plot,date,location,species,dbh,canopy,genus_species,common_name,functional_group,treatment_number,thin_lvl,burn_szn,notes
1,1,20210517,1,QUNI,32.8,C,Quercus nigra,water oak,mesophyte,3,low,late,NA
2,1,20210517,1,JUVI,8.5,I,Juniperus virginiana,eastern red cedar,mesophyte,3,low,late,NA
3,1,20210517,1,LIST,19.2,I,Liquidambar styraciflua,sweetgum,mesophyte,3,low,late,NA
4,1,20210517,1,SW,14.5,I,Oxydendrum arboreum,sourwood,mesophyte,3,low,late,CHECK THIS
5,1,20210517,1,ACRU,14.5,I,Acer rubrum,red maple,mesophyte,3,low,late,NA
6,1,20210517,1,QUNI,6.4,I,Quercus nigra,water oak,mesophyte,3,low,late,NA
7,1,20210517,1,LIST,27.7,C,Liquidambar styraciflua,sweetgum,mesophyte,3,low,late,NA
8,1,20210517,1,CARYA,4.2,S,Carya sp.,hickory,mesophyte,3,low,late,NA
9,1,20210517,FB,QUAL,34,C,Quercus alba,white oak,hardwood pyro,3,low,NA,NA
10,1,20210517,FB,CARYA,6.5,I,Carya sp.,hickory,mesophyte,3,low,NA,NA
12,1,20210517,1,QUAL,7.3,I,Quercus alba,white oak,hardwood pyro,3,low,late,NA
13,1,20210517,1,PITA,39.8,C,Pinus taeda,loblolly pine,pine,3,low,late,NA
14,1,20210517,1,PITA,23.7,C,Pinus taeda,loblolly pine,pine,3,low,late,NA
15,1,20210517,1,LIST,20,C,Liquidambar styraciflua,sweetgum,mesophyte,3,low,late,NA
16,1,20210517,1,ACRU,3.5,S,Acer rubrum,red maple,mesophyte,3,low,late,NA
17,1,20210517,1,PITA,36.2,C,Pinus taeda,loblolly pine,pine,3,low,late,NA
18,1,20210517,1,PITA,45.6,D,Pinus taeda,loblolly pine,pine,3,low,late,NA
19,1,20210517,1,QUNI,24.8,C,Quercus nigra,water oak,mesophyte,3,low,late,NA
20,1,20210517,1,ACRU,10.8,I,Acer rubrum,red maple,mesophyte,3,low,late,NA
21,1,20210517,1,ACRU,3.8,S,Acer rubrum,red maple,mesophyte,3,low,late,NA
22,1,20210517,1,ULAL,24.4,C,Ulmus alata,winged elm,mesophyte,3,low,late,CHECK THIS
23,1,20210517,1,ACRU,4.2,S,Acer rubrum,red maple,mesophyte,3,low,late,NA
24,1,20210517,1,LIST,19.1,C,Liquidambar styraciflua,sweetgum,mesophyte,3,low,late,NA
25,1,20210517,1,JUVI,11.1,I,Juniperus virginiana,eastern red cedar,mesophyte,3,low,late,NA
26,1,20210517,1,JUVI,6.7,I,Juniperus virginiana,eastern red cedar,mesophyte,3,low,late,NA
27,1,20210517,1,LIST,11.8,I,Liquidambar styraciflua,sweetgum,mesophyte,3,low,late,NA
28,1,20210517,1,QUNI,16.7,I,Quercus nigra,water oak,mesophyte,3,low,late,NA
29,1,20210517,1,LIST,10.2,I,Liquidambar styraciflua,sweetgum,mesophyte,3,low,late,NA
30,1,20210517,1,QUNI,11.9,I,Quercus nigra,water oak,mesophyte,3,low,late,NA
31,1,20210517,FB,LIST,6.4,S,Liquidambar styraciflua,sweetgum,mesophyte,3,low,NA,NA
32,1,20210517,1,PRUNUS,9.5,I,Prunus sp.,cherry,mesophyte,3,low,late,NA
33,1,20210517,1,PITA,24.2,C,Pinus taeda,loblolly pine,pine,3,low,late,NA
34,1,20210517,1,PRUNUS,9.3,I,Prunus sp.,cherry,mesophyte,3,low,late,NA
35,1,20210517,1,PRUNUS,6.2,S,Prunus sp.,cherry,mesophyte,3,low,late,NA
36,1,20210517,1,PITA,14.6,I,Pinus taeda,loblolly pine,pine,3,low,late,NA
37,1,20210517,1,VACCI,1.2,S,Vaccinium sp.,blueberry,mesophyte,3,low,late,NA
38,1,20210517,1,VACCI,1.6,S,Vaccinium sp.,blueberry,mesophyte,3,low,late,NA
39,1,20210517,1,VACCI,1,S,Vaccinium sp.,blueberry,mesophyte,3,low,late,NA
40,1,20210517,1,CARYA,2.2,S,Carya sp.,hickory,mesophyte,3,low,late,NA
41,1,20210517,FB,LIST,17.1,I,Liquidambar styraciflua,sweetgum,mesophyte,3,low,NA,NA
42,1,20210517,FB,VACCI,1,S,Vaccinium sp.,blueberry,mesophyte,3,low,NA,NA
43,1,20210517,FB,QUNI,36.5,C,Quercus nigra,water oak,mesophyte,3,low,NA,NA
44,1,20210517,E,LIST,18.7,C,Liquidambar styraciflua,sweetgum,mesophyte,3,low,NA,NA
45,1,20210517,E,LIST,18.9,C,Liquidambar styraciflua,sweetgum,mesophyte,3,low,NA,NA
46,1,20210517,2,LIST,5,S,Liquidambar styraciflua,sweetgum,mesophyte,3,low,early,NA
47,1,20210517,2,QUNI,26.8,C,Quercus nigra,water oak,mesophyte,3,low,early,NA
48,1,20210517,2,ACRU,8.5,S,Acer rubrum,red maple,mesophyte,3,low,early,NA
49,1,20210517,2,VACCI,2,S,Vaccinium sp.,blueberry,mesophyte,3,low,early,NA
50,1,20210517,2,QUNI,26.3,I,Quercus nigra,water oak,mesophyte,3,low,early,NA
51,1,20210517,2,LIST,4.2,S,Liquidambar styraciflua,sweetgum,mesophyte,3,low,early,NA
52,1,20210517,FB,QUNI,16.4,I,Quercus nigra,water oak,mesophyte,3,low,NA,NA
53,1,20210517,2,JUVI,9,S,Juniperus virginiana,eastern red cedar,mesophyte,3,low,early,NA
54,1,20210517,2,JUVI,18.4,I,Juniperus virginiana,eastern red cedar,mesophyte,3,low,early,NA
55,1,20210517,2,VACCI,2,S,Vaccinium sp.,blueberry,mesophyte,3,low,early,NA
56,1,20210517,2,SW,16,I,Oxydendrum arboreum,sourwood,mesophyte,3,low,early,CHECK THIS
57,1,20210517,2,PITA,16.8,C,Pinus taeda,loblolly pine,pine,3,low,early,NA
58,1,20210517,2,LIST,1.5,S,Liquidambar styraciflua,sweetgum,mesophyte,3,low,early,NA
59,1,20210517,2,LIST,1.6,S,Liquidambar styraciflua,sweetgum,mesophyte,3,low,early,NA
60,1,20210517,2,LIST,1.2,S,Liquidambar styraciflua,sweetgum,mesophyte,3,low,early,NA
61,1,20210517,FB,CARYA,6.7,S,Carya sp.,hickory,mesophyte,3,low,NA,NA
62,1,20210517,FB,LIST,23.5,I,Liquidambar styraciflua,sweetgum,mesophyte,3,low,NA,NA
63,1,20210517,FB,PITA,4.3,S,Pinus taeda,loblolly pine,pine,3,low,NA,NA
64,1,20210517,2,PRUNUS,5,S,Prunus sp.,cherry,mesophyte,3,low,early,NA
65,1,20210517,2,VACCI,1.3,S,Vaccinium sp.,blueberry,mesophyte,3,low,early,NA
66,1,20210517,2,QUNI,15.6,I,Quercus nigra,water oak,mesophyte,3,low,early,NA
67,1,20210517,2,VACCI,1.2,S,Vaccinium sp.,blueberry,mesophyte,3,low,early,NA
68,1,20210517,2,PITA,14.8,I,Pinus taeda,loblolly pine,pine,3,low,early,NA
69,1,20210517,2,LIST,1.5,S,Liquidambar styraciflua,sweetgum,mesophyte,3,low,early,NA
70,1,20210517,2,LITU,5.2,S,Liquidambar styraciflua,tulip poplar,mesophyte,3,low,early,NA
71,1,20210517,2,PRUNUS,13.1,I,Prunus sp.,cherry,mesophyte,3,low,early,NA
72,1,20210517,2,LIST,1,S,Liquidambar styraciflua,sweetgum,mesophyte,3,low,early,NA
73,1,20210517,2,PRUNUS,11.9,S,Prunus sp.,cherry,mesophyte,3,low,early,NA
74,1,20210517,2,LIST,2.1,S,Liquidambar styraciflua,sweetgum,mesophyte,3,low,early,NA
75,1,20210517,2,JUVI,1.7,S,Juniperus virginiana,eastern red cedar,mesophyte,3,low,early,NA
76,1,20210517,2,LIST,8.3,S,Liquidambar styraciflua,sweetgum,mesophyte,3,low,early,NA
77,1,20210517,2,LIST,11.7,I,Liquidambar styraciflua,sweetgum,mesophyte,3,low,early,NA
78,1,20210517,2,QUNI,26.3,C,Quercus nigra,water oak,mesophyte,3,low,early,NA
79,1,20210517,2,PITA,5,S,Pinus taeda,loblolly pine,pine,3,low,early,NA
80,1,20210517,2,LIST,21.6,C,Liquidambar styraciflua,sweetgum,mesophyte,3,low,early,NA
81,1,20210517,2,VACCI,1,S,Vaccinium sp.,blueberry,mesophyte,3,low,early,NA
82,1,20210517,2,PIEC,31.4,C,Pinus echinata,shortleaf pine,pine,3,low,early,NA
83,1,20210517,2,VACCI,1,S,Vaccinium sp.,blueberry,mesophyte,3,low,early,NA
84,1,20210517,2,LIST,11.1,S,Liquidambar styraciflua,sweetgum,mesophyte,3,low,early,NA
85,1,20210517,2,VACCI,1,S,Vaccinium sp.,blueberry,mesophyte,3,low,early,NA
86,1,20210517,2,LIST,13.4,I,Liquidambar styraciflua,sweetgum,mesophyte,3,low,early,NA
87,1,20210517,2,VACCI,1.5,S,Vaccinium sp.,blueberry,mesophyte,3,low,early,NA
88,1,20210517,2,VACCI,2,S,Vaccinium sp.,blueberry,mesophyte,3,low,early,NA
89,1,20210517,2,VACCI,2.5,S,Vaccinium sp.,blueberry,mesophyte,3,low,early,NA
90,1,20210517,2,VACCI,3.5,S,Vaccinium sp.,blueberry,mesophyte,3,low,early,NA
91,1,20210517,2,LITU,10.5,I,Liquidambar styraciflua,tulip poplar,mesophyte,3,low,early,NA
92,1,20210517,2,PITA,12.7,I,Pinus taeda,loblolly pine,pine,3,low,early,NA
93,1,20210517,E,LIST,14.2,I,Liquidambar styraciflua,sweetgum,mesophyte,3,low,NA,NA
