Site,Plot,group,CWD,FWD,Herbs,Shrub,Duff,Litter
CR,103,Pine,0,3.1829995,0.12666666999999998,0.22499999999999998,2.863315,4.159584
CR,104,Mixed,0,0.69842085,0,0.011999999999999999,2.20255,4.1190325
CR,105,Mixed,0,4.30867172,0.050666670000000004,0.011999999999999999,2.20255,5.1261540000000005
CR,106,Pine,0,3.18181206,0.32,0.48,12.77479,5.128376
CR,107,Pine,0,3.6339682699999996,0.50666667,0.23099999999999998,5.72663,8.8141185
Kreher,19,Mixed,10.540178099999999,2.9521716199999997,0,1.41,7.708925,5.723316499999999
Kreher,20,Mixed,15.10142476,7.27865498,0.00667,1.56,9.911475,5.5916630000000005
Kreher,21,Mixed,3.02028495,2.2739058500000002,0.21333333,0.96,13.215300000000001,6.3154794999999995
Kreher,22,Mixed,13.86865539,1.3707494100000002,0.14666667,0.267,4.4051,7.340377
Kreher,23,Mixed,11.83458593,2.27387439,0.026666670000000003,0.66,6.6076500000000005,3.962937
MOT,24,Mixed,11.83458593,2.27387439,0.026666670000000003,2.2800000000000002,6.6076500000000005,5.492784
MOT,25,Pine,0,3.4031089399999996,0.10666666999999999,0.42000000000000004,2.20255,6.6360030000000005
MOT,26,Mixed,0,2.73081183,0.29333333,0.21000000000000002,2.20255,5.758313
MOT,27,Mixed,0,4.07899983,0.13333333,0.09,2.20255,3.658523
MOT,28,Mixed,2.21898486,10.865188450000002,0.03333333,0.72,0,7.2998255
MOT,29,Mixed,1.39842275,4.080187270000001,0,0.342,2.4228050000000003,8.1808485
MOT,30,Mixed,3.35159172,2.5023588400000003,0,1.476,0,4.635092
MOT,31,Pine,33.50050759,1.14348386,0.08,1.83,3.3038250000000002,6.496572499999999
MOT,32,Hardwood,1.87226848,5.912623890000001,0.05333333,0,7.708925,3.679632
MOT,33,Mixed,3.8755187,4.09324914,0.04,3.63,4.4051,3.881834
MOT,52,Mixed,0,2.27509329,0,0.468,4.4051,3.1702385
MOT,53,Mixed,4.55354185,2.06798281,0.04,0,3.3038250000000002,5.364463499999999
MOT,54,Mixed,0,3.63512426,0.0026699999999999996,0.03,4.4051,6.274372499999999
MOT,55,Mixed,0,1.36956197,0.02,0,2.20255,5.3944605
MOT,56,Mixed,3.94486198,4.98812494,0.034666670000000004,0.005999999999999999,2.4228050000000003,4.7645235
MOT,57,Mixed,14.10750446,9.276610119999999,0.48,0.6,3.3038250000000002,5.437234
MOT,58,Hardwood,30.903987110000003,5.4403126,0.06666667,0.36,3.52408,4.6967525
MOT,59,Mixed,0,0.91618686,0.06666667,0,3.3038250000000002,4.7111955
MOT,60,Mixed,22.274601519999997,1.8252490499999998,0.01333333,1.05,1.76204,7.2764945
Talladega,61,Mixed,2.18431323,9.06353098,0,0.54,8.8102,4.2501305
Talladega,62,Mixed,2.60037289,1.5944526300000001,0.05333333,0.15,7.708925,3.8868335
Talladega,63,Mixed,0,3.85885893,0,0.33,8.8102,4.6656445
Talladega,64,Mixed,11.81532392,3.4043278399999997,0.04666667,3,13.215300000000001,4.1173660000000005
