Site,Plot,group,Avg_CC,Avg_Shrub_Live,Avg_Shrub_Dead,Avg_Shrub_Ht,Avg_Herb_Live,Avg_Herb_Dead,Avg_Herb_Ht,Avg_Cones_m2,Avg_Acorns_m2,Avg_Balls_m2,Aspect,Slope,Avg_Depth_cm,Avg_Duff_cm,FWD_Mgha,CWD_Mgha,Pine_Seedlings100m2,UO_Seedlings100m2,Meso_Seedlings100m2,Pine_Saplings100m2,UO_Saplings100m2,Meso_Saplings100m2,Pine_litter_pct,UO_litter_pct,SG_litter_pct,WO_litter_pct,Meso_litter_pct,"Other_litter_pct_(summed SG, WO, Meso)",Avg_Pine_load_gm2,Avg_UO_load_gm2,Avg_SG_load_gm2,Avg_WO_load_gm2,Avg_Meso_load_gm2,"Other_litter_pct_(summed SG, WO, Meso)_gm2",Avg_Total_load,BA_m2ha,BA_ft2a,PineBA_m2ha,PineBA_ft2a,Pine_pctBAft2a,Pine_iv,UO_iv,Meso_iv
Tuskegee,1,30 - 70% Pine,91.33333333,0.666666667,0,6.666666667,8.666666667,0,16.66666667,2,0,0,N/A,0,3.25,0.75,5.667578153,0,0,0,265.4867257,0,0,27.77777778,54.84107579,0,11.24694377,33.25183374,0.660146699,45.15892421,373.79595,0,76.659,226.644,4.49955,307.80255,681.5985,51.9558161,226.3128399,24.84300639,108.2129346,47.81564078,102.8881045,45.71857933,151.3933161
Tuskegee,2,>70% Pine,91.33333333,0.333333333,0,13.33333333,40,0,30,5.666666667,0,0.666666667,N/A,0,2.25,0.625,2.059670714,0,0,0,619.4690265,0,0,194.4444444,36.13367371,0,16.88326758,42.10953818,4.873520538,63.86632629,172.9827,0,80.82525,201.59095,23.331,305.7472,478.7299,38.37685955,167.164655,29.06312414,126.5952237,75.73085575,161.4451415,0,138.5548585
Tuskegee,2.2,>70% Pine,89.94666667,10.33333333,0,56.66666667,43.33333333,0,36.66666667,2,0,0,W,3.3,1.75,0.25,1.816999863,3.020284953,0,0,0,0,0,0,38.79965135,0,15.09152036,22.31353505,23.79529324,61.20034865,173.0938,0,67.3266,99.5456,106.15605,273.02825,446.12205,29.85080338,130.026253,24.93748288,108.624462,83.5404078,166.8737411,0,133.1262589
Tuskegee,3,30 - 70% Pine,93.06666667,0.333333333,0,10,18.33333333,0,11.66666667,1,0,0,N/A,0,2.25,0.125,6.122109252,1.248178986,530.9734513,0,1946.902655,0,0,0,44.16435826,0,4.349030471,43.58264081,7.903970452,55.83564174,265.69565,0,26.16405,262.196,47.5508,335.91085,601.6065,39.2672053,171.0428863,26.31107933,114.6076711,67.00522517,157.0052252,0,142.9947748
Tuskegee,3.2,30 - 70% Pine,88.90666667,18.33333333,0,40,5,0,8.333333333,1.333333333,0,0,N/A,0,1.75,0.125,3.178249729,3.467163849,0,0,265.4867257,0,0,138.8888889,59.23348567,0,12.54673868,15.76651433,12.45326132,40.76651433,316.80165,0,67.1044,84.3249,66.60445,218.03375,534.8354,36.54594103,159.1894098,25.22277546,109.8671597,69.01662606,152.3499594,0,147.6500406
Tuskegee,6,30 - 70% Pine,93.41333333,56.66666667,0,100,6.666666667,0,15,0.333333333,0.333333333,0.333333333,N,6.6,2.75,0.375,1.601577287,0,0,0,353.9823009,0,27.77777778,83.33333333,42.8659885,26.46616541,2.043343653,14.28571429,14.33878815,30.66784609,269.1953,166.2056,12.83205,89.71325,90.04655,192.59185,627.99275,42.7700548,186.3008474,16.38138365,71.35519629,38.30105837,98.90711897,84.64802139,116.4448596
Tuskegee,7,>70% Pine,85.44,6.666666667,0,30,50,0,26.66666667,2,0,0.333333333,N/A,0,3.5,0,4.995218137,26.04225291,0,0,176.9911504,0,0,0,66.9820246,0,22.44297277,1.124776621,9.450226007,33.0179754,353.9646,0,118.59925,5.94385,49.93945,174.48255,528.44715,31.20677768,135.9327023,27.02601866,117.7218547,86.60304161,176.6030416,0,123.3969584
Tuskegee,7.2,30 - 70% Pine,90.29333333,2.333333333,0,46.66666667,36.66666667,0,30,3.666666667,0,0,N/A,0,2.75,0,2.948609294,17.79810775,0,0,176.9911504,0,0,0,70.79107505,0.792919048,9.524248571,4.76673428,14.12502305,28.4160059,426.5129,4.7773,57.38315,28.71935,85.1026,171.2051,602.4953,59.30708787,258.3340325,39.68870083,172.8788665,66.92067045,140.4500822,0,159.5499178
Tuskegee,8,30 - 70% Pine,74.34666667,36.66666667,0,73.33333333,23.33333333,0,20,1.666666667,0.666666667,0,NE,6,1.5,0.625,2.498796511,12.58580477,88.49557522,0,530.9734513,0,0,138.8888889,52.18338109,3.277936963,22.42979943,1.35243553,20.75644699,44.53868195,252.91915,15.8873,108.71135,6.5549,100.60105,215.8673,484.67375,51.06290854,222.4234497,32.378845,141.0380765,63.40971544,168.965271,0,131.034729
Tuskegee,9,30 - 70% Pine,86.13333333,11.66666667,0,60,46.66666667,0,13.33333333,2,0.333333333,0,N/A,0,2,0.125,3.413827378,26.68945683,0,0,442.4778761,0,0,27.77777778,47.7568318,0.438404209,4.413269034,29.38769546,18.0037995,51.80476399,181.5374,1.6665,16.7761,111.71105,68.4376,196.92475,380.12865,61.47585492,267.7809023,31.8433877,138.7056935,51.7982023,115.1315356,93.28678717,91.58167719
