Site,Plot,group,Avg_CC,Avg_Depth_cm,Avg_Duff_cm,Pine_pct,UO_pct,Meso_pct_sum,pine_iv,uo_iv,meso_iv
Tuskegee,1,bw3070,91.33333333,3.25,0.75,54.84107579,0,45.15892421,102.8881045,45.71857933,151.3933161
Tuskegee,2,above70,91.33333333,2.25,0.625,36.13367371,0,63.86632629,161.4451415,0,138.5548585
Tuskegee,2.2,above70,89.94666667,1.75,0.25,38.79965135,0,61.20034865,166.8737411,0,133.1262589
Tuskegee,3,bw3070,93.06666667,2.25,0.125,44.16435826,0,55.83564174,157.0052252,0,142.9947748
Tuskegee,3.2,bw3070,88.90666667,1.75,0.125,59.23348567,0,40.76651433,152.3499594,0,147.6500406
Tuskegee,6,bw3070,93.41333333,2.75,0.375,42.8659885,26.46616541,30.66784609,98.90711897,84.64802139,116.4448596
Tuskegee,7,above70,85.44,3.5,0,66.9820246,0,33.0179754,176.6030416,0,123.3969584
Tuskegee,7.2,bw3070,90.29333333,2.75,0,70.79107505,0.792919048,28.4160059,140.4500822,0,159.5499178
Tuskegee,8,bw3070,74.34666667,1.5,0.625,52.18338109,3.277936963,44.53868195,168.965271,0,131.034729
Tuskegee,9,bw3070,86.13333333,2,0.125,47.7568318,0.438404209,51.80476399,115.1315356,93.28678717,91.58167719
Tuskegee,12,bw3070,89.6,2.5,0.25,51.47069774,43.63690521,4.892397051,157.1493797,142.8506203,0
Tuskegee,17,above70,87.17333333,3,0.375,53.11540149,0,46.88459851,180.5839945,0,119.4160055
Kreher,19,bw3070,95.49333333,3.5,0.875,43.93865864,13.20003882,42.86130253,107.7635771,61.64899863,130.5874242
Kreher,20,bw3070,90.64,4,1.125,78.13431353,0.784820187,21.08086628,144.165258,0,155.834742
Kreher,21,bw3070,93.41333333,4.75,1.5,62.70560296,0.923564078,36.37083297,148.1442358,0,151.8557642
Kreher,22,bw3070,90.64,3.5,0.5,57.17420917,0.423792947,42.40199788,109.2867134,0,190.7132866
Kreher,23,bw3070,96.53333333,3.5,0.75,31.63723017,19.65236894,48.7104009,92.09114455,66.63701643,141.271839
MOT,24,bw3070,96.53333333,3,0.75,63.27872168,0.414644013,36.3066343,147.3272649,0,152.6727351
MOT,25,above70,93.41333333,2.5,0.25,78.19353759,0.401808137,21.40465428,174.2612192,0,125.7387808
MOT,26,bw3070,95.49333333,2.25,0.25,66.37082771,0,33.62917229,114.8316235,0,185.1683765
MOT,27,bw3070,96.53333333,2.25,0.25,32.62982083,1.24506529,66.12511388,71.32607322,42.22114901,186.4527778
MOT,28,bw3070,88.56,3.25,0,67.66608325,6.445475991,25.88844076,150.1404875,42.97647966,106.8830329
MOT,29,bw3070,89.6,4.25,0.275,34.98336389,40.59889998,24.41773613,103.6131256,97.48611292,98.90076145
MOT,30,bw3070,93.06666667,3.25,0,28.47555129,17.82118888,53.70325983,94.8131757,57.44898815,147.7378361
MOT,31,above70,96.18666667,3.5,0.375,76.60538692,2.727661394,20.66695169,173.1025076,0,126.8974924
MOT,32,below30,95.84,4,0.875,10.61292271,33.19746377,56.18961353,56.72411064,102.2436602,141.0322292
MOT,33,bw3070,94.10666667,3.25,0.5,32.74184316,24.79965655,42.45850029,100.4972839,57.15946343,142.3432527
Tuskegee,34,bw3070,86.13333333,2.25,0,45.62923138,8.243727599,46.12704102,153.9469692,0,146.0530308
Tuskegee,35,bw3070,88.56,2.75,0,37.59898905,14.32181971,48.07919124,161.4491697,0,138.5508303
Tuskegee,36,bw3070,84.05333333,1.5,0.375,47.12764362,0,52.87235638,100.7024266,0,199.2975734
Tuskegee,37,bw3070,88.90666667,2.75,0.375,70.21160161,0.519883254,29.26851514,151.9142013,0,148.0857987
Tuskegee,38,bw3070,93.76,2.25,0.375,36.29293584,0.220349968,63.48671419,98.82699702,0,201.173003
Tuskegee,39,bw3070,89.6,2,0.25,72.30936293,0,27.69063707,157.307247,0,142.692753
Tuskegee,40,bw3070,80.24,2.5,0.625,71.94651891,0,28.05348109,146.1375828,0,153.8624172
Tuskegee,41,above70,74,2.75,0.25,69.91405849,1.289122627,28.79681888,202.6261028,42.13090687,55.24299036
Tuskegee,42,above70,93.06666667,4.5,1.25,65.75929252,0,34.24070748,181.5150423,0,118.4849577
Tuskegee,43,bw3070,88.90666667,1.75,0,49.21837422,0,50.78162578,126.2497218,0,173.7502782
Tuskegee,44,bw3070,90.98666667,3,1.25,38.25123153,0.886699507,60.86206897,130.4382874,0,169.5617126
Tuskegee,45,bw3070,89.94666667,4.5,1.5,47.25450474,43.0856168,9.659878452,118.3833596,63.92141164,117.6952288
Tuskegee,47,bw3070,92.37333333,1.5,0.5,52.55446058,3.397302905,44.04823651,87.43015165,75.57918521,136.9906631
Tuskegee,48,bw3070,94.45333333,3.75,0.875,28.66979656,17.33959311,53.99061033,120.1910428,0,179.8089572
Tuskegee,49,above70,84.74666667,3,0.5,77.82989368,0,22.17010632,166.1427573,0,133.8572427
Tuskegee,50,bw3070,91.68,3.75,1.25,76.53576265,0,23.46423735,136.5828532,0,163.4171468
Tuskegee,51,above70,94.10666667,3.25,0.375,74.77044163,0,25.22955837,167.9611123,0,132.0388877
MOT,52,bw3070,94.10666667,2.5,0.5,20.34343788,54.93253899,24.72402313,96.96196128,91.27678213,111.7612566
MOT,53,bw3070,91.33333333,2.75,0.375,20.56539298,56.22864244,23.20596459,116.7999883,68.93703356,114.2629782
MOT,54,bw3070,90.64,2.75,0.5,71.72200089,0.2478973,28.03010181,167.8008565,0,132.1991435
MOT,55,bw3070,97.22666667,1.875,0.25,44.65039646,22.09865101,33.25095253,104.0886341,54.72493338,141.1864326
MOT,56,bw3070,97.22666667,2.25,0.275,31.40958377,41.68124053,26.9091757,113.131004,0,186.868996
MOT,57,bw3070,96.88,2,0.375,44.85083776,16.16264814,38.9865141,94.93447376,75.0303331,130.0351931
MOT,58,below30,95.14666667,2.375,0.4,25.03843879,58.39148433,16.57007688,71.9933952,97.4194786,130.5871262
MOT,59,bw3070,94.45333333,1.75,0.375,65.36964981,0.624926306,34.00542389,127.950307,0,172.049693
MOT,60,bw3070,95.84,2.75,0.2,87.87693717,0.244293458,11.87876937,174.2691842,0,125.7308158
Talladega,61,bw3070,94.8,3.5,1,67.1676905,0,32.8323095,127.4683638,0,172.5316362
Talladega,62,bw3070,97.22666667,3.5,0.875,65.45662427,6.488495069,28.05488066,166.2888744,0,133.7111256
Talladega,63,bw3070,98.26666667,3.125,1,71.91332301,0,28.08667699,163.0136506,0,136.9863494
Talladega,64,bw3070,96.53333333,3.5,1.5,67.08041015,16.97247706,15.94711279,143.957408,62.56581387,93.47677818
Talladega,65,above70,95.84,5,2.5,76.34294532,4.445944643,19.21111004,168.5758001,0,131.4241999
Talladega,66,below30,97.57333333,3.25,0.875,48.38115697,26.28510051,25.33374252,77.78731683,0,222.2126832
Talladega,67,below30,96.88,3.75,0.5,22.48445224,43.91644076,33.599107,67.42951351,96.24296026,136.3275262
Talladega,68,below30,80.93333333,3,0.375,4.750869061,83.57887767,11.67025327,67.90813356,167.9447659,64.14710055
Talladega,69,below30,93.06666667,2.75,0.375,48.567754,50.66058693,0.771659067,99.04789306,146.5218254,54.43028149
Talladega,70,above70,93.76,3.5,0.875,43.86027765,50.09404389,6.045678459,196.8974368,51.72633752,51.3762257
Talladega,71,above70,87.52,6.5,1,100,0,0,300,0,0
Talladega,72,above70,89.94666667,3,0.75,65.01112966,31.20478575,3.784084585,206.0207537,48.57869143,45.40055486
Talladega,74,bw3070,97.92,3.75,3,10.56260342,50.26199669,39.17539989,110.5792925,93.71265683,95.70805064
Talladega,75,below30,94.8,3,1.125,6.693892045,51.84659091,41.45951705,63.29078487,77.08846406,159.6207511
Talladega,76,bw3070,94.45333333,2.75,0.25,15.48898678,52.24669604,32.26431718,124.3089468,93.30097137,82.3900818
Talladega,77,bw3070,93.76,3,2,55.99846193,13.07357088,30.92796719,108.8456443,77.55273379,113.6016219
Talladega,78,below30,90.64,2,0.175,31.47736977,49.17164816,19.35098207,73.03351401,125.3215489,101.6449371
Talladega,79,bw3070,95.14666667,3.25,1.25,42.28132388,46.60756501,11.11111111,141.0553658,46.50654258,112.4380916
Talladega,80,bw3070,93.06666667,3.5,0.25,54.5029367,35.6754405,9.821622797,115.6835568,103.5271439,80.78929933
Talladega,81,bw3070,95.14666667,2.75,0.25,58.65433137,32.34650967,8.999158957,102.1577219,118.2584796,79.58379853
Talladega,82,bw3070,94.10666667,2.5,0.375,51.2961185,24.98971335,23.71416815,134.9828619,52.32777223,112.6893658
Talladega,83,bw3070,93.06666667,2.5,0.125,11.55283724,73.12266395,15.32449881,163.2119942,136.7880058,0
Talladega,84,bw3070,95.49333333,2.5,0.875,29.97294603,43.65655703,26.37049694,107.8587505,70.45405557,121.6871939
Talladega,85,above70,93.06666667,1.75,0.175,51.33075097,46.20767212,2.461576909,207.8384364,92.16156355,0
Talladega,86,bw3070,92.72,2,0.175,44.2099004,44.55180615,11.23829344,145.4511948,106.2436707,48.30513452
Talladega,87,above70,87.86666667,3.25,0.375,42.32434232,42.12454212,15.55111555,210.0206716,89.97932844,0
Talladega,88,bw3070,93.41333333,2,0.125,36.41533038,62.92505402,0.659615603,153.2198026,146.7801974,0
Talladega,89,above70,94.10666667,3.25,0.625,83.7229344,11.38640526,4.890660347,211.8784353,88.12156467,0
Talladega,91,bw3070,95.49333333,4,1.25,7.767784137,76.92831834,15.30389752,99.17079231,144.6646002,56.16460747
Talladega,92,bw3070,94.8,4,0.25,19.14578447,75.84248858,5.011726947,104.0888032,145.8540973,50.05709947
Talladega,93,bw3070,93.76,3.5,1,25.09616505,69.11061895,5.793215993,186.0537334,113.9462666,0
Talladega,94,bw3070,95.49333333,3.5,0.5,68.69348301,24.47770502,6.828811974,153.7496679,85.17320257,61.07712952
Talladega,95,above70,95.49333333,2.75,0.375,44.88086813,45.67114886,9.447983015,157.5844753,0,142.4155247
Talladega,96,above70,95.49333333,2.5,0.875,56.45188425,38.19818304,5.349932705,151.2729604,102.509125,46.21791457
Talladega,97,bw3070,95.84,3.5,0.5,42.97668858,45.56186491,11.4614465,133.2223057,110.816571,55.96112329
Talladega,98,bw3070,94.8,2.25,0.375,73.72190885,4.324469514,21.95362163,145.7159511,0,154.2840489
Talladega,99,bw3070,96.53333333,3.5,0.875,41.2126443,17.17553134,41.61182436,104.7881338,0,195.2118662
Talladega,100,bw3070,94.45333333,3,0.25,31.06445313,48.81835937,20.1171875,152.4024225,97.14730476,50.45027274
Talladega,101,bw3070,95.84,3.625,0.375,25.76331361,37.47928994,36.75739645,148.3279435,60.86650373,90.80555275
Talladega,102,bw3070,89.25333333,2.25,0.175,61.7896133,28.966432,9.243954699,157.7779088,75.5416679,66.68042331
CR,103,above70,94.45333333,3.5,0.325,63.51495726,8.333333333,28.1517094,178.1567022,0,121.8432978
CR,104,bw3070,96.18666667,2.25,0.25,55.09103169,31.63857047,13.27039784,123.5719694,86.81103861,89.61699204
CR,105,bw3070,97.92,3,0.25,58.33333333,18.14044213,23.52622453,106.5007247,74.2937037,119.2055716
CR,106,above70,94.8,2.5,1.45,70.19064125,16.95190641,12.85745234,180.3068703,74.33093973,45.36218996
CR,107,above70,74,3.25,0.65,88.29016197,10.41784836,1.291989664,192.66221,59.61292623,47.72486382
