Site,Plot,Avg_CC,Avg_Woody_Live,Avg_Woody_Ht,Avg_Herb_Live,Avg_Herb_Ht,Avg_Cones,Avg_Acorns,Avg_Balls,Slope,Avg_Depth_cm,Avg_Duff_cm,FWD_Mgha,CWD_Mgha,Pine_pct,UO_pct,Meso_all_pct,Avg_Pine_load,Avg_UO_load,Meso_all_load,Avg_Total_load
Tuskegee,1,1.960629308,-0.176091259,0.823908741,0.937852093,1.22184875,0.301029996,0,0,0,0.511883361,-0.124938737,0.753397518,0,1.739105966,0,1.654743587,2.572634592,0,2.622167247,2.833528626
Tuskegee,2,1.960629308,-0.477121255,1.124938736,1.602059991,1.477121255,0.753327667,0,-0.176091259,0,0.352182518,-0.204119983,0.313797794,0,1.557912119,0,1.805271936,2.238002672,0,2.374471604,2.680090553
Tuskegee,2.2,1.953985073,1.014240439,1.753327667,1.636822098,1.56427143,0.301029996,0,0,0.51851394,0.243038049,-0.602059991,0.259354895,0.480047919,1.588827823,0,1.786753896,2.238281512,0,2.369761442,2.649453689
Tuskegee,3,1.968794159,-0.477121255,1,1.263241435,1.06694679,0,0,0,0,0.352182518,-0.903089987,0.786901076,0.096276867,1.645071924,0,1.746911512,2.424384444,0,2.507223245,2.77931252
Tuskegee,3.2,1.948934328,1.263241435,1.602059991,0.698970004,0.920818754,0.124938736,0,0,0,0.243038049,-0.903089987,0.502188019,0.539974366,1.77256729,0,1.610303579,2.500787435,0,2.553358845,2.728220145
Tuskegee,6,1.97040887,1.753327667,2,0.823908741,1.176091259,-0.477121255,-0.477121255,-0.477121255,0.819543936,0.439332694,-0.425968732,0.204547901,0,1.632112843,1.422691022,1.486683275,2.430067473,2.220645652,2.668449981,2.79795463
Tuskegee,7,1.93166124,0.823908741,1.477121255,1.698970004,1.425968732,0.301029996,0,-0.477121255,0,0.544068044,0,0.698554458,1.415678552,1.82595827,0,1.51875044,2.54895983,0,2.587691411,2.72300156
Tuskegee,7.2,1.955655686,0.367976785,1.669006781,1.56427143,1.477121255,0.56427143,0,0,0,0.439332694,0,0.46961723,1.250373832,1.849978508,-0.100771149,1.453563034,2.629932171,0.679182515,2.662480367,2.779953663
Tuskegee,8,1.871261502,1.56427143,1.865301426,1.367976785,1.301029996,0.22184875,-0.176091259,0,0.77815125,0.176091259,-0.204119983,0.397730891,1.099880991,1.717532215,0.515600598,1.648737361,2.402981714,1.201050096,2.496022952,2.685449499
Tuskegee,9,1.935171255,1.06694679,1.77815125,1.669006781,1.124938736,0.301029996,-0.477121255,0,0,0.301029996,-0.903089987,0.533241557,1.426339735,1.679035508,-0.358125285,1.7143697,2.258966111,0.221805318,2.371083874,2.579930603
Tuskegee,12,1.95230801,1.753327667,2.028028724,0.823908741,1.176091259,0.425968732,0.124938736,0,1.037426498,0.397940009,-0.602059991,-0.162579592,0,1.711560056,1.639853942,0.689521696,2.584287793,2.512581679,2.853927462,2.872727737
Tuskegee,17,1.940383653,0.301029996,1.425968732,0.522878745,0.698970004,0,-0.477121255,0,0,0.477121255,-0.425968732,0.356545629,0,1.725220469,0,1.671030201,2.429708848,0,2.499491467,2.70448838
Kreher,19,1.979973053,1.263241435,1.653212514,0,0,0.903089987,-0.176091259,0,0.662757832,0.544068044,-0.057991947,0.470141601,1.022847949,1.642846795,1.120575208,1.632065365,2.400494558,1.878222972,2.568065725,2.757647763
Kreher,20,1.957319897,1.452297671,1.367976785,0.22184875,0.22184875,0,0,-0.176091259,0.69019608,0.602059991,0.051152522,0.862051134,1.179017923,1.892841801,-0.105229835,1.323888453,2.64038279,0.642311155,2.66498971,2.747540989
Kreher,21,1.97040887,1.477121255,1.22184875,1.124938736,1.22184875,0.602059991,0,0,0.838849091,0.67669361,0.176091259,0.356772478,0.480047919,1.797306348,-0.034532967,1.560753247,2.597712678,0.765873362,2.641691732,2.80040633
Kreher,22,1.957319897,0.954242509,1.176091259,1.301029996,0.920818754,0,0,-0.477121255,0.982271233,0.544068044,-0.301029996,0.136958067,1.142034357,1.757200166,-0.372846275,1.62738632,2.622918532,0.49287209,2.667633216,2.865718366
Kreher,23,1.984677303,1.124938736,1.477121255,0.522878745,0.522878745,0.636822098,0,0,1.089905111,0.544068044,-0.124938737,0.356766471,1.073153067,1.500198454,1.293414909,1.687621704,2.098215622,1.891432077,2.401345132,2.598017168
MOT,24,1.984677303,1.124938736,1.77815125,0.522878745,0.522878745,0.636822098,0,0,0.041392685,0.477121255,-0.124938737,0.356766471,1.073153067,1.801257697,-0.382324601,1.559985991,2.541050218,0.35746792,2.586767887,2.739792521
