Site,Plot,group,functional,seedling,sapling,BA_m2ha,BA_ft2a,Pine_m2ha,Pine_ft2a,Pine_pctBAft2a,pine_iv,uo_iv,meso_iv
Tuskegee,1,bw3070,pine,0,0,51.9558161,226.3128399,24.84300639,108.2129346,47.81564078,102.8881045,45.71857933,151.3933161
Tuskegee,2,above70,pine,0,0,38.37685955,167.164655,29.06312414,126.5952237,75.73085575,161.4451415,0,138.5548585
Tuskegee,2.2,above70,pine,0,0,29.85080338,130.026253,24.93748288,108.624462,83.5404078,166.8737411,0,133.1262589
Tuskegee,3,bw3070,pine,530.9734513,0,39.2672053,171.0428863,26.31107933,114.6076711,67.00522517,157.0052252,0,142.9947748
Tuskegee,3.2,bw3070,pine,0,0,36.54594103,159.1894098,25.22277546,109.8671597,69.01662606,152.3499594,0,147.6500406
Tuskegee,6,bw3070,pine,0,0,42.7700548,186.3008474,16.38138365,71.35519629,38.30105837,98.90711897,84.64802139,116.4448596
Tuskegee,7,above70,pine,0,0,31.20677768,135.9327023,27.02601866,117.7218547,86.60304161,176.6030416,0,123.3969584
Tuskegee,7.2,bw3070,pine,0,0,59.30708787,258.3340325,39.68870083,172.8788665,66.92067045,140.4500822,0,159.5499178
Tuskegee,8,bw3070,pine,88.49557522,0,51.06290854,222.4234497,32.378845,141.0380765,63.40971544,168.965271,0,131.034729
Tuskegee,9,bw3070,pine,0,0,61.47585492,267.7809023,31.8433877,138.7056935,51.7982023,115.1315356,93.28678717,91.58167719
Tuskegee,12,bw3070,pine,0,0,27.03436395,117.7582057,15.4499713,67.29808409,57.14937967,157.1493797,142.8506203,0
Tuskegee,17,above70,pine,0,0,45.34098734,197.4994983,33.70376704,146.8092662,74.33399451,180.5839945,0,119.4160055
Kreher,19,bw3070,pine,0,0,67.60785994,294.491126,27.78474167,121.0267544,41.09691046,107.7635771,61.64899863,130.5874242
Kreher,20,bw3070,pine,0,0,58.52973351,254.9479771,40.48224118,176.335426,69.16525798,144.165258,0,155.834742
Kreher,21,bw3070,pine,0,0,47.37855861,206.3748961,29.04406582,126.5122081,61.30213048,148.1442358,0,151.8557642
Kreher,22,bw3070,pine,0,0,39.68346076,172.8560415,15.59032748,67.90945756,39.28671337,109.2867134,0,190.7132866
Kreher,23,bw3070,pine,0,0,51.2384314,223.1880046,23.27478994,101.3819858,45.42447788,92.09114455,66.63701643,141.271839
MOT,24,bw3070,pine,5221.238938,0,47.33236839,206.1736975,30.28984343,131.9386549,63.99393157,147.3272649,0,152.6727351
MOT,25,above70,pine,1858.40708,0,42.44439429,184.8823121,33.15220138,144.4067172,78.10737305,174.2612192,0,125.7387808
MOT,26,bw3070,pine,3716.814159,0,30.13563018,131.2669218,17.52837628,76.35134838,58.16495682,114.8316235,0,185.1683765
MOT,27,bw3070,pine,4867.256637,0,30.93817568,134.7627066,9.820624633,42.77737542,31.74273989,71.32607322,42.22114901,186.4527778
MOT,28,bw3070,pine,0,27.77777778,48.50121404,211.2650385,29.70776893,129.4032133,61.25159859,150.1404875,42.97647966,106.8830329
MOT,29,bw3070,pine,0,27.77777778,29.1478968,126.9644825,10.76911573,46.90888041,36.94645896,103.6131256,97.48611292,98.90076145
