Site,Plot,group,Little_type,encr_pct,pine_pct,uo_pct,encr_load,uo_load,pine_load,total_load,BA_m2ha,BA_ft2a,Pine_m2ha,Pine_ft2a,Pine_pctBAft2a,pine_iv,uo_iv,meso_iv
Tuskegee,1,Mixed,Mesophyte,45.15892421,54.84107579,0,307.80255,0,373.79595,681.5985,51.9558161,226.3128399,24.84300639,108.2129346,47.8156408,102.8881045,45.71857933,151.3933161
Tuskegee,2,Pine,Mesophyte,63.8663263,36.13367371,0,305.7472,0,172.9827,478.7299,38.37685955,167.164655,29.06312414,126.5952237,75.73085572,161.4451415,0,138.5548585
Tuskegee,2.2,Pine,Mesophyte,61.20034865,38.79965135,0,273.02825,0,173.0938,446.12205,29.85080338,130.026253,24.93748288,108.624462,83.5404078,166.8737411,0,133.1262589
Tuskegee,3,Mixed,Mesophyte,55.83564173,44.16435826,0,335.91085,0,265.69565,601.6065,39.2672053,171.0428863,26.31107933,114.6076711,67.00522517,157.0052252,0,142.9947748
Tuskegee,3.2,Mixed,Mesophyte,40.76651433,59.23348567,0,218.03375,0,316.80165,534.8354,36.54594103,159.1894098,25.22277546,109.8671597,69.01662607,152.3499594,0,147.6500406
Tuskegee,6,Mixed,Mesophyte,30.66784609,42.8659885,26.46616541,192.59185,166.2056,269.1953,627.99275,42.7700548,186.3008474,16.38138365,71.35519629,38.30105836,98.90711897,84.64802139,116.4448596
Tuskegee,7,Pine,Mesophyte,33.0179754,66.9820246,0,174.48255,0,353.9646,528.44715,31.20677768,135.9327023,27.02601866,117.7218547,86.60304158,176.6030416,0,123.3969584
Tuskegee,7.2,Mixed,Mesophyte,28.4160059,70.79107505,0.792919048,171.2051,4.7773,426.5129,602.4953,59.30708787,258.3340325,39.68870083,172.8788665,66.92067043,140.4500822,0,159.5499178
Tuskegee,8,Mixed,Mesophyte,44.53868195,52.18338109,3.277936963,215.8673,15.8873,252.91915,484.67375,51.06290854,222.4234497,32.378845,141.0380765,63.40971543,168.965271,0,131.034729
Tuskegee,9,Mixed,Mesophyte,51.80476399,47.7568318,0.438404209,196.92475,1.6665,181.5374,380.12865,61.47585492,267.7809023,31.8433877,138.7056935,51.7982023,115.1315356,93.28678717,91.58167719
Tuskegee,12,Mixed,Mesophyte,4.892397051,51.47069774,43.63690521,36.49635,325.523,383.9616,745.98095,27.03436395,117.7582057,15.4499713,67.29808409,57.14937969,157.1493797,142.8506203,0
Tuskegee,17,Pine,Mesophyte,46.88459851,53.11540149,0,237.4207,0,268.9731,506.3938,45.34098734,197.4994983,33.70376704,146.8092662,74.3339945,180.5839945,0,119.4160055
Kreher,19,Mixed,Mesophyte,42.86130254,43.93865864,13.20003882,245.3088,75.548,251.47485,572.33165,67.60785994,294.491126,27.78474167,121.0267544,41.09691047,107.7635771,61.64899863,130.5874242
Kreher,20,Mixed,Mesophyte,21.08086628,78.13431353,0.784820187,117.8771,4.38845,436.90075,559.1663,58.52973351,254.9479771,40.48224118,176.335426,69.16525795,144.165258,0,155.834742
Kreher,21,Mixed,Mesophyte,36.37083296,62.70560296,0.923564078,229.69925,5.83275,396.01595,631.54795,47.37855861,206.3748961,29.04406582,126.5122081,61.30213049,148.1442358,0,151.8557642
Kreher,22,Mixed,Mesophyte,42.40199789,57.17420917,0.423792947,311.24665,3.1108,419.68025,734.0377,39.68346076,172.8560415,15.59032748,67.90945756,39.28671337,109.2867134,0,190.7132866
Kreher,23,Mixed,Mesophyte,48.71040089,31.63723017,19.65236894,193.03625,77.8811,125.37635,396.2937,51.2384314,223.1880046,23.27478994,101.3819858,45.42447789,92.09114455,66.63701643,141.271839
MOT,24,Mixed,Mesophyte,36.30663431,63.27872168,0.414644013,199.4245,2.27755,347.57635,549.2784,47.33236839,206.1736975,30.28984343,131.9386549,63.99393157,147.3272649,0,152.6727351
MOT,25,Pine,Mesophyte,21.40465428,78.19353759,0.401808137,142.04135,2.6664,518.89255,663.6003,42.44439429,184.8823121,33.15220138,144.4067172,78.10737304,174.2612192,0,125.7387808
MOT,26,Mixed,Mesophyte,33.6291723,66.37082771,0,193.6473,0,382.184,575.8313,30.13563018,131.2669218,17.52837628,76.35134838,58.16495682,114.8316235,0,185.1683765
MOT,27,Mixed,Mesophyte,66.12511388,32.62982083,1.24506529,241.92025,4.5551,119.37695,365.8523,30.93817568,134.7627066,9.820624633,42.77737542,31.74273989,71.32607322,42.22114901,186.4527778
MOT,28,Mixed,Mesophyte,25.88844076,67.66608325,6.445475991,188.9811,47.05085,493.9506,729.98255,48.50121404,211.2650385,29.70776893,129.4032133,61.25159857,150.1404875,42.97647966,106.8830329
MOT,29,Mixed,Mesophyte,24.41773613,34.98336389,40.59889998,199.7578,332.13345,286.1936,818.08485,29.1478968,126.9644825,10.76911573,46.90888041,36.94645895,103.6131256,97.48611292,98.90076145
MOT,30,Mixed,Mesophyte,53.70325983,28.47555129,17.82118888,248.91955,82.60285,131.9868,463.5092,41.62546872,181.3151779,17.26617881,75.20924999,41.47984237,94.8131757,57.44898815,147.7378361
MOT,31,Pine,Mesophyte,20.66695169,76.60538692,2.727661394,134.26435,17.72045,497.67245,649.65725,41.1254498,179.1371599,31.27330713,136.222496,76.04368411,173.1025076,0,126.8974924
MOT,32,Hardwood,Mesophyte,56.18961353,10.61292271,33.19746377,206.7571,122.15445,39.05165,367.9632,25.50306087,111.0880468,4.20653239,18.32311304,16.49422559,56.72411064,102.2436602,141.0322292
MOT,33,Mixed,Mesophyte,42.45850029,32.74184316,24.79965655,164.81685,96.26815,127.0984,388.1834,34.88619806,151.9597833,16.88978668,73.56973436,48.41395056,100.4972839,57.15946343,142.3432527
Tuskegee,34,Mixed,Mesophyte,46.12704102,45.62923138,8.243727599,257.36315,45.9954,254.58565,557.9442,43.36295877,188.8834607,30.62016178,133.377479,70.61363579,153.9469692,0,146.0530308
Tuskegee,35,Mixed,Mesophyte,48.07919124,37.59898905,14.32181971,317.02385,94.435,247.91965,659.3785,36.30955574,158.159746,24.90546024,108.4849755,68.59202689,161.4491697,0,138.5508303
Tuskegee,36,Mixed,Mesophyte,52.87235639,47.12764362,0,195.81375,0,174.5381,370.35185,60.82954107,264.9656424,18.67614521,81.35088196,30.70242663,100.7024266,0,199.2975734
Tuskegee,37,Mixed,Mesophyte,29.26851514,70.21160161,0.519883254,178.25995,3.16635,427.6239,609.0502,38.45759541,167.51633,23.81071303,103.7163977,61.91420126,151.9142013,0,148.0857987
