Site,Plot,Little_type,Pct_wt,Load_wt,BA_m2ha,BA_ft2a,Pine_m2ha,Pine_ft2a,Pine_pctBAft2a
CR,103,Pinus,63.51495726,264.1958,35.74192054,155.6872002,29.55933916,128.7566724,82.70215678
CR,104,Pinus,55.09103169,226.92175,29.56523909,128.7823717,16.82418879,73.28399842,56.90530268
CR,105,Pinus,58.33333333,299.02565,42.99401918,187.2764074,20.70909746,90.20615998,48.16739131
CR,106,Pinus,70.19064125,359.964,26.18927686,114.0771153,20.15881271,87.8091905,76.97353695
CR,107,Pinus,88.29016197,778.19995,34.59034771,150.6710973,30.69569639,133.7064981,88.74064137
Kreher,19,Pinus,43.93865864,251.47485,67.60785994,294.491126,27.78474167,121.0267544,41.09691047
Kreher,20,Pinus,78.13431353,436.90075,58.52973351,254.9479771,40.48224118,176.335426,69.16525795
Kreher,21,Pinus,62.70560296,396.01595,47.37855861,206.3748961,29.04406582,126.5122081,61.30213049
Kreher,22,Pinus,57.17420917,419.68025,39.68346076,172.8560415,15.59032748,67.90945756,39.28671337
Kreher,23,Pinus,31.63723017,125.37635,51.2384314,223.1880046,23.27478994,101.3819858,45.42447789
MOT,24,Pinus,63.27872168,347.57635,47.33236839,206.1736975,30.28984343,131.9386549,63.99393157
MOT,25,Pinus,78.19353759,518.89255,42.44439429,184.8823121,33.15220138,144.4067172,78.10737304
MOT,26,Pinus,66.37082771,382.184,30.13563018,131.2669218,17.52837628,76.35134838,58.16495682
MOT,27,Pinus,32.62982083,119.37695,30.93817568,134.7627066,9.820624633,42.77737542,31.74273989
MOT,28,Pinus,67.66608325,493.9506,48.50121404,211.2650385,29.70776893,129.4032133,61.25159857
MOT,29,Pinus,34.98336389,286.1936,29.1478968,126.9644825,10.76911573,46.90888041,36.94645895
MOT,30,Pinus,28.47555129,131.9868,41.62546872,181.3151779,17.26617881,75.20924999,41.47984237
MOT,31,Pinus,76.60538692,497.67245,41.1254498,179.1371599,31.27330713,136.222496,76.04368411
MOT,32,Pinus,10.61292271,39.05165,25.50306087,111.0880468,4.20653239,18.32311304,16.49422559
MOT,33,Pinus,32.74184316,127.0984,34.88619806,151.9597833,16.88978668,73.56973436,48.41395056
MOT,52,Pinus,20.34343788,64.49355,26.66546317,116.1513215,9.34816459,40.71940035,35.05719937
MOT,53,Pinus,20.56539298,110.3223,31.79851719,138.5102433,16.75699948,72.99133043,52.69742417
MOT,54,Pinus,71.72200089,450.01055,38.75845293,168.8268266,25.435988,110.795886,65.62694344
MOT,55,Pinus,44.65039646,240.8648,51.18172223,222.9409868,22.86202786,99.58404735,44.6683442
MOT,56,Pinus,31.40958377,149.6517,28.45512101,123.9468404,13.58629265,59.18014005,47.74638858
MOT,57,Pinus,44.85083776,243.8645,38.90657218,169.4720149,19.38964838,84.4588098,49.83643456
MOT,58,Pinus,25.03843879,117.59935,33.85836845,147.48269,9.703829343,42.26863019,28.66006186
MOT,59,Pinus,65.36964981,307.9692,46.87547329,204.1835213,29.84307913,129.9926071,63.66459265
MOT,60,Pinus,87.87693717,639.43605,51.73565562,225.3538492,37.06218475,161.4381009,71.63760525
Talladega,61,Pinus,67.1676905,285.47145,22.67703405,98.77823818,12.23175452,53.2799465,53.93895202
Talladega,62,Pinus,65.45662427,254.419,43.82435645,190.8932495,30.20394514,131.5644929,68.92045331
Talladega,63,Pinus,71.91332301,335.522,45.41042795,197.8019726,31.85837041,138.7709562,70.15650773
Talladega,64,Pinus,67.08041015,276.1946,30.77736382,134.0622308,21.73622839,94.68020995,70.62407464
Talladega,65,Pinus,76.34294532,439.7338,72.82164981,317.2017228,53.57911149,233.3837055,73.57580011
Talladega,66,Pinus,48.38115697,175.14915,58.45936134,254.641445,12.34699719,53.78192875,21.12065016
Talladega,67,Pinus,22.48445224,78.3255,41.97379738,182.8324527,10.49566182,45.71775041,25.00527107
Talladega,68,Pinus,4.750869061,15.94285,36.51353024,159.0482326,5.321774088,23.18096217,14.57480023
Talladega,69,Pinus,48.567754,230.7547,51.80692054,225.6642701,13.32192152,58.02857349,25.71455971
Talladega,70,Pinus,43.86027765,272.02835,28.20417999,122.8537736,27.32912747,119.0421576,96.89743678
Talladega,71,Pinus,100,1113.5553,33.29764238,145.0402395,33.29764238,145.0402395,100
Talladega,72,Pinus,65.01112966,259.58515,23.97579457,104.4354716,22.2225455,96.79854462,92.68742041
Talladega,74,Pinus,10.56260342,42.5513,21.4714303,93.52678357,10.1443832,44.187626,47.24595919
Talladega,75,Pinus,6.693892045,20.94235,18.45753735,80.39865426,3.851449866,16.77641932,20.86654245
Talladega,76,Pinus,15.48898678,48.82845,25.30758693,110.2365875,13.53338737,58.94969148,53.47561351
Talladega,77,Pinus,55.99846193,242.69795,37.10977233,161.6453863,16.88951497,73.56855084,45.51231094
Talladega,78,Pinus,31.47736977,102.37865,47.69393307,207.7486266,9.395790984,40.92685479,19.70018067
Talladega,79,Pinus,42.28132388,198.70235,40.34898819,175.7549932,25.124301,109.4382176,62.26748703
Talladega,80,Pinus,54.5029367,278.36105,48.68182171,212.0517423,26.81272849,116.7927902,55.07749615
Talladega,81,Pinus,58.65433137,387.4057,39.32026584,171.2740112,17.23186607,75.05978811,43.82438852
Talladega,82,Pinus,51.2961185,207.757,35.05248288,152.6840986,21.60969046,94.12902701,61.64952858
Talladega,83,Pinus,11.55283724,37.774,21.64571107,94.28592817,10.97697175,47.81427447,50.71199425
Talladega,84,Pinus,29.97294603,116.93275,30.97322591,134.9153809,12.75851719,55.57445682,41.19208384
Talladega,85,Pinus,51.33075097,228.1994,31.28468002,136.2720348,22.56380977,98.28504781,72.12415075
Talladega,86,Pinus,44.2099004,165.2057,32.82234882,142.969922,15.91276633,69.3139596,48.48149781
Talladega,87,Pinus,42.32434232,211.81215,36.71738828,159.936212,27.28336421,118.8428188,74.30638585
Talladega,88,Pinus,36.41533038,177.8711,33.81431307,147.2907904,21.37734197,93.11694693,63.21980259
Talladega,89,Pinus,83.7229344,431.7346,32.99973482,143.7425925,28.66965327,124.8813153,86.87843535
Talladega,91,Pinus,7.767784137,31.6635,42.77634288,186.3282374,15.32995433,66.77530567,35.83745899
Talladega,92,Pinus,19.14578447,86.15805,55.37975406,241.2270725,24.41627079,106.3541293,44.08880322
Talladega,93,Pinus,25.09616505,119.59915,42.97950225,187.2131735,26.24059071,114.3006318,61.05373338
Talladega,94,Pinus,68.69348301,244.7533,28.73381499,125.1607955,20.2332993,88.13364451,70.41633457
Talladega,95,Pinus,44.88086813,211.36775,27.61484702,120.2867152,21.81933199,95.0421985,79.01304674
Talladega,96,Pinus,56.45188425,372.79605,39.34708722,171.3908417,30.66697306,133.5813829,77.9396271
Talladega,97,Pinus,42.97668858,159.7618,39.11679594,170.3877226,27.3383267,119.0822283,69.88897233
