time,plot,treatment,open,one_minus,pct_cc,description
7/1/2021,1,Before Thinning,3,93,96.72,Before Thinning
7/1/2021,1,Before Thinning,2,94,97.76,pre_thin_THIN
7/1/2021,1,Before Thinning,2,94,97.76,pre_thin_THIN
7/1/2021,1,Before Thinning,2,94,97.76,pre_thin_THIN
7/1/2021,1,Before Thinning,2,94,97.76,pre_thin_THIN
7/1/2021,1,Before Thinning,4,92,95.68,pre_thin_THIN
7/1/2021,1,Before Thinning,2,94,97.76,pre_thin_THIN
7/1/2021,1,Before Thinning,3,93,96.72,pre_thin_THIN
7/1/2021,2,Before Thinning,2,94,97.76,pre_thin_THIN
7/1/2021,2,Before Thinning,4,92,95.68,pre_thin_THIN
7/1/2021,2,Before Thinning,2,94,97.76,pre_thin_THIN
7/1/2021,2,Before Thinning,2,94,97.76,pre_thin_THIN
7/1/2021,2,Before Thinning,5,91,94.64,pre_thin_THIN
7/1/2021,2,Before Thinning,4,92,95.68,pre_thin_THIN
7/1/2021,2,Before Thinning,5,91,94.64,pre_thin_THIN
7/1/2021,2,Before Thinning,2,94,97.76,pre_thin_THIN
7/1/2021,3,Before Thinning,0,96,99.84,pre_thin_THIN
7/1/2021,3,Before Thinning,1,95,98.8,pre_thin_THIN
7/1/2021,3,Before Thinning,1,95,98.8,pre_thin_THIN
7/1/2021,3,Before Thinning,1,95,98.8,pre_thin_THIN
7/1/2021,3,Before Thinning,3,93,96.72,pre_thin_THIN
7/1/2021,3,Before Thinning,0,96,99.84,pre_thin_THIN
7/1/2021,3,Before Thinning,1,95,98.8,pre_thin_THIN
7/1/2021,3,Before Thinning,0,96,99.84,pre_thin_THIN
7/1/2021,4,Before Thinning,1,95,98.8,pre_thin_THIN
7/1/2021,4,Before Thinning,1,95,98.8,pre_thin_THIN
7/1/2021,4,Before Thinning,2,94,97.76,pre_thin_THIN
7/1/2021,4,Before Thinning,1,95,98.8,pre_thin_THIN
7/1/2021,4,Before Thinning,1,95,98.8,pre_thin_THIN
7/1/2021,4,Before Thinning,1,95,98.8,pre_thin_THIN
7/1/2021,4,Before Thinning,2,94,97.76,pre_thin_THIN
7/1/2021,4,Before Thinning,1,95,98.8,pre_thin_THIN
7/1/2021,5,Before Thinning,2,94,97.76,pre_thin_THIN
7/1/2021,5,Before Thinning,1,95,98.8,pre_thin_THIN
7/1/2021,5,Before Thinning,4,92,95.68,pre_thin_THIN
7/1/2021,5,Before Thinning,1,95,98.8,pre_thin_THIN
7/1/2021,5,Before Thinning,2,94,97.76,pre_thin_THIN
7/1/2021,5,Before Thinning,1,95,98.8,pre_thin_THIN
7/1/2021,5,Before Thinning,1,95,98.8,pre_thin_THIN
7/1/2021,5,Before Thinning,1,95,98.8,pre_thin_THIN
7/1/2021,6,Before Thinning,0,96,99.84,pre_thin_THIN
7/1/2021,6,Before Thinning,2,94,97.76,pre_thin_THIN
7/1/2021,6,Before Thinning,0,96,99.84,pre_thin_THIN
7/1/2021,6,Before Thinning,1,95,98.8,pre_thin_THIN
7/1/2021,6,Before Thinning,2,94,97.76,pre_thin_THIN
7/1/2021,6,Before Thinning,0,96,99.84,pre_thin_THIN
7/1/2021,6,Before Thinning,0,96,99.84,pre_thin_THIN
7/1/2021,6,Before Thinning,0,96,99.84,pre_thin_THIN
7/1/2021,7,Before Thinning,1,95,98.8,pre_thin_THIN
7/1/2021,7,Before Thinning,2,94,97.76,pre_thin_THIN
7/1/2021,7,Before Thinning,5,91,94.64,pre_thin_THIN
7/1/2021,7,Before Thinning,1,95,98.8,pre_thin_THIN
7/1/2021,7,Before Thinning,2,94,97.76,pre_thin_THIN
7/1/2021,7,Before Thinning,1,95,98.8,pre_thin_THIN
7/1/2021,7,Before Thinning,2,94,97.76,pre_thin_THIN
7/1/2021,7,Before Thinning,5,91,94.64,pre_thin_THIN
7/1/2021,8,Before Thinning,3,93,96.72,pre_thin_THIN
7/1/2021,8,Before Thinning,3,93,96.72,pre_thin_THIN
7/1/2021,8,Before Thinning,2,94,97.76,pre_thin_THIN
7/1/2021,8,Before Thinning,1,95,98.8,pre_thin_THIN
7/1/2021,8,Before Thinning,1,95,98.8,pre_thin_THIN
7/1/2021,8,Before Thinning,2,94,97.76,pre_thin_THIN
7/1/2021,8,Before Thinning,1,95,98.8,pre_thin_THIN
7/1/2021,8,Before Thinning,1,95,98.8,pre_thin_THIN
7/1/2021,9,Before Thinning,1,95,98.8,pre_thin_THIN
7/1/2021,9,Before Thinning,2,94,97.76,pre_thin_THIN
7/1/2021,9,Before Thinning,2,94,97.76,pre_thin_THIN
7/1/2021,9,Before Thinning,3,93,96.72,pre_thin_THIN
7/1/2021,9,Before Thinning,3,93,96.72,pre_thin_THIN
7/1/2021,9,Before Thinning,0,96,99.84,pre_thin_THIN
7/1/2021,9,Before Thinning,2,94,97.76,pre_thin_THIN
7/1/2021,9,Before Thinning,2,94,97.76,pre_thin_THIN
7/1/2021,10,Before Thinning,2,94,97.76,pre_thin_THIN
7/1/2021,10,Before Thinning,3,93,96.72,pre_thin_THIN
7/1/2021,10,Before Thinning,2,94,97.76,pre_thin_THIN
7/1/2021,10,Before Thinning,3,93,96.72,pre_thin_THIN
7/1/2021,10,Before Thinning,1,95,98.8,pre_thin_THIN
7/1/2021,10,Before Thinning,1,95,98.8,pre_thin_THIN
7/1/2021,10,Before Thinning,0,96,99.84,pre_thin_THIN
7/1/2021,10,Before Thinning,1,95,98.8,pre_thin_THIN
7/1/2021,11,Before Thinning,2,94,97.76,pre_thin_THIN
7/1/2021,11,Before Thinning,6,90,93.6,pre_thin_THIN
7/1/2021,11,Before Thinning,1,95,98.8,pre_thin_THIN
7/1/2021,11,Before Thinning,4,92,95.68,pre_thin_THIN
7/1/2021,11,Before Thinning,1,95,98.8,pre_thin_THIN
7/1/2021,11,Before Thinning,2,94,97.76,pre_thin_THIN
7/1/2021,11,Before Thinning,1,95,98.8,pre_thin_THIN
7/1/2021,11,Before Thinning,0,96,99.84,pre_thin_THIN
7/1/2021,12,Before Thinning,2,94,97.76,pre_thin_THIN
7/1/2021,12,Before Thinning,4,92,95.68,pre_thin_THIN
7/1/2021,12,Before Thinning,2,94,97.76,pre_thin_THIN
7/1/2021,12,Before Thinning,2,94,97.76,pre_thin_THIN
7/1/2021,12,Before Thinning,1,95,98.8,pre_thin_THIN
7/1/2021,12,Before Thinning,1,95,98.8,pre_thin_THIN
7/1/2021,12,Before Thinning,1,95,98.8,pre_thin_THIN
7/1/2021,12,Before Thinning,2,94,97.76,pre_thin_THIN
9/28/2022,1,After Thinning,20,76,79.04,post_thin_THIN
9/28/2022,1,After Thinning,16,80,83.2,post_thin_THIN
9/28/2022,1,After Thinning,16,80,83.2,post_thin_THIN
9/28/2022,1,After Thinning,16,80,83.2,post_thin_THIN
9/28/2022,1,After Thinning,20,76,79.04,post_thin_THIN
9/28/2022,1,After Thinning,24,72,74.88,post_thin_THIN
9/28/2022,1,After Thinning,16,80,83.2,post_thin_THIN
9/28/2022,1,After Thinning,12,84,87.36,post_thin_THIN
9/28/2022,2,After Thinning,32,64,66.56,post_thin_THIN
9/28/2022,2,After Thinning,40,56,58.24,post_thin_THIN
9/28/2022,2,After Thinning,32,64,66.56,post_thin_THIN
9/28/2022,2,After Thinning,20,76,79.04,post_thin_THIN
9/28/2022,2,After Thinning,12,84,87.36,post_thin_THIN
9/28/2022,2,After Thinning,12,84,87.36,post_thin_THIN
9/28/2022,2,After Thinning,16,80,83.2,post_thin_THIN
9/28/2022,2,After Thinning,16,80,83.2,post_thin_THIN
9/28/2022,3,After Thinning,16,80,83.2,post_thin_THIN
9/28/2022,3,After Thinning,16,80,83.2,post_thin_THIN
9/28/2022,3,After Thinning,24,72,74.88,post_thin_THIN
9/28/2022,3,After Thinning,8,88,91.52,post_thin_THIN
9/28/2022,3,After Thinning,12,84,87.36,post_thin_THIN
9/28/2022,3,After Thinning,12,84,87.36,post_thin_THIN
9/28/2022,3,After Thinning,16,80,83.2,post_thin_THIN
9/28/2022,3,After Thinning,12,84,87.36,post_thin_THIN
9/28/2022,4,After Thinning,8,88,91.52,post_thin_THIN
9/28/2022,4,After Thinning,12,84,87.36,post_thin_THIN
9/28/2022,4,After Thinning,20,76,79.04,post_thin_THIN
9/28/2022,4,After Thinning,12,84,87.36,post_thin_THIN
9/28/2022,4,After Thinning,4,92,95.68,post_thin_THIN
9/28/2022,4,After Thinning,12,84,87.36,post_thin_THIN
9/28/2022,4,After Thinning,8,88,91.52,post_thin_THIN
9/28/2022,4,After Thinning,12,84,87.36,post_thin_THIN
9/28/2022,5,After Thinning,8,88,91.52,post_thin_THIN
9/28/2022,5,After Thinning,12,84,87.36,post_thin_THIN
9/28/2022,5,After Thinning,8,88,91.52,post_thin_THIN
9/28/2022,5,After Thinning,16,80,83.2,post_thin_THIN
9/28/2022,5,After Thinning,8,88,91.52,post_thin_THIN
9/28/2022,5,After Thinning,4,92,95.68,post_thin_THIN
9/28/2022,5,After Thinning,4,92,95.68,post_thin_THIN
9/28/2022,5,After Thinning,16,80,83.2,post_thin_THIN
9/28/2022,6,After Thinning,8,88,91.52,post_thin_THIN
9/28/2022,6,After Thinning,6,90,93.6,post_thin_THIN
9/28/2022,6,After Thinning,4,92,95.68,post_thin_THIN
9/28/2022,6,After Thinning,6,90,93.6,post_thin_THIN
9/28/2022,6,After Thinning,12,84,87.36,post_thin_THIN
9/28/2022,6,After Thinning,16,80,83.2,post_thin_THIN
9/28/2022,6,After Thinning,8,88,91.52,post_thin_THIN
9/28/2022,6,After Thinning,12,84,87.36,post_thin_THIN
9/28/2022,7,After Thinning,8,88,91.52,post_thin_THIN
9/28/2022,7,After Thinning,12,84,87.36,post_thin_THIN
9/28/2022,7,After Thinning,16,80,83.2,post_thin_THIN
9/28/2022,7,After Thinning,8,88,91.52,post_thin_THIN
9/28/2022,7,After Thinning,12,84,87.36,post_thin_THIN
9/28/2022,7,After Thinning,12,84,87.36,post_thin_THIN
9/28/2022,7,After Thinning,16,80,83.2,post_thin_THIN
9/28/2022,7,After Thinning,12,84,87.36,post_thin_THIN
9/28/2022,8,After Thinning,12,84,87.36,post_thin_THIN
9/28/2022,8,After Thinning,16,80,83.2,post_thin_THIN
9/28/2022,8,After Thinning,12,84,87.36,post_thin_THIN
9/28/2022,8,After Thinning,12,84,87.36,post_thin_THIN
9/28/2022,8,After Thinning,12,84,87.36,post_thin_THIN
9/28/2022,8,After Thinning,16,80,83.2,post_thin_THIN
9/28/2022,8,After Thinning,6,90,93.6,post_thin_THIN
9/28/2022,8,After Thinning,6,90,93.6,post_thin_THIN
9/28/2022,9,After Thinning,4,92,95.68,post_thin_THIN
9/28/2022,9,After Thinning,8,88,91.52,post_thin_THIN
9/28/2022,9,After Thinning,12,84,87.36,post_thin_THIN
9/28/2022,9,After Thinning,8,88,91.52,post_thin_THIN
9/28/2022,9,After Thinning,8,88,91.52,post_thin_THIN
9/28/2022,9,After Thinning,8,88,91.52,post_thin_THIN
9/28/2022,9,After Thinning,8,88,91.52,post_thin_THIN
9/28/2022,9,After Thinning,8,88,91.52,post_thin_THIN
9/28/2022,10,After Thinning,12,84,87.36,post_thin_THIN
9/28/2022,10,After Thinning,20,76,79.04,post_thin_THIN
9/28/2022,10,After Thinning,16,80,83.2,post_thin_THIN
9/28/2022,10,After Thinning,20,76,79.04,post_thin_THIN
9/28/2022,10,After Thinning,16,80,83.2,post_thin_THIN
