Collection,Plot,Treatment,Source,Biomass_gm2
Post-thin,1,Control,Herbaceous,1141.36
Post-thin,2,Control,Herbaceous,238.9333333
Post-thin,3,Control,Herbaceous,96
Post-thin,4,Control,Herbaceous,548.52
Post-thin,5,Control,Herbaceous,138
Post-thin,6,Control,Herbaceous,300
Post-thin,7,Control,Herbaceous,1120.4
Post-thin,8,Control,Herbaceous,1480.8
Post-thin,9,Control,Herbaceous,340
Post-thin,10,Control,Herbaceous,193.28
Post-thin,11,Control,Herbaceous,204.2
Post-thin,12,Control,Herbaceous,100
Post-thin,1,Control,Shrub,0
Post-thin,2,Control,Shrub,49.5
Post-thin,3,Control,Shrub,42.3
Post-thin,4,Control,Shrub,0
Post-thin,5,Control,Shrub,99
Post-thin,6,Control,Shrub,22.5
Post-thin,7,Control,Shrub,108
Post-thin,8,Control,Shrub,31.5
Post-thin,9,Control,Shrub,54
Post-thin,10,Control,Shrub,36
Post-thin,11,Control,Shrub,49.5
Post-thin,12,Control,Shrub,27
Post-thin,1,Control,Litter,1321.53
Post-thin,2,Control,Litter,1541.785
Post-thin,3,Control,Litter,1321.53
Post-thin,4,Control,Litter,1321.53
Post-thin,5,Control,Litter,1321.53
Post-thin,6,Control,Litter,1321.53
Post-thin,7,Control,Litter,881.02
Post-thin,8,Control,Litter,1101.275
Post-thin,9,Control,Litter,1101.275
Post-thin,10,Control,Litter,1321.53
Post-thin,11,Control,Litter,1321.53
Post-thin,12,Control,Litter,1541.785
Post-thin,1,Control,Duff,1541.785
Post-thin,2,Control,Duff,1321.53
Post-thin,3,Control,Duff,1101.275
Post-thin,4,Control,Duff,881.02
Post-thin,5,Control,Duff,1321.53
Post-thin,6,Control,Duff,1762.04
Post-thin,7,Control,Duff,881.02
Post-thin,8,Control,Duff,1321.53
Post-thin,9,Control,Duff,1321.53
Post-thin,10,Control,Duff,881.02
Post-thin,11,Control,Duff,1321.53
Post-thin,12,Control,Duff,881.02
Post-thin,1,Control,FWD,113.5765481
