Collection,Plot,Treatment,canopy_trt,Biomass_Herb,Biomass_Shrub,Biomass_Litter_kgm2,Biomass_Duff_kgm2,FWD_Mgha,CWD_Mgha
post-thin,1,control,high,1.093897747,0,1.079642439,0.505495919,0.329553563,1.301783484
post-thin,2,control,med,0.530114283,0.174641193,1.079642439,1.079642439,0.543918685,1.321616319
post-thin,3,control,high,0.292256071,0.1532049,0.991677861,0.813339091,0.514277879,1.399017755
post-thin,4,control,low,0.811923374,0,0.991677861,0.813339091,0.413053394,0.650031882
post-thin,5,control,low,0.376576957,0.298853076,0.991677861,1.152756029,0.431711691,1.605246026
post-thin,6,control,low,0.602059991,0.088136089,0.991677861,0.93996455,0.394595229,0
post-thin,7,control,med,1.086502199,0.318063335,0.93996455,0.881250524,0.282037544,1.098493362
post-thin,8,control,med,1.198876927,0.118925753,0.881250524,0.633854604,0.57083651,0.580742866
post-thin,9,control,high,0.643452676,0.187520721,0.93996455,1.037883462,0.431997867,0.650031882
post-thin,10,control,med,0.467282448,0.133538908,0.991677861,0.881250524,0.514829844,1.612656265
post-thin,11,control,low,0.48315921,0.174641193,0.991677861,0.881250524,0.049971519,1.067400625
post-thin,12,control,high,0.301029996,0.103803721,1.079642439,0.881250524,0.608954501,0.820648365
pre-thin,1,control,high,1.093897747,0,1.079642439,0.505495919,0.329553563,1.301783484
pre-thin,2,control,med,0.530114283,0.174641193,1.079642439,1.079642439,0.543918685,1.321616319
pre-thin,3,control,high,0.292256071,0.1532049,0.991677861,0.813339091,0.514277879,1.399017755
pre-thin,4,control,low,0.811923374,0,0.991677861,0.813339091,0.413053394,0.650031882
pre-thin,5,control,low,0.376576957,0.298853076,0.991677861,1.152756029,0.431711691,1.605246026
pre-thin,6,control,low,0.602059991,0.088136089,0.991677861,0.93996455,0.394595229,0
pre-thin,7,control,med,1.086502199,0.318063335,0.93996455,0.881250524,0.282037544,1.098493362
pre-thin,8,control,med,1.198876927,0.118925753,0.881250524,0.633854604,0.57083651,0.580742866
pre-thin,9,control,high,0.643452676,0.187520721,0.93996455,1.037883462,0.431997867,0.650031882
pre-thin,10,control,med,0.467282448,0.133538908,0.991677861,0.881250524,0.514829844,1.612656265
pre-thin,11,control,low,0.48315921,0.174641193,0.991677861,0.881250524,0.049971519,1.067400625
pre-thin,12,control,high,0.301029996,0.103803721,1.079642439,0.881250524,0.608954501,0.820648365
post-thin,1,thin,high,1.045276025,0.04630002,1.037883462,0.991677861,0.254602769,1.01054383
post-thin,2,thin,med,0.010299957,0.01911629,0.881250524,0.93996455,0.196217154,1.292743004
post-thin,3,thin,high,0.017033339,0.235528447,0.93996455,0.633854604,0.393453171,1.04907933
post-thin,4,thin,low,0.257198426,0.071882007,1.037883462,1.079642439,0.226696471,1.019149482
post-thin,5,thin,low,0.003460532,0.035629828,1.185161662,0.505495919,0.226084069,1.000957182
post-thin,6,thin,low,0.127104798,0.022840611,1.117736007,0.991677861,0.090406767,1.35311894
post-thin,7,thin,med,0.008600172,0.084933575,1.079642439,0.991677861,0.254889616,0.74269943
post-thin,8,thin,med,0.010299957,0.061829307,0.93996455,0.732803733,0.413053394,1.236905603
post-thin,9,thin,high,0.041392685,0.071882007,1.079642439,0.881250524,0.329312037,1.07775622
post-thin,10,thin,med,0.045322979,0,1.079642439,0.813339091,0.329915601,1.1656876
post-thin,11,thin,low,1.422261451,0.054995862,0.991677861,0.732803733,0.306192027,1.101463598
post-thin,12,thin,high,0.71432976,0.04453976,1.152756029,1.152756029,0.195888799,0.89022804
pre-thin,1,thin,high,1.179934598,0.118925753,1.079642439,0.93996455,0.35241011,1.484708009
pre-thin,2,thin,med,0.475341832,0.011570444,0.813339091,0.991677861,0.584029791,0.914433117
pre-thin,3,thin,high,0.414973348,0,0.991677861,0.732803733,0.543035378,1.301031253
pre-thin,4,thin,low,1.264817823,0.103803721,0.991677861,0.633854604,0.254889616,0.735436786
pre-thin,5,thin,low,0.895422546,0.235528447,0.93996455,1.037883462,0.413152995,1.130863011
pre-thin,6,thin,low,1,0,1.152756029,0.991677861,0.48331308,0
pre-thin,7,thin,med,0.401400541,0.235528447,1.152756029,0.813339091,0.466695016,1.161332796
pre-thin,8,thin,med,0.124504225,0.336459734,0.991677861,0.881250524,0.432379142,1.249957966
pre-thin,9,thin,high,0.787403793,0.298853076,1.152756029,0.881250524,0.431616257,1.291901361
pre-thin,10,thin,med,0.133538908,0.235528447,1.152756029,0.881250524,0.528743016,0.715607977
pre-thin,11,thin,low,0.477121255,0.037426498,0.991677861,1.269989006,0.514356774,1.073799809
pre-thin,12,thin,high,0.670245853,0.118925753,0.881250524,1.079642439,0.55730131,0.507718935
