Collection,Plot,Treatment,Load_type,Load_Mgha
Post-Thin,1,Control,CWD,19.03472953
Post-Thin,2,Control,CWD,19.97086377
Post-Thin,3,Control,CWD,24.06211711
Post-Thin,4,Control,CWD,3.467163849
Post-Thin,5,Control,CWD,39.29452361
Post-Thin,6,Control,CWD,0
Post-Thin,7,Control,CWD,11.54565562
Post-Thin,8,Control,CWD,2.808402717
Post-Thin,9,Control,CWD,3.467163849
Post-Thin,10,Control,CWD,39.98795639
Post-Thin,11,Control,CWD,10.67886466
Post-Thin,12,Control,CWD,5.616805435
Post-Thin,1,Thin,CWD,9.245751771
Post-Thin,2,Thin,CWD,18.62198794
Post-Thin,3,Thin,CWD,10.19642383
Post-Thin,4,Thin,CWD,9.450798685
Post-Thin,5,Thin,CWD,9.022064229
Post-Thin,6,Thin,CWD,21.54856663
Post-Thin,7,Thin,CWD,4.529672744
Post-Thin,8,Thin,CWD,16.25462811
Post-Thin,9,Thin,CWD,10.9606896
Post-Thin,10,Thin,CWD,13.64494011
Post-Thin,11,Thin,CWD,11.63175223
Post-Thin,12,Thin,CWD,6.766548171
Pre-Thin,1,Control,CWD,19.03472953
Pre-Thin,2,Control,CWD,19.97086377
Pre-Thin,3,Control,CWD,24.06211711
Pre-Thin,4,Control,CWD,3.467163849
Pre-Thin,5,Control,CWD,39.29452361
Pre-Thin,6,Control,CWD,0
Pre-Thin,7,Control,CWD,11.54565562
Pre-Thin,8,Control,CWD,2.808402717
Pre-Thin,9,Control,CWD,3.467163849
Pre-Thin,10,Control,CWD,39.98795639
Pre-Thin,11,Control,CWD,10.67886466
Pre-Thin,12,Control,CWD,5.616805435
Pre-Thin,1,Thin,CWD,29.52867878
Pre-Thin,2,Thin,CWD,7.211700806
Pre-Thin,3,Thin,CWD,19.00005789
Pre-Thin,4,Thin,CWD,4.437969727
Pre-Thin,5,Thin,CWD,12.51646149
Pre-Thin,6,Thin,CWD,0
Pre-Thin,7,Thin,CWD,13.49882458
Pre-Thin,8,Thin,CWD,16.78107303
Pre-Thin,9,Thin,CWD,18.58399823
Pre-Thin,10,Thin,CWD,4.195268256
Pre-Thin,11,Thin,CWD,10.85222285
Pre-Thin,12,Thin,CWD,2.218984863
Post-Thin,1,Control,Duff,2.20255
Post-Thin,2,Control,Duff,11.01275
Post-Thin,3,Control,Duff,5.506375
Post-Thin,4,Control,Duff,5.506375
Post-Thin,5,Control,Duff,13.2153
Post-Thin,6,Control,Duff,7.708925
Post-Thin,7,Control,Duff,6.60765
Post-Thin,8,Control,Duff,3.303825
Post-Thin,9,Control,Duff,9.911475
Post-Thin,10,Control,Duff,6.60765
Post-Thin,11,Control,Duff,6.60765
Post-Thin,12,Control,Duff,6.60765
Post-Thin,1,Thin,Duff,8.8102
Post-Thin,2,Thin,Duff,7.708925
Post-Thin,3,Thin,Duff,3.303825
Post-Thin,4,Thin,Duff,11.01275
Post-Thin,5,Thin,Duff,2.20255
Post-Thin,6,Thin,Duff,8.8102
Post-Thin,7,Thin,Duff,8.8102
Post-Thin,8,Thin,Duff,4.4051
Post-Thin,9,Thin,Duff,6.60765
Post-Thin,10,Thin,Duff,5.506375
Post-Thin,11,Thin,Duff,4.4051
Post-Thin,12,Thin,Duff,13.2153
Pre-Thin,1,Control,Duff,2.20255
Pre-Thin,2,Control,Duff,11.01275
Pre-Thin,3,Control,Duff,5.506375
Pre-Thin,4,Control,Duff,5.506375
Pre-Thin,5,Control,Duff,13.2153
Pre-Thin,6,Control,Duff,7.708925
Pre-Thin,7,Control,Duff,6.60765
Pre-Thin,8,Control,Duff,3.303825
Pre-Thin,9,Control,Duff,9.911475
Pre-Thin,10,Control,Duff,6.60765
Pre-Thin,11,Control,Duff,6.60765
Pre-Thin,12,Control,Duff,6.60765
Pre-Thin,1,Thin,Duff,7.708925
Pre-Thin,2,Thin,Duff,8.8102
Pre-Thin,3,Thin,Duff,4.4051
Pre-Thin,4,Thin,Duff,3.303825
Pre-Thin,5,Thin,Duff,9.911475
Pre-Thin,6,Thin,Duff,8.8102
Pre-Thin,7,Thin,Duff,5.506375
Pre-Thin,8,Thin,Duff,6.60765
Pre-Thin,9,Thin,Duff,6.60765
Pre-Thin,10,Thin,Duff,6.60765
Pre-Thin,11,Thin,Duff,17.6204
Pre-Thin,12,Thin,Duff,11.01275
Post-Thin,1,Control,FWD,1.135765481
Post-Thin,2,Control,FWD,2.498796511
Post-Thin,3,Control,FWD,2.267968633
Post-Thin,4,Control,FWD,1.588531143
Post-Thin,5,Control,FWD,1.702163918
Post-Thin,6,Control,FWD,1.480819855
Post-Thin,7,Control,FWD,0.914421418
Post-Thin,8,Control,FWD,2.72251546
Post-Thin,9,Control,FWD,1.703945082
Post-Thin,10,Control,FWD,2.272124683
Post-Thin,11,Control,FWD,0.121944875
Post-Thin,12,Control,FWD,3.064007505
Post-Thin,1,Thin,FWD,0.797226315
Post-Thin,2,Thin,FWD,0.571148208
Post-Thin,3,Thin,FWD,1.474304647
Post-Thin,4,Thin,FWD,0.685374704
Post-Thin,5,Thin,FWD,0.682999819
Post-Thin,6,Thin,FWD,0.231421599
Post-Thin,7,Thin,FWD,0.798413758
Post-Thin,8,Thin,FWD,1.588531143
Post-Thin,9,Thin,FWD,1.134578038
Post-Thin,10,Thin,FWD,1.137546645
Post-Thin,11,Thin,FWD,1.02391387
Post-Thin,12,Thin,FWD,0.569960765
Pre-Thin,1,Control,FWD,1.135765481
Pre-Thin,2,Control,FWD,2.498796511
Pre-Thin,3,Control,FWD,2.267968633
Pre-Thin,4,Control,FWD,1.588531143
Pre-Thin,5,Control,FWD,1.702163918
Pre-Thin,6,Control,FWD,1.480819855
Pre-Thin,7,Control,FWD,0.914421418
Pre-Thin,8,Control,FWD,2.72251546
Pre-Thin,9,Control,FWD,1.703945082
Pre-Thin,10,Control,FWD,2.272124683
Pre-Thin,11,Control,FWD,0.121944875
Pre-Thin,12,Control,FWD,3.064007505
Pre-Thin,1,Thin,FWD,1.25117942
Pre-Thin,2,Thin,FWD,2.837335677
Pre-Thin,3,Thin,FWD,2.491687582
Pre-Thin,4,Thin,FWD,0.798413758
Pre-Thin,5,Thin,FWD,1.589124865
Pre-Thin,6,Thin,FWD,2.04307797
Pre-Thin,7,Thin,FWD,1.928835746
Pre-Thin,8,Thin,FWD,1.706319968
Pre-Thin,9,Thin,FWD,1.701570196
Pre-Thin,10,Thin,FWD,2.378648529
Pre-Thin,11,Thin,FWD,2.268562355
Pre-Thin,12,Thin,FWD,2.608288964
Post-Thin,1,Control,Herbaceous,11.4136
Post-Thin,2,Control,Herbaceous,2.389333333
Post-Thin,3,Control,Herbaceous,0.96
Post-Thin,4,Control,Herbaceous,5.4852
Post-Thin,5,Control,Herbaceous,1.38
Post-Thin,6,Control,Herbaceous,3
Post-Thin,7,Control,Herbaceous,11.204
Post-Thin,8,Control,Herbaceous,14.808
Post-Thin,9,Control,Herbaceous,3.4
Post-Thin,10,Control,Herbaceous,1.9328
Post-Thin,11,Control,Herbaceous,2.042
Post-Thin,12,Control,Herbaceous,1
Post-Thin,1,Thin,Herbaceous,10.0988
Post-Thin,2,Thin,Herbaceous,0.024
Post-Thin,3,Thin,Herbaceous,0.04
Post-Thin,4,Thin,Herbaceous,0.808
Post-Thin,5,Thin,Herbaceous,0.008
Post-Thin,6,Thin,Herbaceous,0.34
Post-Thin,7,Thin,Herbaceous,0.02
Post-Thin,8,Thin,Herbaceous,0.024
Post-Thin,9,Thin,Herbaceous,0.1
Post-Thin,10,Thin,Herbaceous,0.11
Post-Thin,11,Thin,Herbaceous,25.44
Post-Thin,12,Thin,Herbaceous,4.18
Pre-Thin,1,Control,Herbaceous,11.4136
Pre-Thin,2,Control,Herbaceous,2.389333333
Pre-Thin,3,Control,Herbaceous,0.96
Pre-Thin,4,Control,Herbaceous,5.4852
Pre-Thin,5,Control,Herbaceous,1.38
Pre-Thin,6,Control,Herbaceous,3
Pre-Thin,7,Control,Herbaceous,11.204
Pre-Thin,8,Control,Herbaceous,14.808
Pre-Thin,9,Control,Herbaceous,3.4
Pre-Thin,10,Control,Herbaceous,1.9328
Pre-Thin,11,Control,Herbaceous,2.042
Pre-Thin,12,Control,Herbaceous,1
Pre-Thin,1,Thin,Herbaceous,14.13333334
Pre-Thin,2,Thin,Herbaceous,1.987733333
Pre-Thin,3,Thin,Herbaceous,1.6
Pre-Thin,4,Thin,Herbaceous,17.4
Pre-Thin,5,Thin,Herbaceous,6.86
Pre-Thin,6,Thin,Herbaceous,9
Pre-Thin,7,Thin,Herbaceous,1.52
Pre-Thin,8,Thin,Herbaceous,0.332
Pre-Thin,9,Thin,Herbaceous,5.1292
Pre-Thin,10,Thin,Herbaceous,0.36
Pre-Thin,11,Thin,Herbaceous,2
Pre-Thin,12,Thin,Herbaceous,3.68
Post-Thin,1,Control,Litter,11.01275
Post-Thin,2,Control,Litter,11.01275
Post-Thin,3,Control,Litter,8.8102
Post-Thin,4,Control,Litter,8.8102
Post-Thin,5,Control,Litter,8.8102
Post-Thin,6,Control,Litter,8.8102
Post-Thin,7,Control,Litter,7.708925
Post-Thin,8,Control,Litter,6.60765
Post-Thin,9,Control,Litter,7.708925
Post-Thin,10,Control,Litter,8.8102
Post-Thin,11,Control,Litter,8.8102
Post-Thin,12,Control,Litter,11.01275
Post-Thin,1,Thin,Litter,9.911475
Post-Thin,2,Thin,Litter,6.60765
Post-Thin,3,Thin,Litter,7.708925
Post-Thin,4,Thin,Litter,9.911475
Post-Thin,5,Thin,Litter,14.316575
Post-Thin,6,Thin,Litter,12.114025
Post-Thin,7,Thin,Litter,11.01275
Post-Thin,8,Thin,Litter,7.708925
Post-Thin,9,Thin,Litter,11.01275
Post-Thin,10,Thin,Litter,11.01275
Post-Thin,11,Thin,Litter,8.8102
Post-Thin,12,Thin,Litter,13.2153
Pre-Thin,1,Control,Litter,11.01275
Pre-Thin,2,Control,Litter,11.01275
Pre-Thin,3,Control,Litter,8.8102
Pre-Thin,4,Control,Litter,8.8102
Pre-Thin,5,Control,Litter,8.8102
Pre-Thin,6,Control,Litter,8.8102
Pre-Thin,7,Control,Litter,7.708925
Pre-Thin,8,Control,Litter,6.60765
Pre-Thin,9,Control,Litter,7.708925
Pre-Thin,10,Control,Litter,8.8102
Pre-Thin,11,Control,Litter,8.8102
Pre-Thin,12,Control,Litter,11.01275
Pre-Thin,1,Thin,Litter,11.01275
Pre-Thin,2,Thin,Litter,5.506375
Pre-Thin,3,Thin,Litter,8.8102
Pre-Thin,4,Thin,Litter,8.8102
Pre-Thin,5,Thin,Litter,7.708925
Pre-Thin,6,Thin,Litter,13.2153
Pre-Thin,7,Thin,Litter,13.2153
Pre-Thin,8,Thin,Litter,8.8102
Pre-Thin,9,Thin,Litter,13.2153
Pre-Thin,10,Thin,Litter,13.2153
Pre-Thin,11,Thin,Litter,8.8102
Pre-Thin,12,Thin,Litter,6.60765
Post-Thin,1,Control,Shrubs,0
Post-Thin,2,Control,Shrubs,0.495
Post-Thin,3,Control,Shrubs,0.423
Post-Thin,4,Control,Shrubs,0
Post-Thin,5,Control,Shrubs,0.99
Post-Thin,6,Control,Shrubs,0.225
Post-Thin,7,Control,Shrubs,1.08
Post-Thin,8,Control,Shrubs,0.315
Post-Thin,9,Control,Shrubs,0.54
Post-Thin,10,Control,Shrubs,0.36
Post-Thin,11,Control,Shrubs,0.495
Post-Thin,12,Control,Shrubs,0.27
Post-Thin,1,Thin,Shrubs,0.1125
Post-Thin,2,Thin,Shrubs,0.045
Post-Thin,3,Thin,Shrubs,0.72
Post-Thin,4,Thin,Shrubs,0.18
Post-Thin,5,Thin,Shrubs,0.0855
Post-Thin,6,Thin,Shrubs,0.054
Post-Thin,7,Thin,Shrubs,0.216
Post-Thin,8,Thin,Shrubs,0.153
Post-Thin,9,Thin,Shrubs,0.18
Post-Thin,10,Thin,Shrubs,0
Post-Thin,11,Thin,Shrubs,0.135
Post-Thin,12,Thin,Shrubs,0.108
Pre-Thin,1,Control,Shrubs,0
Pre-Thin,2,Control,Shrubs,0.495
Pre-Thin,3,Control,Shrubs,0.423
Pre-Thin,4,Control,Shrubs,0
Pre-Thin,5,Control,Shrubs,0.99
Pre-Thin,6,Control,Shrubs,0.225
Pre-Thin,7,Control,Shrubs,1.08
Pre-Thin,8,Control,Shrubs,0.315
Pre-Thin,9,Control,Shrubs,0.54
Pre-Thin,10,Control,Shrubs,0.36
Pre-Thin,11,Control,Shrubs,0.495
Pre-Thin,12,Control,Shrubs,0.27
Pre-Thin,1,Thin,Shrubs,0.315
Pre-Thin,2,Thin,Shrubs,0.027
Pre-Thin,3,Thin,Shrubs,0
Pre-Thin,4,Thin,Shrubs,0.27
Pre-Thin,5,Thin,Shrubs,0.72
Pre-Thin,6,Thin,Shrubs,0
Pre-Thin,7,Thin,Shrubs,0.72
Pre-Thin,8,Thin,Shrubs,1.17
Pre-Thin,9,Thin,Shrubs,0.99
Pre-Thin,10,Thin,Shrubs,0.72
Pre-Thin,11,Thin,Shrubs,0.09
Pre-Thin,12,Thin,Shrubs,0.315
