Collection,Plot,Treatment,meso_os,Biomass_Herb,Biomass_Shrub,Biomass_Litter_kgm2,Biomass_Duff_kgm2,FWD_Mgha,CWD_Mgha
pre-thin,1,thin,high,2.954242509,0,3.246015763,2.944985767,2.310284941,0
pre-thin,1,control,high,2.477121255,1.352182518,3.121077026,3.246015763,2.170502229,0
post-thin,1,thin,high,0,2.115610512,3.155839133,2.944985767,2.055742483,0
post-thin,1,control,high,0,1.431363764,3.272344702,3.04189578,-0.381319244,0
pre-thin,2,control,med,2.286186917,1.556302501,3.121077026,2.944985767,2.35643216,3.60192921
post-thin,2,thin,med,0,1.255272505,3.188023816,2.944985767,2.010263426,3.598228043
post-thin,2,control,med,2.139879086,1.995635195,3.121077026,3.121077026,2.23100138,3.594332028
pre-thin,2,thin,med,3.150244602,1.498310554,3.188023816,3.121077026,2.097319592,3.470244015
pre-thin,3,control,high,1.982271233,1.626340367,3.121077026,3.04189578,2.355637044,3.381333836
pre-thin,3,thin,high,1.505149978,0.73239376,3.217987039,2.944985767,1.364403891,3.333418387
post-thin,3,control,high,1.62324929,1.908485019,3.272344702,3.188023816,1.834042899,3.30508901
post-thin,3,thin,high,2.378276742,1.694605199,3.188023816,3.121077026,2.397730891,3.300396849
post-thin,4,thin,low,3.057422648,0,3.121077026,3.188023816,2.055288665,3.27954671
post-thin,4,control,low,2.204119983,0,3.121077026,3.121077026,2.396493588,3.278754924
pre-thin,4,thin,low,0.380211242,0.653212514,3.04189578,2.944985767,1.756748819,3.270026041
pre-thin,4,control,low,2.710049634,1.995635195,3.246015763,3.121077026,2.23084987,3.269139155
pre-thin,5,control,low,1.521138084,2.068185862,3.04189578,3.121077026,2.232060473,3.224819727
post-thin,5,control,low,0.380211242,1.184691431,3.04189578,3.04189578,2.200995734,3.210977038
pre-thin,5,thin,low,0,1.352182518,3.155839133,2.944985767,1.835551691,3.155821773
post-thin,5,thin,low,0.477121255,0,3.188023816,2.820047031,2.055969214,3.134971634
pre-thin,6,thin,low,2.181843588,1.857332496,3.246015763,2.944985767,2.285295246,3.130295954
pre-thin,6,control,low,-0.096910013,2.152899596,3.297168286,3.04189578,1.901581625,3.100407249
post-thin,6,control,low,0,1.857332496,2.88699382,2.820047031,1.902228012,3.099764326
post-thin,6,thin,low,2.836324116,1.857332496,3.04189578,3.121077026,2.201158023,3.097481568
post-thin,7,control,med,3.405517107,1.130333768,3.121077026,2.643955772,2.010263426,3.065645143
pre-thin,7,thin,med,3.0493731,2.033423755,2.944985767,2.944985767,1.96114639,3.062418599
pre-thin,7,control,med,1,1.255272505,3.188023816,2.820047031,2.054834373,3.039837879
post-thin,7,thin,med,2.301029996,0.954242509,3.121077026,3.246015763,2.355750721,3.035518703
post-thin,8,control,med,2.310055738,1.694605199,3.121077026,3.121077026,1.086163551,3.028525082
pre-thin,8,thin,med,0.602059991,1.857332496,3.083288466,2.643955772,2.168587234,3.008447879
post-thin,8,thin,med,1.903089987,1.255272505,3.155839133,3.04189578,1.835928072,2.975468512
pre-thin,8,control,med,0,1.694605199,3.217987039,2.944985767,2.055969214,2.968561099
pre-thin,9,thin,high,0.459392488,1.051152522,3.155839133,2.944985767,1.901581625,2.965942229
post-thin,9,thin,high,-0.096910013,0.931966115,3.272344702,3.121077026,1.834420588,2.955305915
post-thin,9,control,high,-0.096910013,2.214313897,3.04189578,2.820047031,2.30952704,2.912925073
pre-thin,9,control,high,2.298358121,0.431363764,2.944985767,2.944985767,2.452910719,2.858037701
post-thin,10,control,med,2.606381365,1.033423755,3.246015763,3.188023816,1.755844961,2.830367178
pre-thin,10,control,med,0,1.767155866,3.217987039,2.944985767,1.755392326,2.830367178
post-thin,10,thin,med,2,1.431363764,3.188023816,2.944985767,2.486289825,2.74948938
pre-thin,10,thin,med,0,2.068185862,3.188023816,2.820047031,2.009759478,2.678700518
post-thin,11,thin,low,0,1.334453751,3.121077026,2.944985767,1.902228012,2.656066827
pre-thin,11,thin,low,3.240549248,1.431363764,3.121077026,2.944985767,1.902228012,2.647184335
pre-thin,11,control,low,1.556302501,1.857332496,3.246015763,3.121077026,2.376330275,2.622759736
post-thin,11,control,low,2.531478917,1.73239376,3.04189578,3.121077026,2.231455593,2.539974366
post-thin,12,thin,high,2.739192467,0,3.121077026,2.944985767,2.200995734,2.539974366
post-thin,12,control,high,3.170496406,1.498310554,3.04189578,3.121077026,2.434970355,2.448459385
pre-thin,12,control,high,0,1.829303773,3.04189578,3.04189578,2.096907226,2.437777888
pre-thin,12,thin,high,2.565847819,1.498310554,3.04189578,3.121077026,2.416355704,2.34615434
