collection,Plot,Treatment,Burn_Szn,canopy_trt,litter_type,litter_pct
6/24/2021,1,control,Control,high,pine,55.73575949
6/24/2021,1,control,ED,high,pine,27.39520958
6/24/2021,1,control,GS,high,pine,57.3958832
6/24/2021,1,control,LD,high,pine,15.41889483
6/24/2021,1,thin,Control,high,pine,36.9542066
6/24/2021,1,thin,ED,high,pine,76.98355969
6/24/2021,1,thin,GS,high,pine,31.95435093
6/24/2021,1,thin,LD,high,pine,82.03845141
6/24/2021,2,control,Control,med,pine,13.47753744
6/24/2021,2,control,ED,med,pine,89.27803379
6/24/2021,2,control,GS,med,pine,20.43309273
6/24/2021,2,control,LD,med,pine,81.63896405
6/24/2021,2,thin,Control,med,pine,46.16925388
6/24/2021,2,thin,ED,med,pine,25.57200538
6/24/2021,2,thin,GS,med,pine,51.76668536
6/24/2021,2,thin,LD,med,pine,33.43766302
6/24/2021,3,control,Control,high,pine,53.587333
6/24/2021,3,control,ED,high,pine,60.69333333
6/24/2021,3,control,GS,high,pine,77.4217043
6/24/2021,3,control,LD,high,pine,74.37916414
6/24/2021,3,thin,Control,high,pine,56.36363636
6/24/2021,3,thin,ED,high,pine,37.91973792
6/24/2021,3,thin,GS,high,pine,52.63513514
6/24/2021,3,thin,LD,high,pine,44.74829086
6/24/2021,4,control,Control,low,pine,10.60154854
6/24/2021,4,control,ED,low,pine,32.77634961
6/24/2021,4,control,GS,low,pine,24.03204272
6/24/2021,4,control,LD,low,pine,37.80952381
6/24/2021,4,thin,Control,low,pine,36.78797468
6/24/2021,4,thin,ED,low,pine,26.98113208
6/24/2021,4,thin,GS,low,pine,38.12274368
6/24/2021,4,thin,LD,low,pine,10.83521445
6/24/2021,5,control,Control,low,pine,63.32129964
6/24/2021,5,control,ED,low,pine,31.84454756
6/24/2021,5,control,GS,low,pine,27.47474747
6/24/2021,5,control,LD,low,pine,56.14224138
6/24/2021,5,thin,Control,low,pine,77.52139933
6/24/2021,5,thin,ED,low,pine,26.29043359
6/24/2021,5,thin,GS,low,pine,22.97410192
6/24/2021,5,thin,LD,low,pine,79.0048014
6/24/2021,6,control,Control,low,pine,19.69465649
6/24/2021,6,control,ED,low,pine,56.26266721
6/24/2021,6,control,GS,low,pine,29.06755471
6/24/2021,6,control,LD,low,pine,60.21409456
6/24/2021,6,thin,Control,low,pine,82.63869721
6/24/2021,6,thin,ED,low,pine,86.78178029
6/24/2021,6,thin,GS,low,pine,87.84722222
6/24/2021,6,thin,LD,low,pine,93.42869915
6/24/2021,7,control,Control,med,pine,58.56067733
6/24/2021,7,control,ED,med,pine,62.24165342
6/24/2021,7,control,GS,med,pine,69.10536779
6/24/2021,7,control,LD,med,pine,55.52560647
6/24/2021,7,thin,Control,med,pine,78.58585859
6/24/2021,7,thin,ED,med,pine,79.74842767
6/24/2021,7,thin,GS,med,pine,66.95951108
6/24/2021,7,thin,LD,med,pine,77.42338962
6/24/2021,8,control,Control,med,pine,69.53748006
6/24/2021,8,control,ED,med,pine,33.59133127
