Site,Plot,group,Biomass_Load_Source,Load_kgm2,Pine_ft2a,Pine_pctBAft2a,pine_iv,uo_iv,meso_iv
Tuskegee,1,30 - 70% Pine,Herbaceous ,0.0136,108.2129346,47.81564078,102.8881045,45.71857933,151.3933161
Tuskegee,2,>70% Pine,Herbaceous ,0.096,126.5952237,75.73085575,161.4451415,0,138.5548585
Tuskegee,2.2,>70% Pine,Herbaceous ,0.130666667,108.624462,83.5404078,166.8737411,0,133.1262589
Tuskegee,3,30 - 70% Pine,Herbaceous ,0.018666667,114.6076711,67.00522517,157.0052252,0,142.9947748
Tuskegee,3.2,30 - 70% Pine,Herbaceous ,0.004666667,109.8671597,69.01662606,152.3499594,0,147.6500406
Tuskegee,6,30 - 70% Pine,Herbaceous ,0.014,71.35519629,38.30105837,98.90711897,84.64802139,116.4448596
Tuskegee,7,>70% Pine,Herbaceous ,0.104,117.7218547,86.60304161,176.6030416,0,123.3969584
Tuskegee,7.2,30 - 70% Pine,Herbaceous ,0.088,172.8788665,66.92067045,140.4500822,0,159.5499178
Tuskegee,8,30 - 70% Pine,Herbaceous ,0.042666667,141.0380765,63.40971544,168.965271,0,131.034729
Tuskegee,9,30 - 70% Pine,Herbaceous ,0.048,138.7056935,51.7982023,115.1315356,93.28678717,91.58167719
Tuskegee,12,30 - 70% Pine,Herbaceous ,0.012,67.29808409,57.14937967,157.1493797,142.8506203,0
Tuskegee,17,>70% Pine,Herbaceous ,0.004,146.8092662,74.33399451,180.5839945,0,119.4160055
Kreher,19,30 - 70% Pine,Herbaceous ,0,121.0267544,41.09691046,107.7635771,61.64899863,130.5874242
Kreher,20,30 - 70% Pine,Herbaceous ,6.67E-04,176.335426,69.16525798,144.165258,0,155.834742
Kreher,21,30 - 70% Pine,Herbaceous ,0.021333333,126.5122081,61.30213048,148.1442358,0,151.8557642
Kreher,22,30 - 70% Pine,Herbaceous ,0.014666667,67.90945756,39.28671337,109.2867134,0,190.7132866
Kreher,23,30 - 70% Pine,Herbaceous ,0.002666667,101.3819858,45.42447788,92.09114455,66.63701643,141.271839
MOT,24,30 - 70% Pine,Herbaceous ,0.002666667,131.9386549,63.99393157,147.3272649,0,152.6727351
MOT,25,>70% Pine,Herbaceous ,0.010666667,144.4067172,78.10737305,174.2612192,0,125.7387808
MOT,26,30 - 70% Pine,Herbaceous ,0.029333333,76.35134838,58.16495682,114.8316235,0,185.1683765
MOT,27,30 - 70% Pine,Herbaceous ,0.013333333,42.77737542,31.74273989,71.32607322,42.22114901,186.4527778
MOT,28,30 - 70% Pine,Herbaceous ,0.003333333,129.4032133,61.25159859,150.1404875,42.97647966,106.8830329
MOT,29,30 - 70% Pine,Herbaceous ,0,46.90888041,36.94645896,103.6131256,97.48611292,98.90076145
MOT,30,30 - 70% Pine,Herbaceous ,0,75.20924999,41.47984237,94.8131757,57.44898815,147.7378361
MOT,31,>70% Pine,Herbaceous ,0.008,136.222496,76.0436841,173.1025076,0,126.8974924
MOT,32,< 30% Pine,Herbaceous ,0.005333333,18.32311304,16.49422558,56.72411064,102.2436602,141.0322292
MOT,33,30 - 70% Pine,Herbaceous ,0.004,73.56973436,48.41395056,100.4972839,57.15946343,142.3432527
Tuskegee,34,30 - 70% Pine,Herbaceous ,0.045333333,133.377479,70.61363581,153.9469692,0,146.0530308
Tuskegee,35,30 - 70% Pine,Herbaceous ,0.004,108.4849755,68.59202689,161.4491697,0,138.5508303
Tuskegee,36,30 - 70% Pine,Herbaceous ,0.093333333,81.35088196,30.70242663,100.7024266,0,199.2975734
Tuskegee,37,30 - 70% Pine,Herbaceous ,0.112,103.7163977,61.91420128,151.9142013,0,148.0857987
Tuskegee,38,30 - 70% Pine,Herbaceous ,0.088,63.53296359,36.32699701,98.82699702,0,201.173003
Tuskegee,39,30 - 70% Pine,Herbaceous ,0.165333333,106.8757242,68.41835812,157.307247,0,142.692753
Tuskegee,40,30 - 70% Pine,Herbaceous ,0.012266667,151.5223875,71.13758281,146.1375828,0,153.8624172
Tuskegee,41,>70% Pine,Herbaceous ,0,147.0080978,92.36969251,202.6261028,42.13090687,55.24299036
Tuskegee,42,>70% Pine,Herbaceous ,0.008666667,125.4952249,75.9594868,181.5150423,0,118.4849577
Tuskegee,43,30 - 70% Pine,Herbaceous ,0.007333333,32.70712789,47.67829327,126.2497218,0,173.7502782
Tuskegee,44,30 - 70% Pine,Herbaceous ,0.010266667,62.80594315,42.93828739,130.4382874,0,169.5617126
Tuskegee,45,30 - 70% Pine,Herbaceous ,2.67E-04,54.32888483,43.38335957,118.3833596,63.92141164,117.6952288
Tuskegee,47,30 - 70% Pine,Herbaceous ,8.00E-04,51.5585988,38.30734463,87.43015165,75.57918521,136.9906631
Tuskegee,48,30 - 70% Pine,Herbaceous ,0.008533333,46.91429079,36.85770948,120.1910428,0,179.8089572
Tuskegee,49,>70% Pine,Herbaceous ,0.054666667,160.7993374,73.28561444,166.1427573,0,133.8572427
