Site,Plot,group,CWD,Duff,FWD,Herbs,Litter,Shrub
MOT,32,Hardwood,0.187226848,0.7708925,0.591262389,0.005333333,0.3679632,0
MOT,58,Hardwood,3.090398711,0.352408,0.54403126,0.006666667,0.46967525,0.036
Talladega,66,Hardwood,0.154096171,0.7708925,0.475967194,0.013333333,0.36201935,0.009
Talladega,67,Hardwood,0,0.44051,0.295451505,0.030666667,0.34835405,0.87
Talladega,68,Hardwood,0.346716385,0.3303825,0.952403075,0,0.33557755,0.0165
Talladega,69,Hardwood,0,0.3303825,0.453471837,0.050666667,0.47511915,0.486
Talladega,75,Hardwood,0.971961599,0.9911475,0.069248363,0.025333333,0.3128576,0.096
Talladega,78,Hardwood,0.809004898,0.1541785,0.091503087,0.130666667,0.32524525,0.837
Tuskegee,2,Pine,0,0.5506375,0.205967071,0.096,0.4787299,0.0024
Tuskegee,2.2,Pine,0.302028495,0.220255,0.181699986,0.130666667,0.44612205,0.1212
Tuskegee,7,Pine,2.604225291,0,0.499521814,0.104,0.52844715,0.057
Tuskegee,17,Pine,0,0.3303825,0.227271841,0.004,0.5063938,0.0216
MOT,25,Pine,0,0.220255,0.340310894,0.010666667,0.6636003,0.042
MOT,31,Pine,3.350050759,0.3303825,0.114348386,0.008,0.64965725,0.183
Tuskegee,41,Pine,0.893757792,0.220255,0.364228037,0,0.8661356,0.69
Tuskegee,42,Pine,0,1.101275,0.251067094,0.008666667,0.40201535,0.204
Tuskegee,49,Pine,0,0.44051,0.136837452,0.054666667,0.5329467,0.951
Tuskegee,51,Pine,0.154096171,0.3303825,0.476201537,0.085333333,0.38112855,0.162
Talladega,65,Pine,4.412929098,2.20255,0.499878047,0.013333333,0.57599795,0.039
Talladega,70,Pine,0.186456367,0.7708925,0.317706229,0.004,0.62021575,0.342
Talladega,72,Pine,1.599133015,0.660765,0.430982771,0.005333333,0.3992934,0.102
Talladega,85,Pine,0,0.1541785,0.182409307,0.016,0.44456665,0.009
Talladega,87,Pine,0.226521371,0.3303825,0.136124987,0.066666667,0.50044995,0.282
Talladega,89,Pine,0,0.5506375,0.249998395,0.037333333,0.51567065,0.312
Talladega,95,Pine,0,0.3303825,0.317231252,0.012,0.4709529,0.114
Talladega,96,Pine,3.421320238,0.7708925,0.318534293,0.005333333,0.6603784,0.417
CR,103,Pine,0,0.2863315,0.31829995,0.012666667,0.4159584,0.0225
CR,106,Pine,0,1.277479,0.318181206,0.032,0.5128376,0.048
CR,107,Pine,0,0.572663,0.363396827,0.050666667,0.88141185,0.0231
Tuskegee,1,Mixed,0,0.660765,0.566757815,0.0136,0.6815985,0.0012
Tuskegee,3,Mixed,0.124817899,0.1101275,0.612210925,0.018666667,0.6016065,0.0018
Tuskegee,3.2,Mixed,0.346716385,0.1101275,0.317824973,0.004666667,0.5348354,0.279
Tuskegee,6,Mixed,0,0.3303825,0.160157729,0.014,0.62799275,1.032
Tuskegee,7.2,Mixed,1.779810775,0,0.294860929,0.088,0.6024953,0.018
Tuskegee,8,Mixed,1.258580477,0.5506375,0.249879651,0.042666667,0.48467375,0.498
Tuskegee,9,Mixed,2.668945683,0.1101275,0.341382738,0.048,0.38012865,0.144
Tuskegee,12,Mixed,0,0.220255,0.068773386,0.012,0.74598095,1.11
Kreher,19,Mixed,1.05401781,0.7708925,0.295217162,0,0.57233165,0.141
Kreher,20,Mixed,1.510142476,0.9911475,0.727865498,6.67E-04,0.5591663,0.156
Kreher,21,Mixed,0.302028495,1.32153,0.227390585,0.021333333,0.63154795,0.096
Kreher,22,Mixed,1.386865539,0.44051,0.137074941,0.014666667,0.7340377,0.0267
Kreher,23,Mixed,1.183458593,0.660765,0.227387439,0.002666667,0.3962937,0.066
MOT,24,Mixed,1.183458593,0.660765,0.227387439,0.002666667,0.5492784,0.228
MOT,26,Mixed,0,0.220255,0.273081183,0.029333333,0.5758313,0.021
MOT,27,Mixed,0,0.220255,0.407899983,0.013333333,0.3658523,0.009
MOT,28,Mixed,0.221898486,0,1.086518845,0.003333333,0.72998255,0.072
MOT,29,Mixed,0.139842275,0.2422805,0.408018727,0,0.81808485,0.0342
MOT,30,Mixed,0.335159172,0,0.250235884,0,0.4635092,0.1476
MOT,33,Mixed,0.38755187,0.44051,0.409324914,0.004,0.3881834,0.363
Tuskegee,34,Mixed,0.295864648,0,0.409324914,0.045333333,0.5579442,0.186
Tuskegee,35,Mixed,0.924577026,0,0.227628073,0.004,0.6593785,0.072
Tuskegee,36,Mixed,2.336868434,0.3303825,0.182290562,0.093333333,0.37035185,0.0546
Tuskegee,37,Mixed,0.888749667,0.3303825,0.204426541,0.112,0.6090502,0.291
Tuskegee,38,Mixed,0.636031946,0.3303825,0.160038984,0.088,0.42856825,0.102
Tuskegee,39,Mixed,0,0.220255,0.317587484,0.165333333,0.4603984,0.03
Tuskegee,40,Mixed,0.394486198,0.5506375,0.296520204,0.012266667,0.4611761,0.3489
Tuskegee,43,Mixed,0,0,0.15992024,0.007333333,0.4619538,0.228
Tuskegee,44,Mixed,0.559369101,1.101275,0.43110466,0.010266667,0.451066,0.384
Tuskegee,45,Mixed,0.115572128,1.32153,0.317587484,2.67E-04,0.52100345,0.1635
Tuskegee,47,Mixed,0,0.44051,0.205492094,8.00E-04,0.4284016,0.0192
Tuskegee,48,Mixed,0.499271594,0.7708925,0.182646795,0.008533333,0.3549645,0.0198
Tuskegee,50,Mixed,0,1.101275,0.13648122,0.085333333,0.45123265,0.0768
MOT,52,Mixed,0,0.44051,0.227509329,0,0.31702385,0.0468
MOT,53,Mixed,0.455354185,0.3303825,0.206798281,0.004,0.53644635,0
MOT,54,Mixed,0,0.44051,0.363512426,2.67E-04,0.62743725,0.003
MOT,55,Mixed,0,0.220255,0.136956197,0.002,0.53944605,0
MOT,56,Mixed,0.394486198,0.2422805,0.498812494,0.003466667,0.47645235,6.00E-04
MOT,57,Mixed,1.410750446,0.3303825,0.927661012,0.048,0.5437234,0.06
MOT,59,Mixed,0,0.3303825,0.091618686,0.006666667,0.47111955,0
MOT,60,Mixed,2.227460152,0.176204,0.182524905,0.001333333,0.72764945,0.105
Talladega,61,Mixed,0.218431323,0.88102,0.906353098,0,0.42501305,0.054
Talladega,62,Mixed,0.260037289,0.7708925,0.159445263,0.005333333,0.38868335,0.015
Talladega,63,Mixed,0,0.88102,0.385885893,0,0.46656445,0.033
Talladega,64,Mixed,1.181532392,1.32153,0.340432784,0.004666667,0.4117366,0.3
Talladega,74,Mixed,0,2.64306,0.137074941,0.056,0.4028486,0.012
Talladega,76,Mixed,0,0.220255,0.091618686,0.026666667,0.31524625,0.276
Talladega,77,Mixed,1.156106523,1.76204,0.543909371,0.002666667,0.4334011,0.27
Talladega,79,Mixed,0.556287178,1.101275,0.340789016,0.021333333,0.469953,0.456
Talladega,80,Mixed,0,0.220255,0.97488585,0.072,0.5107267,0.63
Talladega,81,Mixed,0.65760541,0.220255,0.385176573,0.002666667,0.6604895,0.975
Talladega,82,Mixed,1.494732859,0.3303825,0.612560867,0,0.40501505,1.173
Talladega,83,Mixed,0,0.1101275,0.589837458,0.026666667,0.3269673,0.096
Talladega,84,Mixed,0,0.7708925,0.204304651,0.056,0.39012765,0.108
Talladega,86,Mixed,0.81940639,0.1541785,0.747385958,0.042933333,0.37368485,0.036
Talladega,88,Mixed,0.334003451,0.1101275,0.430154706,0.050666667,0.48845115,0.078
Talladega,91,Mixed,3.095792076,1.101275,0.996675033,0.050666667,0.4076259,0.06
Talladega,92,Mixed,1.967808104,0.220255,0.318181206,0.053333333,0.45001055,0
Talladega,93,Mixed,1.938144591,0.88102,0.727031143,0.056,0.47656345,0.06
