Collection,Plot,Treatment,woody_25,woody_1,woody_3
pre-thin,1,control,3,1,1
pre-thin,1,control,4,1,1
pre-thin,2,control,10,3,1
pre-thin,2,control,4,3,3
pre-thin,3,control,6,3,2
pre-thin,3,control,2,1,2
pre-thin,4,control,5,1,1
pre-thin,4,control,3,1,2
pre-thin,5,control,4,2,2
pre-thin,5,control,4,1,1
pre-thin,6,control,6,4,1
pre-thin,6,control,8,1,1
pre-thin,7,control,10,2,0
pre-thin,7,control,3,2,1
pre-thin,8,control,7,2,2
pre-thin,8,control,5,2,3
pre-thin,9,control,4,1,2
pre-thin,9,control,7,2,1
pre-thin,10,control,8,2,3
pre-thin,10,control,7,2,1
pre-thin,11,control,6,0,0
pre-thin,11,control,8,1,0
pre-thin,12,control,9,4,1
pre-thin,12,control,4,3,4
pre-thin,1,thin,4,1,0
pre-thin,1,thin,6,2,2
pre-thin,2,thin,7,3,2
pre-thin,2,thin,7,2,3
pre-thin,3,thin,2,1,3
pre-thin,3,thin,4,1,2
pre-thin,4,thin,4,1,1
pre-thin,4,thin,5,2,0
pre-thin,5,thin,7,1,2
pre-thin,5,thin,2,1,1
pre-thin,6,thin,7,1,2
pre-thin,6,thin,5,1,2
pre-thin,7,thin,3,2,2
pre-thin,7,thin,4,3,1
pre-thin,8,thin,9,2,1
pre-thin,8,thin,6,1,2
pre-thin,9,thin,4,1,1
pre-thin,9,thin,3,2,2
pre-thin,10,thin,3,0,2
pre-thin,10,thin,4,1,3
pre-thin,11,thin,3,1,1
pre-thin,11,thin,6,3,3
pre-thin,12,thin,6,1,2
pre-thin,12,thin,5,2,3
post-thin,1,control,5,1,1
post-thin,1,control,3,2,1
post-thin,2,control,5,1,1
post-thin,2,control,4,2,0
post-thin,3,control,5,0,0
post-thin,3,control,4,2,1
post-thin,4,control,4,1,2
post-thin,4,control,6,1,0
post-thin,5,control,3,1,1
post-thin,5,control,4,2,0
post-thin,6,control,4,0,0
post-thin,6,control,6,1,2
post-thin,7,control,4,2,1
post-thin,7,control,5,0,1
post-thin,8,control,3,1,0
post-thin,8,control,2,1,1
post-thin,9,control,6,0,1
post-thin,9,control,2,1,1
post-thin,10,control,4,0,0
post-thin,10,control,3,0,0
post-thin,11,control,4,1,3
post-thin,11,control,2,1,1
post-thin,12,control,3,1,0
post-thin,12,control,3,0,1
post-thin,1,thin,3,1,1
post-thin,1,thin,4,2,0
post-thin,2,thin,3,1,0
post-thin,2,thin,6,0,1
post-thin,3,thin,4,0,2
post-thin,3,thin,3,1,1
post-thin,4,thin,6,1,0
post-thin,4,thin,4,1,1
post-thin,5,thin,4,2,0
post-thin,5,thin,2,0,1
post-thin,6,thin,4,1,0
post-thin,6,thin,3,1,0
post-thin,7,thin,5,1,0
post-thin,7,thin,4,2,1
post-thin,8,thin,6,1,2
post-thin,8,thin,2,1,1
post-thin,9,thin,3,1,0
post-thin,9,thin,2,1,2
post-thin,10,thin,6,2,1
post-thin,10,thin,4,0,1
post-thin,11,thin,4,1,1
post-thin,11,thin,6,0,1
post-thin,12,thin,3,0,1
post-thin,12,thin,4,1,0
