collection,Plot,Treatment,Burn_Szn,canopy_trt,Total_wt,Pine_wt,UO_wt,SG_wt,WO_wt,MESO_wt
44578,1,thin,ED,high,26.53,18.28,1.55,0.09,2.89,0.017
44578,1,thin,LD,high,26.62,16.69,4.07,0.11,0.92,0.14
44578,1,thin,GS,high,40.77,13.97,6.4,0.06,2.82,8.54
44578,1,thin,Control,high,33.81,4.41,2.39,4.3,5.67,6.63
44578,1,control,ED,high,12.99,4.2,0.98,2.59,1.08,1.24
44578,1,control,LD,high,13.31,2.03,0.94,6.19,0.23,1.74
44578,1,control,GS,high,61.23,11.01,0.48,5.4,21.46,9.58
44578,1,control,Control,high,47.59,2.77,0.88,8.16,12.1,9.52
44578,2,thin,ED,med,16.85,9.3,2.43,0.36,1.27,0.25
44578,2,thin,LD,med,14.78,5.06,1.25,2.18,0.37,1.97
44578,2,thin,GS,med,49.51,11.85,1.63,1.37,13.76,8.62
44578,2,thin,Control,med,31.78,11.29,2.46,0.53,3.1,4.22
44578,2,control,ED,med,32.02,26.5,0.91,0.14,0.27,0.72
44578,2,control,LD,med,29.46,13.54,4.56,1.79,4.08,1.38
44578,2,control,GS,med,58.31,6.44,13.66,12.1,3.01,12.74
44578,2,control,Control,med,43.54,14.92,5.31,0.66,7.23,4.32
44578,3,thin,ED,high,47.65,12.59,3.26,0.19,13.9,2.07
44578,3,thin,LD,high,42.17,16.35,1.11,0.33,14.69,1.02
44578,3,thin,GS,high,35.24,12.56,1.69,0.12,8.66,0.18
44578,3,thin,Control,high,59.04,15.16,0.21,4.41,13.16,2.11
44578,3,control,ED,high,35.35,19.13,0.84,0.14,9.39,0.74
44578,3,control,LD,high,20.53,8.95,0,2.88,4.22,0.86
44578,3,control,GS,high,63.38,31.86,0,0.36,11.84,4.94
44578,3,control,Control,high,76.16,29.29,2.4,8.39,16.83,8.05
44578,4,thin,ED,low,13.87,4.55,2.05,3.06,0.45,0.79
44578,4,thin,LD,low,10.52,3.26,2.24,0.08,0,2.81
44578,4,thin,GS,low,45.81,10.8,11.7,0.54,0.21,13.16
44578,4,thin,Control,low,54.74,20.33,4.28,0.62,0.28,12.62
44578,4,control,ED,low,35.94,7.38,11.9,0,5.61,1.87
44578,4,control,LD,low,61.13,21.77,15.06,0.22,1.61,9.29
44578,4,control,GS,low,56.01,6.05,30.41,0.25,3.51,1.15
44578,4,control,Control,low,67.64,13.45,30.09,2.91,1.37,3.93
44578,5,thin,ED,low,37.33,6.63,18.2,0,1.11,3.71
44578,5,thin,LD,low,33.67,10.65,12.62,0,1.85,0.32
44578,5,thin,GS,low,48.28,9.07,24,0,0.98,0.5
44578,5,thin,Control,low,52.4,17.15,12.98,0,2.49,7.81
44578,5,control,ED,low,16.53,2.16,10.45,0.9,0.51,0
44578,5,control,LD,low,23.38,5.06,7.46,2.75,2.36,2.45
44578,5,control,GS,low,60.39,14.9,16.59,0.57,2.54,10.5
44578,5,control,Control,low,79.92,18.11,30.18,2.63,8.53,2.37
44578,6,thin,ED,low,91.91,52,9.98,2.91,6.68,3.94
44578,6,thin,LD,low,50.37,32.15,0.08,5.52,1.56,0.94
44578,6,thin,GS,low,60.61,21.21,6.33,3.31,2.12,1.22
44578,6,thin,Control,low,50.21,13.13,9.75,11.92,0.89,2.83
44578,6,control,ED,low,38.53,13.23,3.48,5.19,4.35,3.01
44578,6,control,LD,low,61.4,16.03,20.17,2.97,4.86,1.46
44578,6,control,GS,low,56.09,11.66,27.08,0.33,3.11,0.45
44578,6,control,Control,low,57.24,12.21,30.1,0.61,0.71,1.24
44578,7,thin,ED,med,61.62,38.27,0.31,1.77,4.05,3.8
44578,7,thin,LD,med,49.75,35.2,0.5,0.1,6.4,0.09
44578,7,thin,GS,med,44.27,28.05,0,0.69,6.67,2.65
44578,7,thin,Control,med,61.14,30.59,0.16,1.6,6.77,6.87
44578,7,control,ED,med,63.5,12.83,0.12,17.86,12.88,3.27
44578,7,control,LD,med,68.73,22.47,3.41,4.62,14.18,3.71
44578,7,control,GS,med,57.45,19.93,0,8.66,7.35,4.39
44578,7,control,Control,med,59.7,34.18,0,4.42,6.45,8.29
44578,8,thin,ED,med,32.32,4,1.83,1.11,9.1,0.1
44578,8,thin,LD,med,54.4,27.67,2.5,9.24,5.5,0.43
44578,8,thin,GS,med,51.51,7.53,1.35,0.08,17.71,1.04
44578,8,thin,Control,med,50.19,14.2,2.31,1.66,12.92,3.85
44578,8,control,ED,med,50.74,5.39,11.14,6.62,6.67,1.32
44578,8,control,LD,med,58.63,22.67,0.1,4.05,12.61,0.55
44578,8,control,GS,med,48.53,23.31,2.03,4.15,3.99,1.09
44578,8,control,Control,med,47.86,17.96,3.43,1.08,9.31,1.07
