Treatment,Plot,season,meso_os,frs1,frs2,avg_fh,fd,consump,tempC,rh,ws,wd,db,avg_max_temp
thin,1,ed,high,4:51:00,12:11:00,17.75,18:54:00,97,8.61,43.6,0.8,SW,400,388.2222222
control,1,ed,high,9:54:00,27:43:00,12.17391304,27:43:00,82,11.22,33.8,0.5,SE,378,141.3333333
thin,2,ed,med,1:07:00,5:10:00,17,11:48:00,97,14.56,32.7,1,SE,400,399
control,2,ed,med,1:06:00,2:55:00,28.33333333,8:41:00,95,11.39,33.3,0.7,SE,400,463.2222222
thin,3,ed,high,8:34:00,17:02:00,13.6,27:57:00,80,12.56,36.4,0.8,SE,400,250.2222222
control,3,ed,high,3:53:00,10:55:00,27.72727273,15:01:00,90,12.11,38.8,0,NA,400,392.7777778
thin,4,ed,low,5:02:00,18:26:00,20.20833333,25:08:00,90,14.89,33.7,1.3,W,400,295.4444444
control,4,ed,low,4:33:00,9:32:00,18,14:25:00,100,13.39,31.7,0.8,E,400,411.3333333
thin,5,ed,low,4:25:00,8:42:00,19.58333333,13:12:00,97,14.56,32.2,1.4,W,400,394.3333333
control,5,ed,low,5:55:00,12:50:00,21.53846154,15:47:00,100,14.11,28,0.5,NW,400,379.875
thin,6,ed,low,5:54:00,12:08:00,25.76923077,16:38:00,100,13.5,28.4,0.6,N,400,358.7777778
control,6,ed,low,1:49:00,13:42:00,23.52941176,17:32:00,100,14.67,31.8,0.5,E,400,382
thin,7,ed,med,3:17:00,7:00:00,28.33333333,12:27:00,100,15.28,35.9,0.5,N,400,375.8888889
control,7,ed,med,8:15:00,17:47:00,13.42105263,35:42:00,85,18.17,28.1,0,NA,400,270.4444444
thin,8,ed,med,NA,NA,10,9:20:00,10,15.06,29.9,1.1,E,140,35.88888889
control,8,ed,med,NA,NA,11.25,8:39:00,15,15.67,31.2,0.6,S,145,52.88888889
thin,9,ed,high,1:08:00,7:08:00,24,10:58:00,100,17.61,28,0.3,SE,400,394.3333333
control,9,ed,high,4:50:00,12:15:00,17.63157895,16:37:00,95,18.89,35,0,NA,400,371.2222222
thin,10,ed,med,3:28:00,9:31:00,21.57894737,20:51:00,98,14.89,29.8,0.6,SE,400,409.7777778
control,10,ed,med,3:16:00,6:29:00,18.92857143,15:09:00,97,18.33,37,0,NA,400,385.1111111
thin,11,ed,low,5:12:00,9:40:00,20,17:25:00,95,16.89,36.8,0,NA,400,295.1111111
control,11,ed,low,3:37:00,10:36:00,25,15:41:00,98,16.83,30.1,0,NA,400,349.6666667
thin,12,ed,high,3:18:00,11:16:00,16.66666667,15:27:00,98,15.44,29.8,0.8,N,400,380.5555556
control,12,ed,high,2:57:00,16:31:00,18.21428571,19:12:00,93,13.72,34.6,0.4,N,400,275.5555556
