collection,Plot,Treatment,Burn_Szn,canopy_trt,Total_wt,Pine_wt,UO_wt,SG_wt,WO_wt,MESO_wt,Total_m,Load_gm2
6/24/2021,1,thin,LD,high,,31.15,1.89,1.03,3,0.9,37.97,421.8467
6/24/2021,6,thin,Control,low,,29.94,0.86,1.22,3.71,0.5,36.23,402.5153
6/24/2021,6,thin,ED,low,,29.15,1.96,0.06,2.08,0.34,33.59,373.1849
6/24/2021,2,control,ED,med,,29.06,0,0,1.62,1.87,32.55,361.6305
6/24/2021,12,control,LD,high,,21.79,1.45,1.47,3.99,0.57,29.27,325.1897
6/24/2021,1,thin,ED,high,,21.54,1.6,1.23,3.03,0.58,27.98,310.8578
6/24/2021,10,thin,LD,med,,21.37,2.28,0.54,2.84,1.23,28.26,313.9686
6/24/2021,3,control,GS,high,,21.26,2.2,0.1,1.83,2.07,27.46,305.0806
6/24/2021,2,control,LD,med,,21.12,0.57,0,2.1,2.08,25.87,287.4157
6/24/2021,6,thin,LD,low,,20.9,0.45,0.48,0.43,0.11,22.37,248.5307
6/24/2021,5,thin,Control,low,,20.83,4.45,0.12,0.92,0.55,26.87,298.5257
6/24/2021,6,thin,GS,low,,20.24,0.26,1.07,0.73,0.74,23.04,255.9744
6/24/2021,10,thin,ED,med,,18.71,1.63,0.47,2.31,1.63,24.75,274.9725
6/24/2021,5,thin,LD,low,,18.1,2.49,0.16,1.41,0.75,22.91,254.5301
6/24/2021,7,thin,GS,med,,17.53,0,3.23,5.21,0.21,26.18,290.8598
6/24/2021,7,control,GS,med,,17.38,0.13,0,1.56,6.08,25.15,279.4165
6/24/2021,9,thin,ED,high,,16.83,0.1,3.32,1.84,1.2,23.29,258.7519
6/24/2021,10,thin,GS,med,,15.95,2.53,0.07,1.75,0.69,20.99,233.1989
6/24/2021,7,thin,Control,med,,15.56,0,1.08,2.99,0.17,19.8,219.978
6/24/2021,10,control,Control,med,,14.45,2.12,0.34,0.5,0.24,17.65,196.0915
6/24/2021,1,control,Control,high,,14.09,1.28,1.75,6.59,1.57,25.28,280.8608
6/24/2021,6,control,ED,low,,13.88,1.22,2.3,5.66,1.61,24.67,274.0837
6/24/2021,10,thin,Control,med,,13.74,1.67,0,1.12,1.35,17.88,198.6468
6/24/2021,8,control,Control,med,,13.08,0.55,0.77,3.89,0.52,18.81,208.9791
6/24/2021,12,control,Control,high,,12.84,2.01,1.86,0.55,0.43,17.69,196.5359
6/24/2021,9,control,GS,high,,12.75,0.22,1.11,6.88,0.22,21.18,235.3098
6/24/2021,7,thin,ED,med,,12.68,0,0.12,2.48,0.62,15.9,176.649
6/24/2021,7,control,Control,med,,12.45,0.17,0.35,2.2,6.09,21.26,236.1986
6/24/2021,7,thin,LD,med,,12.38,0,1.2,2.21,0.2,15.99,177.6489
6/24/2021,8,thin,LD,med,,12.33,0,0.99,3.73,0.3,17.35,192.7585
6/24/2021,3,control,LD,high,,12.28,1.13,0.25,2.06,0.79,16.51,183.4261
6/24/2021,10,control,LD,med,,12.24,2.55,0,0.33,0.58,15.7,174.427
6/24/2021,8,control,LD,med,,12.04,1.03,0.38,5.33,0.27,19.05,211.6455
6/24/2021,1,control,GS,high,,11.99,0.59,1.86,5.79,0.66,20.89,232.0879
6/24/2021,9,thin,LD,high,,11.58,2.63,1.02,5.88,3.9,25.01,277.8611
6/24/2021,3,control,ED,high,,11.38,0.1,0.39,6.67,0.21,18.75,208.3125
6/24/2021,10,control,ED,med,,11.11,0.07,1.85,6.37,0.52,19.92,221.3112
6/24/2021,9,thin,Control,high,,10.96,0.15,1.06,1.32,1.86,15.35,170.5385
6/24/2021,3,control,Control,high,,10.83,0.61,1.02,7.64,0.11,20.21,224.5331
6/24/2021,5,control,LD,low,,10.42,3.94,0,3.07,1.13,18.56,206.2016
6/24/2021,12,control,GS,high,,10.34,2.14,1.23,2.91,0.86,17.48,194.2028
6/24/2021,12,control,ED,high,,10.23,3.9,1.43,0.84,1.09,17.49,194.3139
6/24/2021,9,thin,GS,high,,10.15,0.84,3.22,4.78,2.61,21.6,239.976
6/24/2021,11,control,GS,low,,9.84,3.46,0,2.09,2.35,17.74,197.0914
6/24/2021,12,thin,LD,high,,9.36,9,2.38,1.46,2.09,24.29,269.8619
6/24/2021,3,thin,Control,high,,9.3,0.09,0.62,5.84,0.65,16.5,183.315
6/24/2021,2,thin,GS,med,,9.23,0.49,1.52,2.25,4.34,17.83,198.0913
6/24/2021,2,thin,Control,med,,9.22,0.35,1.93,2.08,6.39,19.97,221.8667
6/24/2021,5,control,Control,low,,8.77,1.71,0.18,2.03,1.16,13.85,153.8735
6/24/2021,9,control,Control,high,,8.76,0.37,1.13,5.33,0.15,15.74,174.8714
6/24/2021,11,control,ED,low,,8.47,4.87,0.14,1.19,1.25,15.92,176.8712
6/24/2021,7,control,LD,med,,8.24,0.82,0.38,5.07,0.33,14.84,164.8724
6/24/2021,10,control,GS,med,,8.08,0.65,3.83,4.28,0.31,17.15,190.5365
6/24/2021,9,control,ED,high,,7.97,0.53,0.74,2.43,0.63,12.3,136.653
6/24/2021,7,control,ED,med,,7.83,0.19,0.27,3.57,0.72,12.58,139.7638
6/24/2021,3,thin,GS,high,,7.79,0.32,0.51,5.62,0.56,14.8,164.428
6/24/2021,11,thin,LD,low,,7.38,6.67,3.88,2.98,5.27,26.18,290.8598
6/24/2021,3,thin,LD,high,,7.2,0.5,1.77,5.84,0.78,16.09,178.7599
6/24/2021,9,control,LD,high,,7.17,1.1,1.66,2.15,0.37,12.45,138.3195
6/24/2021,11,thin,Control,low,,6.99,3.66,1.44,3.22,3.22,18.53,205.8683
6/24/2021,1,thin,Control,high,,6.94,0,2.58,4.44,4.82,18.78,208.6458
6/24/2021,6,control,LD,low,,6.75,0.88,0.07,2.55,0.96,11.21,124.5431
6/24/2021,1,thin,GS,high,,6.72,1.84,5.63,3.89,2.95,21.03,233.6433
6/24/2021,2,thin,LD,med,,6.41,2.04,0.97,5.2,4.55,19.17,212.9787
6/24/2021,6,control,GS,low,,6.11,13.11,0.11,1.05,0.64,21.02,233.5322
6/24/2021,2,thin,ED,med,,5.7,2.17,3.6,5.24,5.58,22.29,247.6419
6/24/2021,5,control,ED,low,,5.49,7.07,0.4,3.78,0.5,17.24,191.5364
6/24/2021,4,thin,GS,low,,5.28,2.43,0,2.23,3.91,13.85,153.8735
6/24/2021,6,control,Control,low,,5.16,19,0.18,0.66,1.2,26.2,291.082
6/24/2021,4,control,ED,low,,5.1,8.04,0.17,1.9,0.35,15.56,172.8716
6/24/2021,2,control,Control,med,,4.86,18.4,2.73,6.62,3.45,36.06,400.6266
6/24/2021,8,thin,Control,med,,4.71,0,0.6,2.74,0.4,8.45,93.8795
6/24/2021,4,thin,Control,low,,4.65,2.95,0.1,1.8,3.14,12.64,140.4304
6/24/2021,3,thin,ED,high,,4.63,0.66,1.11,5.37,0.44,12.21,135.6531
6/24/2021,5,control,GS,low,,4.08,5.8,1,2.74,1.23,14.85,164.9835
6/24/2021,4,control,LD,low,,3.97,3.34,0.11,2.41,0.67,10.5,116.655
6/24/2021,11,control,Control,low,,3.87,6.69,1.16,1.86,1.53,15.11,167.8721
