Site,Plot,Date,Direction,CC_Count,CC,Woody_0.25,Woody_1,Woody_3,Woody_3+,Live_Woody,Dead_Woody,Woody_Height,Live_Herbs,Dead_Herbs,Herb_Height,Cones,Acorns,SG,
Talladega,63,7/5/2022,SW,2,97.92,2,1,1,0,0.00,0,0,0,0,0,11,0,0,
Talladega,77,7/5/2022,SW,6,93.76,4,0,2,"11 (4), 20 (1)",0.00,0,0,0,0,0,0,0,0,
Talladega,99,7/8/2022,SW,4,95.84,0,0,0,"4 (3), 6 (4), 4 (4)",0.00,0,0,0,0,0,7,0,0,inches
MOT,53,5/18/2022,SE,7,92.72,4,3,0,13 (4),0.00,0,0,10,0,5,11,0,0,
MOT,54,5/18/2022,N,12,87.52,1,4,1,0,0.00,0,0,2,0,5,3,0,0,
MOT,55,5/18/2022,SW,3,96.88,2,0,0,0,0.00,0,0,5,0,5,3,0,0,
Talladega,64,7/5/2022,N,3,96.88,2,0,0,0,0.00,0,0,5,0,5,9,0,0,
MOT,53,5/18/2022,N,6,93.76,14,0,0,15 (5),0.00,0,0,5,0,10,0,2,0,
MOT,53,5/18/2022,SW,12,87.52,5,2,1,0,0.00,0,0,5,0,10,1,5,0,
MOT,55,5/18/2022,SE,2,97.92,3,2,0,0,0.00,0,0,5,0,10,3,1,0,
MOT,56,5/18/2022,N,2,97.92,3,1,1,0,0.00,0,0,10,0,10,0,0,0,
MOT,56,5/18/2022,SE,3,96.88,5,1,4,16 (2),0.00,0,0,3,0,10,5,1,0,
Talladega,66,7/5/2022,N,5,94.8,2,0,3,10 (2),0.00,0,0,10,0,10,10,0,0,
Talladega,77,7/5/2022,N,2,97.92,0,2,2,11 (4),0.00,0,0,10,0,10,15,0,0,
Talladega,85,7/6/2022,N,3,96.88,5,0,0,0,0.00,0,0,10,0,10,5,3,0,
Talladega,86,7/6/2022,N,3,96.88,3,3,3,0,0.00,0,0,1,0,10,6,5,0,
Talladega,88,7/6/2022,SW,6,93.76,2,0,1,0,0.00,0,0,50,0,10,2,5,0,
Talladega,75,7/5/2022,SW,7,92.72,3,0,0,29 (5),0.00,0,0,30,0,15,3,0,0,
Talladega,69,7/5/2022,SE,7,92.72,1,5,0,0,0.00,0,0,20,0,20,1,0,1,
Talladega,71,7/5/2022,N,14,85.44,3,0,0,0,0.00,0,0,5,20,20,3,0,0,
Talladega,74,7/5/2022,SW,0,100,4,2,0,0,0.00,0,0,5,0,20,0,0,0,
Talladega,86,7/6/2022,SE,7,92.72,3,0,1,0,0.00,0,0,50,0,20,3,0,0,
Talladega,91,7/8/2022,N,4,95.84,0,2,3,"11 (3), 8.5 (2)",0.00,0,0,10,0,20,0,0,0,
Talladega,92,7/8/2022,SE,3,96.88,4,1,1,0,0.00,0,0,20,0,20,3,0,0,
Talladega,92,7/8/2022,SW,6,93.76,6,0,2,0,0.00,0,0,20,0,20,4,0,0,
Talladega,94,7/8/2022,SE,3,96.88,9,0,1,"11 (5), 6 (4), 7 (5)",0.00,0,0,70,0,20,4,0,0,
Talladega,101,7/6/2022,SW,4,95.84,4,2,0,0,0.00,0,0,10,0,20,1,0,0,
Talladega,102,7/6/2022,SE,6,93.76,1,4,1,0,0.00,0,0,60,0,20,0,0,0,
MOT,58,5/19/2022,SE,6,93.76,5,0,1,31 (5),0.00,0,0,5,0,30,0,0,0,
Talladega,71,7/5/2022,SE,12,87.52,1,1,1,18 (2),0.00,0,0,20,0,30,2,0,0,
Talladega,80,7/6/2022,SW,9,90.64,2,7,3,0,0.00,0,0,10,0,30,10,0,0,
Talladega,91,7/8/2022,SE,4,95.84,9,1,5,11 (2),0.00,0,0,50,0,30,6,0,0,
Talladega,93,7/8/2022,N,7,92.72,6,1,3,0,0.00,0,0,10,0,30,2,0,0,
Talladega,97,7/8/2022,SW,5,94.8,3,1,3,0,0.00,0,0,60,0,30,1,0,0,inches
Talladega,74,7/5/2022,N,3,96.88,2,0,1,0,0.00,0,0,40,0,40,3,0,0,
