Site,Plot,Location,Total_wt,Pine_wt,UO_wt,SG_wt,WO_wt,MESO_wt
Tuskegee,1,N,45.86,13.19,0,1.17,31.5,0
Tuskegee,1,S,76.84,54.1,0,12.63,9.3,0.81
Tuskegee,2,N,43.35,15.06,0,3.38,22.47,2.44
Tuskegee,2,S,42.83,16.08,0,11.17,13.82,1.76
Tuskegee,2.2,N,44.11,9.91,0,10.55,12.23,11.42
Tuskegee,2.2,S,36.2,21.25,0,1.57,5.69,7.69
Tuskegee,3,N,68.55,35.1,0,2.84,24.4,6.21
Tuskegee,3,S,39.75,12.73,0,1.87,22.8,2.35
Tuskegee,3.2,N,56.45,38.45,0,4.23,6.72,7.05
Tuskegee,3.2,S,39.83,18.58,0,7.85,8.46,4.94
Tuskegee,6,N,38.7,8.79,15.7,1.08,3.82,9.31
Tuskegee,6,S,74.35,39.67,14.22,1.23,12.33,6.9
Tuskegee,7,N,55.58,43.86,0,10.53,0,1.19
Tuskegee,7,S,39.55,19.86,0,10.82,1.07,7.8
Tuskegee,7.2,N,51.34,40.75,0.86,2.15,4.01,3.57
Tuskegee,7.2,S,57.12,36.03,0,8.18,1.16,11.75
Tuskegee,8,N,46.54,29.58,0,11.65,0.64,4.67
Tuskegee,8,S,40.71,15.95,2.86,7.92,0.54,13.44
Tuskegee,9,N,39.26,23.15,0,0.39,7.77,7.95
Tuskegee,9,S,29.17,9.53,0.3,2.63,12.34,4.37
Tuskegee,12,N,70.2,26,38.61,0.47,0.48,4.64
Tuskegee,12,S,64.09,43.12,19.99,0,0.35,0.63
Tuskegee,17,N,34.3,11.86,0,5.52,12.13,4.79
Tuskegee,17,S,56.86,36.56,0,1.95,14.06,4.29
Kreher,19,N,52.47,27.78,8.66,10.39,1.17,4.47
Kreher,19,S,50.56,17.49,4.94,12.23,7.22,8.68
Kreher,20,N,54.73,46.77,0.79,3.33,1.46,2.38
Kreher,20,S,45.93,31.88,0,9.11,1.12,3.82
Kreher,21,N,65.67,41.33,0,13.65,7.22,3.47
Kreher,21,S,48.02,29.96,1.05,5.35,9.34,2.32
Kreher,22,N,79.5,51.54,0.56,14.77,11.08,1.55
Kreher,22,S,52.64,24.01,0,18.63,9.32,0.68
Kreher,23,N,32.88,16.08,7.17,1.84,1.28,6.51
Kreher,23,S,38.46,6.49,6.85,7.71,2.33,15.08
MOT,24,N,61.63,40.73,0.41,5.53,7.91,7.05
MOT,24,S,37.25,21.84,0,2.77,4.41,8.23
MOT,25,N,68.46,60.82,0,1.03,3.78,2.83
MOT,25,S,51,32.59,0.48,2.04,9.85,6.04
MOT,26,N,51.83,34.4,0,3.09,9.21,5.13
MOT,26,S,51.83,34.4,0,3.09,9.21,5.13
MOT,27,N,31.46,15.6,0,4.44,6.17,5.25
MOT,27,S,34.4,5.89,0.82,1.49,22.21,3.99
MOT,28,N,53.09,35.18,1.13,2.25,10.89,3.64
MOT,28,S,78.32,53.74,7.34,1.35,10.07,5.82
MOT,29,N,80.56,35.1,25.58,0.09,18.25,1.54
MOT,29,S,66.71,16.42,34.21,6.29,7.83,1.96
MOT,30,N,51.91,16.77,6.88,1.12,18.62,8.52
MOT,30,S,31.53,6.99,7.99,0,13.73,2.82
MOT,31,N,68.6,58.48,1.01,1.97,5.63,1.51
MOT,31,S,48.35,31.11,2.18,0.92,10.31,3.83
MOT,32,N,33.69,5.73,1.06,0.74,23.09,3.07
MOT,32,S,32.55,1.3,20.93,1.14,2.45,6.73
MOT,33,N,29.76,11.12,5.91,1.87,7.44,3.42
MOT,33,S,40.12,11.76,11.42,4.91,4.14,7.89
Tuskegee,34,N,50.09,19.42,1.69,5.35,4.89,18.74
Tuskegee,34,S,50.35,26.41,6.59,3.53,2.52,11.3
Tuskegee,35,N,67.11,24.89,4.05,2.56,4.1,31.51
Tuskegee,35,S,51.59,19.74,12.95,15.45,2.2,1.25
Tuskegee,36,N,33.09,16.22,0,3.68,12.13,1.06
Tuskegee,36,S,33.58,15.2,0,4.45,13.27,0.66
Tuskegee,37,N,39.6,24.63,0,10.11,0.59,4.27
Tuskegee,37,S,70.04,52.35,0.57,10.13,1.39,5.6
Tuskegee,38,N,43.86,11.54,0,5.5,12.62,14.2
Tuskegee,38,S,33.29,16.46,0.17,4.03,3.47,9.16
Tuskegee,39,N,40.4,28.97,0,2.63,5.25,3.55
Tuskegee,39,S,42.48,30.96,0,5.74,4.77,1.01
Tuskegee,40,N,41.79,23.13,0,8.88,7.83,1.95
Tuskegee,40,S,41.23,36.6,0,1.46,1.16,2.01
Tuskegee,41,N,89.93,59.8,1.48,4.67,23.65,0.33
Tuskegee,41,S,65.99,49.21,0.53,0,16.09,0.16
Tuskegee,42,N,40.01,24.26,0,0,15.3,0.45
Tuskegee,42,S,32.36,23.33,0,0,8.55,0.48
Tuskegee,43,N,43.4,23.19,0,0.32,18.12,1.77
Tuskegee,43,S,39.76,17.74,0,0,21.33,0.69
Tuskegee,44,N,36.22,13.8,0.72,0,20.63,1.07
Tuskegee,44,S,44.98,17.26,0,0,27.54,0.18
Tuskegee,45,N,49.68,17.67,30.91,0.31,0.79,0
Tuskegee,45,S,44.11,26.65,9.5,1.18,6.31,0.47
Tuskegee,47,N,55.46,36.06,1.85,0,16.94,0.61
Tuskegee,47,S,21.66,4.47,0.77,0,15.92,0.5
Tuskegee,48,N,32.4,8.39,6.35,0,3.99,13.67
Tuskegee,48,S,31.5,9.93,4.73,1.33,7.72,7.79
Tuskegee,49,N,44.41,35.55,0,1.5,4.49,2.87
Tuskegee,49,S,51.53,39.12,0,6.01,5.86,0.54
Tuskegee,50,N,50.26,35.95,0,7.48,5.82,1.01
Tuskegee,50,S,30.97,26.22,0,2.06,1.66,1.03
Tuskegee,51,N,44.95,34.21,0,10.44,0,0.3
Tuskegee,51,S,23.66,17.09,0,6.21,0.28,0.08
MOT,52,N,26.29,5.05,14.3,1.79,3.73,1.42
MOT,52,S,30.78,6.56,17.05,2.13,3.14,1.9
MOT,53,N,41.6,1.97,24.62,1.63,4.1,9.28
MOT,53,S,54.97,17.89,29.68,0.49,2.03,4.88
MOT,54,N,60.21,47.72,0,1.56,4.24,6.69
MOT,54,S,52.74,33.29,0.28,12.07,4.04,3.06
MOT,55,N,52.22,20.58,12.9,3.46,1,14.28
MOT,55,S,44.89,22.78,8.56,5.63,0.8,7.12
MOT,56,N,38.46,5.54,21.26,2.56,0.51,8.59
MOT,56,S,47.31,21.4,14.49,3.98,2.73,4.71
MOT,57,N,53.14,35.64,8.2,2.54,0.59,6.17
MOT,57,S,44.74,8.26,7.62,7.24,1.4,20.22
MOT,58,N,53.6,19.1,28.92,0,0.71,4.87
MOT,58,S,30.95,2.07,20.45,0,0.27,8.16
MOT,59,N,35.39,19.24,0.21,0,15.74,0.2
MOT,59,S,49.42,36.2,0.32,1.85,11.05,0
MOT,60,N,63.98,55.37,0.32,2.04,1.56,4.69
MOT,60,S,67.01,59.74,0,4.46,2.25,0.56
Talladega,61,N,39.87,23.74,0,6.73,0,9.4
Talladega,61,S,36.64,27.65,0,0.92,0,8.07
Talladega,62,N,38.53,29.02,0.29,6.02,0,3.2
Talladega,62,S,31.44,16.78,4.25,4.59,0.21,5.61
Talladega,63,N,50.92,38.81,0,0,0.07,12.04
Talladega,63,S,33.07,21.59,0,0,0,11.48
