Site,plot,functional_group,rel_freq,rel_den,rel_dom,iv
Tuskegee,1,meso,33.33333333,73.91304348,44.14693932,151.3933161
Tuskegee,2,meso,50,64.28571429,24.26914425,138.5548585
Tuskegee,2.2,meso,50,66.66666667,16.45959219,133.1262589
Tuskegee,3,meso,50,60,32.99477484,142.9947748
Tuskegee,3.2,meso,50,66.66666667,30.98337395,147.6500406
Tuskegee,6,meso,33.33333333,45.45454545,37.65698085,116.4448596
Tuskegee,7,meso,50,60,13.39695838,123.3969584
Tuskegee,7.2,meso,50,76.47058824,33.07932956,159.5499178
Tuskegee,8,meso,50,44.44444444,36.59028456,131.034729
Tuskegee,9,meso,33.33333333,40,18.24834386,91.58167719
Tuskegee,12,meso,0,0,0,0
Tuskegee,17,meso,50,43.75,25.66600549,119.4160055
Kreher,19,meso,33.33333333,55.55555556,41.69853534,130.5874242
Kreher,20,meso,50,75,30.83474202,155.834742
Kreher,21,meso,50,63.15789474,38.69786951,151.8557642
Kreher,22,meso,50,80,60.71328664,190.7132866
Kreher,23,meso,33.33333333,73.33333333,34.60517235,141.271839
MOT,24,meso,50,66.66666667,36.00606843,152.6727351
MOT,25,meso,50,53.84615385,21.89262695,125.7387808
MOT,26,meso,50,93.33333333,41.83504318,185.1683765
MOT,27,meso,33.33333333,87.5,65.61944443,186.4527778
MOT,28,meso,33.33333333,38.88888889,34.66081063,106.8830329
MOT,29,meso,33.33333333,46.66666667,18.90076145,98.90076145
MOT,30,meso,33.33333333,70,44.40450281,147.7378361
MOT,31,meso,50,52.94117647,23.9563159,126.8974924
MOT,32,meso,33.33333333,79.31034483,28.388551,141.0322292
MOT,33,meso,33.33333333,71.875,37.13491935,142.3432527
Tuskegee,34,meso,50,66.66666667,29.38636418,146.0530308
Tuskegee,35,meso,50,57.14285714,31.40797312,138.5508303
Tuskegee,36,meso,50,80,69.29757337,199.2975734
Tuskegee,37,meso,50,60,38.08579872,148.0857987
Tuskegee,38,meso,50,87.5,63.67300298,201.173003
Tuskegee,39,meso,50,61.11111111,31.58164187,142.692753
Tuskegee,40,meso,50,75,28.86241719,153.8624172
Tuskegee,41,meso,33.33333333,15.38461538,6.52504164,55.24299036
Tuskegee,42,meso,50,44.44444444,24.04051321,118.4849577
Tuskegee,43,meso,50,71.42857143,52.32170672,173.7502782
Tuskegee,44,meso,50,62.5,57.06171261,169.5617126
Tuskegee,45,meso,33.33333333,50,34.36189546,117.6952288
Tuskegee,47,meso,33.33333333,52.63157895,51.02575086,136.9906631
Tuskegee,48,meso,50,66.66666667,63.14229052,179.8089572
Tuskegee,49,meso,50,57.14285714,26.71438556,133.8572427
Tuskegee,50,meso,50,76.19047619,37.22667062,163.4171468
Tuskegee,51,meso,50,63.63636364,18.40252406,132.0388877
MOT,52,meso,33.33333333,50,28.42792325,111.7612566
MOT,53,meso,33.33333333,53.84615385,27.083491,114.2629782
MOT,54,meso,50,47.82608696,34.37305652,132.1991435
MOT,55,meso,33.33333333,60.86956522,46.983534,141.1864326
MOT,56,meso,50,84.61538462,52.25361143,186.868996
MOT,57,meso,33.33333333,64.70588235,31.99597746,130.0351931
MOT,58,meso,33.33333333,50,47.25379287,130.5871262
MOT,59,meso,50,85.71428571,36.33540733,172.049693
MOT,60,meso,50,47.36842105,28.36239475,125.7308158
Talladega,61,meso,50,76.47058824,46.06104798,172.5316362
Talladega,62,meso,50,52.63157895,31.07954666,133.7111256
Talladega,63,meso,50,57.14285714,29.84349223,136.9863494
Talladega,64,meso,33.33333333,40,20.14344484,93.47677818
Talladega,65,meso,50,55,26.42419991,131.4241999
Talladega,66,meso,50,93.33333333,78.87934984,222.2126832
Talladega,67,meso,33.33333333,72.72727273,30.26692017,136.3275262
Talladega,68,meso,33.33333333,20,10.81376721,64.14710055
Talladega,69,meso,33.33333333,20,1.09694816,54.43028149
Talladega,70,meso,33.33333333,16.66666667,1.3762257,51.3762257
Talladega,71,meso,0,0,0,0
Talladega,72,meso,33.33333333,10,2.067221531,45.40055486
Talladega,74,meso,33.33333333,40,22.37471731,95.70805064
Talladega,75,meso,33.33333333,81.81818182,44.46923592,159.6207511
Talladega,76,meso,33.33333333,37.5,11.55674847,82.3900818
Talladega,77,meso,33.33333333,40,40.2682886,113.6016219
Talladega,78,meso,33.33333333,40,28.31160376,101.6449371
Talladega,79,meso,33.33333333,45.45454545,33.6502128,112.4380916
Talladega,80,meso,33.33333333,36.36363636,11.09232964,80.78929933
Talladega,81,meso,33.33333333,37.5,8.7504652,79.58379853
Talladega,82,meso,33.33333333,50,29.3560325,112.6893658
Talladega,83,meso,0,0,0,0
Talladega,84,meso,33.33333333,50,38.35386057,121.6871939
Talladega,85,meso,0,0,0,0
Talladega,86,meso,33.33333333,9.090909091,5.880892097,48.30513452
Talladega,87,meso,0,0,0,0
Talladega,88,meso,0,0,0,0
Talladega,89,meso,0,0,0,0
Talladega,91,meso,33.33333333,20,2.831274136,56.16460747
Talladega,92,meso,33.33333333,13.33333333,3.390432803,50.05709947
Talladega,93,meso,0,0,0,0
Talladega,94,meso,33.33333333,20,7.743796182,61.07712952
Talladega,95,meso,50,71.42857143,20.98695326,142.4155247
Talladega,96,meso,33.33333333,10,2.884581238,46.21791457
Talladega,97,meso,33.33333333,20,2.627789956,55.96112329
Talladega,98,meso,50,71.42857143,32.85547749,154.2840489
Talladega,99,meso,50,88.88888889,56.32297728,195.2118662
Talladega,100,meso,33.33333333,14.28571429,2.831225117,50.45027274
Talladega,101,meso,33.33333333,30,27.47221941,90.80555275
