site_id,Site,county,plot,lat ,long
OBSCR103,CR,tallapoosa,103,32.697888,-85.897592
OBSCR104,CR,tallapoosa,104,32.697792,-85.897184
OBSCR105,CR,tallapoosa,105,32.697282,-85.897096
OBSCR106,CR,tallapoosa,106,32.696648,-85.899184
OBSCR107,CR,tallapoosa,107,32.692729,-85.898566
OBSK19,Kreher,lee,19,32.664171,-85.483729
OBSK20,Kreher,lee,20,32.665051,-85.486107
OBSK21,Kreher,lee,21,32.664307,-85.485978
OBSK22,Kreher,lee,22,32.6644,-85.485672
OBSK23,Kreher,lee,23,32.664338,-85.485166
OBSM24,MOT,lee,24,32.585721,-85.417567
OBSM25,MOT,lee,25,32.585709,-85.418079
OBSM26,MOT,lee,26,32.585981,-85.418136
OBSM27,MOT,lee,27,32.586145,-85.417814
OBSM28,MOT,lee,28,32.590139,-85.418036
OBSM29,MOT,lee,29,32.589766,-85.417886
OBSM30,MOT,lee,30,32.589822,-85.417788
OBSM31,MOT,lee,31,32.590013,-85.417563
OBSM32,MOT,lee,32,32.589147,-85.41466
OBSM33,MOT,lee,33,32.589533,-85.41469
OBSM52,MOT,lee,52,32.590449,-85.41489
OBSM53,MOT,lee,53,32.59094,-85.415249
OBSM54,MOT,lee,54,32.59101,-85.414565
OBSM55,MOT,lee,55,32.589364,-85.415184
OBSM56,MOT,lee,56,32.58845,-85.414087
OBSM57,MOT,lee,57,32.58519,-85.417154
OBSM58,MOT,lee,58,32.584957,-85.416697
OBSM59,MOT,lee,59,32.580431,-85.421583
OBSM60,MOT,lee,60,32.579765,-85.421704
OBST61,Talladega,cleburne,61,33.610203,-85.661998
OBST62,Talladega,cleburne,62,33.610777,-85.661835
OBST63,Talladega,cleburne,63,33.611156,-85.661774
OBST64,Talladega,cleburne,64,33.611696,-85.661403
OBST65,Talladega,cleburne,65,33.622331,-85.650891
OBST66,Talladega,cleburne,66,33.621715,-85.650853
OBST67,Talladega,cleburne,67,33.620058,-85.649055
OBST68,Talladega,cleburne,68,33.650483,-85.635101
OBST69,Talladega,cleburne,69,33.653489,-85.633961
OBST70,Talladega,cleburne,70,33.675108,-85.641652
OBST71,Talladega,cleburne,71,33.674179,-85.641631
OBST72,Talladega,cleburne,72,33.673637,-85.640596
OBST74,Talladega,cleburne,74,33.671764,-85.636327
OBST75,Talladega,cleburne,75,33.671614,-85.636941
OBST76,Talladega,cleburne,76,33.671399,-85.637525
OBST77,Talladega,cleburne,77,33.671844,-85.637396
OBST78,Talladega,cleburne,78,33.705099,-85.595395
OBST79,Talladega,cleburne,79,33.70451,-85.595717
OBST80,Talladega,cleburne,80,33.70449,-85.596061
OBST81,Talladega,cleburne,81,33.703872,-85.596838
OBST82,Talladega,cleburne,82,33.703591,-85.597426
OBST83,Talladega,cleburne,83,33.751323,-85.589663
OBST84,Talladega,cleburne,84,33.751125,-85.590716
OBST85,Talladega,cleburne,85,33.750879,-85.591049
OBST86,Talladega,cleburne,86,33.751048,-85.591655
OBST87,Talladega,cleburne,87,33.751585,-85.590857
OBST88,Talladega,cleburne,88,33.74696,-85.598137
OBST89,Talladega,cleburne,89,33.744524,-85.598286
OBST91,Talladega,cleburne,91,33.834618,-85.623033
OBST92,Talladega,cleburne,92,33.834038,-85.623694
OBST93,Talladega,cleburne,93,33.833603,-85.623594
OBST94,Talladega,cleburne,94,33.833152,-85.624051
OBST95,Talladega,cleburne,95,33.877179,-85.550268
OBST96,Talladega,cleburne,96,33.877672,-85.550854
OBST97,Talladega,cleburne,97,33.87788,-85.55131
OBST98,Talladega,cleburne,98,33.864933,-85.550945
OBST99,Talladega,cleburne,99,33.86257,-85.547289
OBST100,Talladega,cleburne,100,33.672661,-85.635515
OBST101,Talladega,cleburne,101,33.672448,-85.635143
OBST102,Talladega,cleburne,102,33.673922,-85.632536
OBST1,Tuskegee,macon,1,32.507767,-85.581475
OBST2,Tuskegee,macon,2,32.51051,-85.58498
OBST2B,Tuskegee,macon,2.2,32.510556,-85.584453
OBST3,Tuskegee,macon,3,32.469812,-85.630726
OBST3B,Tuskegee,macon,3.2,32.46922,-85.630833
OBST6,Tuskegee,macon,6,32.453328,-85.650773
OBST7,Tuskegee,macon,7,32.478284,-85.592794
OBST7B,Tuskegee,macon,7.2,32.478145,-85.592352
OBST8,Tuskegee,macon,8,32.485969,-85.587464
OBST9,Tuskegee,macon,9,32.485336,-85.592197
OBST12,Tuskegee,macon,12,32.453156,-85.645115
OBST17,Tuskegee,macon,17,32.507706,-85.580611
OBST34,Tuskegee,macon,34,32.503464,-85.597721
OBST35,Tuskegee,macon,35,32.503138,-85.598154
OBST36,Tuskegee,macon,36,32.506848,-85.577889
OBST37,Tuskegee,macon,37,32.506665,-85.577447
OBST38,Tuskegee,macon,38,32.506273,-85.578033
OBST39,Tuskegee,macon,39,32.50491,-85.576048
OBST40,Tuskegee,macon,40,32.50284,-85.57585
OBST41,Tuskegee,macon,41,32.502525,-85.575395
OBST42,Tuskegee,macon,42,32.423223,-85.654227
OBST43,Tuskegee,macon,43,32.423725,-85.653961
OBST44,Tuskegee,macon,44,32.426381,-85.653392
OBST45,Tuskegee,macon,45,32.426627,-85.653564
OBST47,Tuskegee,macon,47,32.427702,-85.651798
OBST48,Tuskegee,macon,48,32.428284,-85.651721
OBST49,Tuskegee,macon,49,32.430006,-85.650208
OBST50,Tuskegee,macon,50,32.430502,-85.649649
OBST51,Tuskegee,macon,51,32.435596,-85.648596
