Site,Plot,Date,Species,Type,Count,Genus,Specific epithet,Scientific name,Common name,Functional,Notes
Tuskegee,1,6/6/2022,QUNI,Sapling,1,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,1,6/6/2022,QUNI,Seedling,3,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,2,6/6/2022,QUNI,Sapling,1,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,2,6/6/2022,LIST,Sapling,5,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,2,6/6/2022,CARYA,Sapling,1,Carya ,sp.,Carya sp.,hickory,mesophyte,
Tuskegee,2,6/6/2022,CARYA,Seedling,1,Carya ,sp.,Carya sp.,hickory,mesophyte,
Tuskegee,2,6/6/2022,LIST,Seedling,6,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,2.2,6/6/2022,N/A,Sapling,0,#N/A,#N/A,#N/A,#N/A,#N/A,
Tuskegee,2.2,6/6/2022,N/A,Seedling,0,#N/A,#N/A,#N/A,#N/A,#N/A,
Tuskegee,3,6/6/2022,N/A,Sapling,0,#N/A,#N/A,#N/A,#N/A,#N/A,
Tuskegee,3,6/6/2022,PITA,Seedling,6,Pinus ,taeda,Pinus taeda,loblolly pine,pine,
Tuskegee,3,6/6/2022,LIST,Seedling,19,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,3,6/6/2022,QUNI,Seedling,3,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,3.2,6/6/2022,ULAM,Sapling,2,Ulmus ,americana,Ulmus americana,American elm,mesophyte,
Tuskegee,3.2,6/6/2022,QUNI,Sapling,1,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,3.2,6/6/2022,LIST,Sapling,2,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,3.2,6/6/2022,QUNI,Seedling,3,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,6,6/6/2022,QUFA,Sapling,1,Quercus ,falcata,Quercus falcata,southern red oak,upland oak,
Tuskegee,6,6/6/2022,LIST,Sapling,3,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,6,6/6/2022,CARYA,Seedling,1,Carya ,sp.,Carya sp.,hickory,mesophyte,
Tuskegee,6,6/6/2022,QUNI,Seedling,3,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,7,6/6/2022,N/A,Sapling,0,#N/A,#N/A,#N/A,#N/A,#N/A,
Tuskegee,7,6/6/2022,QUNI,Seedling,2,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,7.2,6/6/2022,N/A,Sapling,0,#N/A,#N/A,#N/A,#N/A,#N/A,
Tuskegee,7.2,6/6/2022,LIST,Seedling,2,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,8,6/6/2022,QUMA,Seedling,1,Quercus ,marilandica,Quercus marilandica,blackjack oak,pine,
Tuskegee,8,6/6/2022,PRSE,Sapling,3,Prunus,serotina,Prunusserotina,cherry,mesophyte,
Tuskegee,8,6/6/2022,LIST,Sapling,2,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,8,6/6/2022,DIVI,Seedling,3,Diospyros ,virginiana,Diospyros virginiana,persimmon,mesophyte,
Tuskegee,8,6/6/2022,LIST,Seedling,3,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,9,6/6/2022,LIST,Sapling,1,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,9,6/6/2022,LIST,Seedling,1,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,9,6/6/2022,PRSE,Seedling,2,Prunus,serotina,Prunusserotina,cherry,mesophyte,
Tuskegee,9,6/6/2022,QUNI,Seedling,2,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,12,6/6/2022,QUFA,Seedling,1,Quercus ,falcata,Quercus falcata,southern red oak,upland oak,
Tuskegee,12,6/6/2022,LIST,Sapling,3,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,12,6/6/2022,CARYA,Seedling,1,Carya ,sp.,Carya sp.,hickory,mesophyte,
Tuskegee,12,6/6/2022,DIVI,Seedling,3,Diospyros ,virginiana,Diospyros virginiana,persimmon,mesophyte,
Tuskegee,17,6/6/2022,QUNI,Sapling,1,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,17,6/6/2022,LIST,Sapling,1,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,17,6/6/2022,QUNI,Seedling,5,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Kreher,19,5/19/2022,PRSE,Sapling,1,Prunus,serotina,Prunusserotina,cherry,mesophyte,
Kreher,19,5/19/2022,LIST,Sapling,10,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Kreher,19,5/19/2022,ACRU,Sapling,6,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Kreher,19,5/19/2022,ACRU,Seedling,14,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Kreher,19,5/19/2022,LIST,Seedling,3,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Kreher,19,5/19/2022,QUNI,Seedling,1,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Kreher,20,5/19/2022,N/A,Sapling,0,#N/A,#N/A,#N/A,#N/A,#N/A,
Kreher,20,5/19/2022,N/A,Seedling,0,#N/A,#N/A,#N/A,#N/A,#N/A,
Kreher,21,5/19/2022,N/A,Seedling,0,#N/A,#N/A,#N/A,#N/A,#N/A,
Kreher,21,5/19/2022,ULAL,Sapling,6,Ulmus ,alata,Ulmus alata,winged elm,mesophyte,
Kreher,21,5/19/2022,QUNI,Sapling,6,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Kreher,21,5/19/2022,JUVI,Sapling,1,Juniperus , virginiana,Juniperus  virginiana,eastern red cedar,mesophyte,
Kreher,22,5/19/2022,QUAL,Sapling,1,Quercus ,alba,Quercus alba,white oak,upland oak,
Kreher,22,5/19/2022,QUFA,Seedling,2,Quercus ,falcata,Quercus falcata,southern red oak,upland oak,
Kreher,22,5/19/2022,MOAL,Sapling,2,Morus,alba,Morusalba,mulberry,mesophyte,
Kreher,22,5/19/2022,QUNI,Sapling,10,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Kreher,22,5/19/2022,ACRU,Sapling,1,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Kreher,22,5/19/2022,QUNI,Seedling,3,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Kreher,23,5/19/2022,QUNI,Sapling,7,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Kreher,23,5/19/2022,LIST,Sapling,6,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Kreher,23,5/19/2022,ACRU,Sapling,1,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Kreher,23,5/19/2022,LIST,Seedling,1,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
MOT,24,5/19/2022,N/A,Sapling,0,#N/A,#N/A,#N/A,#N/A,#N/A,
MOT,24,5/19/2022,PITA,Seedling,59,Pinus ,taeda,Pinus taeda,loblolly pine,pine,
MOT,24,5/19/2022,ACRU,Seedling,4,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
MOT,24,5/19/2022,LIST,Seedling,5,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
MOT,24,5/19/2022,LITU,Seedling,1,Liriodendron ,tulipifera,Liriodendron tulipifera,tulip poplar,mesophyte,
MOT,25,5/19/2022,PITA,Seedling,21,Pinus ,taeda,Pinus taeda,loblolly pine,pine,
MOT,25,5/19/2022,QUNI,Sapling,1,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
MOT,25,5/19/2022,CARYA,Seedling,1,Carya ,sp.,Carya sp.,hickory,mesophyte,"""mak""?"
MOT,25,5/19/2022,LIST,Seedling,4,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
MOT,26,5/19/2022,PITA,Seedling,42,Pinus ,taeda,Pinus taeda,loblolly pine,pine,
MOT,26,5/19/2022,ULAL,Sapling,3,Ulmus ,alata,Ulmus alata,winged elm,mesophyte,
MOT,26,5/19/2022,LIST,Sapling,1,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
MOT,26,5/19/2022,ACRU,Seedling,1,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
MOT,26,5/19/2022,LIST,Seedling,5,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
MOT,26,5/19/2022,QUNI,Seedling,2,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
