Site,Stem_id,Plot,Date,Species,DBH,Distance,Azimuth,Genus,Specific epithet,Scientific name,Common name,Functional,secondary,tert,Notes
Tuskegee,1,1,6/6/2022,QUNI,13.3,6.3,29,Quercus ,nigra,Quercus nigra,water oak,water oak,other,Encroaching,
Tuskegee,2,1,6/6/2022,QUNI,13.4,1.7,182,Quercus ,nigra,Quercus nigra,water oak,water oak,other,Encroaching,
Tuskegee,3,1,6/6/2022,QUNI,15.2,2.8,306,Quercus ,nigra,Quercus nigra,water oak,water oak,other,Encroaching,
Tuskegee,4,1,6/6/2022,QUNI,16.9,6.3,308,Quercus ,nigra,Quercus nigra,water oak,water oak,other,Encroaching,
Tuskegee,5,1,6/6/2022,QUNI,17,5.5,251,Quercus ,nigra,Quercus nigra,water oak,water oak,other,Encroaching,
Tuskegee,6,1,6/6/2022,QUNI,17.1,5.4,243,Quercus ,nigra,Quercus nigra,water oak,water oak,other,Encroaching,
Tuskegee,7,1,6/6/2022,QUNI,17.3,6.1,94,Quercus ,nigra,Quercus nigra,water oak,water oak,other,Encroaching,
Tuskegee,8,1,6/10/2022,QUAL,32.8,6.8,287,Quercus ,alba,Quercus alba,white oak,Upland oak,Upland oak,Upland oak,
Tuskegee,9,1,6/6/2022,QUNI,43,3.6,8,Quercus ,nigra,Quercus nigra,water oak,water oak,other,Encroaching,
Tuskegee,10,1,6/6/2022,PITA,15.5,6,16,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
Tuskegee,11,1,6/6/2022,PITA,31.9,7.7,172,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
Tuskegee,12,1,6/6/2022,PITA,37.4,5.7,193,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
Tuskegee,13,1,6/6/2022,PITA,40,6.6,140,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
Tuskegee,14,1,6/10/2022,PITA,46.3,2.8,314,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
Tuskegee,15,1,6/6/2022,LIST,10.1,7.4,337,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Tuskegee,16,1,6/6/2022,LIST,10.6,3.7,170,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Tuskegee,17,1,6/6/2022,LIST,10.6,2.8,178,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Tuskegee,18,1,6/6/2022,LIST,11.2,5,94,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Tuskegee,19,1,6/10/2022,LIST,12.8,4.2,63,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Tuskegee,20,1,6/6/2022,LIST,12.9,7.2,208,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Tuskegee,21,1,6/6/2022,LIST,18.3,3.3,141,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Tuskegee,22,1,6/6/2022,LIST,21.7,5.6,332,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Tuskegee,23,1,6/10/2022,LIST,26.8,5.3,128,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Tuskegee,24,2,6/6/2022,ULAL,17.2,7.3,90,Ulmus ,alata,Ulmus alata,winged elm,other,other,Encroaching,
Tuskegee,25,2,6/6/2022,QUNI,11.5,3.9,338,Quercus ,nigra,Quercus nigra,water oak,water oak,other,Encroaching,
Tuskegee,26,2,6/6/2022,QUNI,12,4.1,299,Quercus ,nigra,Quercus nigra,water oak,water oak,other,Encroaching,
Tuskegee,27,2,6/6/2022,QUNI,13.2,7.7,348,Quercus ,nigra,Quercus nigra,water oak,water oak,other,Encroaching,
Tuskegee,28,2,6/6/2022,QUNI,15.2,7.8,36,Quercus ,nigra,Quercus nigra,water oak,water oak,other,Encroaching,
Tuskegee,29,2,6/6/2022,QUNI,30.8,3.3,117,Quercus ,nigra,Quercus nigra,water oak,water oak,other,Encroaching,
Tuskegee,30,2,6/6/2022,PIEC,14.7,5.9,122,Pinus ,echinata,Pinus echinata,shortleaf pine,Pinus,pine,Pine,
Tuskegee,31,2,6/6/2022,PIEC,27.2,4.1,81,Pinus ,echinata,Pinus echinata,shortleaf pine,Pinus,pine,Pine,
Tuskegee,32,2,6/6/2022,PIEC,29,4,290,Pinus ,echinata,Pinus echinata,shortleaf pine,Pinus,pine,Pine,
Tuskegee,33,2,6/6/2022,PIEC,46.5,7.8,350,Pinus ,echinata,Pinus echinata,shortleaf pine,Pinus,pine,Pine,
Tuskegee,34,2,6/6/2022,PITA,59.4,6.9,153,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
Tuskegee,35,2,6/6/2022,LIST,10.2,7.4,140,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Tuskegee,36,2,6/6/2022,LIST,10.8,8,344,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Tuskegee,37,2,6/6/2022,LIST,15.9,3.8,292,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Tuskegee,38,2.2,6/6/2022,PITA,20.1,6.2,158,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
Tuskegee,39,2.2,6/6/2022,PITA,40.8,5,148,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
Tuskegee,40,2.2,6/6/2022,PIEC,66,4.2,47,Pinus ,echinata,Pinus echinata,shortleaf pine,Pinus,pine,Pine,
Tuskegee,41,2.2,6/6/2022,LITU,12.9,6.1,30,Liriodendron ,tulipifera,Liriodendron tulipifera,tulip poplar,Tulip poplar,other,Encroaching,
Tuskegee,42,2.2,6/6/2022,LIST,13.4,5.1,23,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Tuskegee,43,2.2,6/6/2022,LIST,14.2,5.9,24,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Tuskegee,44,2.2,6/6/2022,LIST,17.1,7.1,231,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Tuskegee,45,2.2,6/6/2022,LIST,17.2,3.1,136,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Tuskegee,46,2.2,6/6/2022,ACRU,11.4,6.6,253,Acer ,rubrum,Acer rubrum,red maple,Red maple,other,Encroaching,
Tuskegee,47,3,6/6/2022,QUNI,11,7,,Quercus ,nigra,Quercus nigra,water oak,water oak,other,Encroaching,
Tuskegee,48,3,6/6/2022,QUNI,15.5,3.2,,Quercus ,nigra,Quercus nigra,water oak,water oak,other,Encroaching,
Tuskegee,49,3,6/6/2022,QUNI,16.9,5.1,,Quercus ,nigra,Quercus nigra,water oak,water oak,other,Encroaching,
Tuskegee,50,3,6/6/2022,QUNI,22.7,7,,Quercus ,nigra,Quercus nigra,water oak,water oak,other,Encroaching,
Tuskegee,51,3,6/6/2022,QUNI,22.8,8,,Quercus ,nigra,Quercus nigra,water oak,water oak,other,Encroaching,
Tuskegee,52,3,6/6/2022,QUNI,23.1,7,,Quercus ,nigra,Quercus nigra,water oak,water oak,other,Encroaching,
Tuskegee,53,3,6/6/2022,QUNI,25.6,5.4,,Quercus ,nigra,Quercus nigra,water oak,water oak,other,Encroaching,
Tuskegee,54,3,6/6/2022,PITA,23.6,5.9,,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
Tuskegee,55,3,6/6/2022,PITA,26.5,4.5,,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
Tuskegee,56,3,6/6/2022,PITA,28.3,3.7,,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
Tuskegee,57,3,6/6/2022,PITA,34.5,5.9,,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
Tuskegee,58,3,6/6/2022,PITA,41.7,8,,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
Tuskegee,59,3,6/6/2022,PITA,42.3,4.1,,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
Tuskegee,60,3,6/6/2022,LIST,14.3,3.8,,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Tuskegee,61,3,6/6/2022,LIST,16.2,3.6,,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Tuskegee,62,3.2,6/6/2022,ULAL,10,3.6,46,Ulmus ,alata,Ulmus alata,winged elm,other,other,Encroaching,
Tuskegee,63,3.2,6/6/2022,QUNI,14.3,4.8,168,Quercus ,nigra,Quercus nigra,water oak,water oak,other,Encroaching,
Tuskegee,64,3.2,6/6/2022,QUNI,14.8,7.8,191,Quercus ,nigra,Quercus nigra,water oak,water oak,other,Encroaching,
Tuskegee,65,3.2,6/6/2022,QUNI,15.2,7.8,341,Quercus ,nigra,Quercus nigra,water oak,water oak,other,Encroaching,
Tuskegee,66,3.2,6/6/2022,PITA,13.2,6.1,27,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
Tuskegee,67,3.2,6/6/2022,PITA,17,63,33,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
Tuskegee,68,3.2,6/6/2022,PITA,17.1,6,54,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
Tuskegee,69,3.2,6/6/2022,PIEL,36.4,6.9,352,Pinus ,elliottii,Pinus elliottii,slash pine,Pinus,pine,Pine,
Tuskegee,70,3.2,6/6/2022,PIEL,40.5,3.9,237,Pinus ,elliottii,Pinus elliottii,slash pine,Pinus,pine,Pine,
Tuskegee,71,3.2,6/6/2022,PIEL,52.7,7.1,49,Pinus ,elliottii,Pinus elliottii,slash pine,Pinus,pine,Pine,
Tuskegee,72,3.2,6/6/2022,LIST,10.6,5.2,220,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Tuskegee,73,3.2,6/6/2022,LIST,10.7,7.4,338,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Tuskegee,74,3.2,6/6/2022,LIST,11.9,1.2,93,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Tuskegee,75,3.2,6/6/2022,LIST,12.7,5.1,250,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Tuskegee,76,3.2,6/6/2022,LIST,18.9,6.3,106,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Tuskegee,77,3.2,6/6/2022,LIST,19.3,3.3,142,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Tuskegee,78,3.2,6/6/2022,LIST,21.1,3,2,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Tuskegee,79,3.2,6/6/2022,LIST,21.4,6.3,321,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Tuskegee,80,6,6/6/2022,QUFA,15.5,5.4,,Quercus ,falcata,Quercus falcata,southern red oak,Upland oak,Upland oak,Upland oak,
Tuskegee,81,6,6/6/2022,QUNI,25,3.5,,Quercus ,nigra,Quercus nigra,water oak,water oak,other,Encroaching,
Tuskegee,82,6,6/6/2022,QUNI,28.4,5.6,,Quercus ,nigra,Quercus nigra,water oak,water oak,other,Encroaching,
Tuskegee,83,6,6/6/2022,QUNI,30.4,6.7,,Quercus ,nigra,Quercus nigra,water oak,water oak,other,Encroaching,
Tuskegee,84,6,6/6/2022,QUFA,31.9,5.7,,Quercus ,falcata,Quercus falcata,southern red oak,Upland oak,Upland oak,Upland oak,
Tuskegee,85,6,6/6/2022,QUAL,37.3,4.4,,Quercus ,alba,Quercus alba,white oak,Upland oak,Upland oak,Upland oak,
Tuskegee,86,6,6/6/2022,PIEL,16.9,8.1,,Pinus ,elliottii,Pinus elliottii,slash pine,Pinus,pine,Pine,
Tuskegee,87,6,6/6/2022,PIEL,41.2,4.4,,Pinus ,elliottii,Pinus elliottii,slash pine,Pinus,pine,Pine,
Tuskegee,88,6,6/6/2022,PIEL,47.3,3.3,,Pinus ,elliottii,Pinus elliottii,slash pine,Pinus,pine,Pine,
Tuskegee,89,6,6/6/2022,LITU,37.8,7,,Liriodendron ,tulipifera,Liriodendron tulipifera,tulip poplar,Tulip poplar,other,Encroaching,
Tuskegee,90,6,6/6/2022,LIST,19.1,7.5,,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Tuskegee,91,7,6/6/2022,PITA,58.4,4.1,,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
Tuskegee,92,7,6/6/2022,PITA,59.6,7.6,,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
Tuskegee,93,7,6/6/2022,LITU,18.8,6.5,,Liriodendron ,tulipifera,Liriodendron tulipifera,tulip poplar,Tulip poplar,other,Encroaching,
Tuskegee,94,7,6/6/2022,LITU,21.4,7.5,,Liriodendron ,tulipifera,Liriodendron tulipifera,tulip poplar,Tulip poplar,other,Encroaching,
Tuskegee,95,7,6/6/2022,ACRU,16.3,3.9,,Acer ,rubrum,Acer rubrum,red maple,Red maple,other,Encroaching,
Tuskegee,96,7.2,6/6/2022,QUNI,12.5,6.6,238,Quercus ,nigra,Quercus nigra,water oak,water oak,other,Encroaching,
Tuskegee,97,7.2,6/6/2022,QUNI,33.8,3.6,288,Quercus ,nigra,Quercus nigra,water oak,water oak,other,Encroaching,
Tuskegee,98,7.2,6/6/2022,PIEL,41.4,4.2,342,Pinus ,elliottii,Pinus elliottii,slash pine,Pinus,pine,Pine,
Tuskegee,99,7.2,6/6/2022,PITA,42.5,7.5,244,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
Tuskegee,100,7.2,6/6/2022,PITA,54.4,8,147,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
Tuskegee,101,7.2,6/6/2022,PITA,61.2,4.4,47,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
Tuskegee,102,7.2,6/6/2022,LITU,17.8,4.2,138,Liriodendron ,tulipifera,Liriodendron tulipifera,tulip poplar,Tulip poplar,other,Encroaching,
Tuskegee,103,7.2,6/6/2022,LITU,19.2,6.5,33,Liriodendron ,tulipifera,Liriodendron tulipifera,tulip poplar,Tulip poplar,other,Encroaching,
Tuskegee,104,7.2,6/6/2022,LITU,21.2,6,40,Liriodendron ,tulipifera,Liriodendron tulipifera,tulip poplar,Tulip poplar,other,Encroaching,
Tuskegee,105,7.2,6/6/2022,LITU,22.9,7.5,112,Liriodendron ,tulipifera,Liriodendron tulipifera,tulip poplar,Tulip poplar,other,Encroaching,
Tuskegee,106,7.2,6/6/2022,LIST,12.5,4.8,168,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Tuskegee,107,7.2,6/6/2022,LIST,13.7,4.4,252,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Tuskegee,108,7.2,6/6/2022,LIST,15.8,5.2,184,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Tuskegee,109,7.2,6/6/2022,LIST,16.6,3.4,139,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Tuskegee,110,7.2,6/6/2022,LIST,18,5.7,146,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Tuskegee,111,7.2,6/6/2022,LIST,21.2,7.2,99,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Tuskegee,112,7.2,6/6/2022,LIST,21.3,6.4,233,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Tuskegee,113,8,6/6/2022,PIEL,11.2,5.9,,Pinus ,elliottii,Pinus elliottii,slash pine,Pinus,pine,Pine,
Tuskegee,114,8,6/6/2022,PIEL,24.3,4.4,,Pinus ,elliottii,Pinus elliottii,slash pine,Pinus,pine,Pine,
Tuskegee,115,8,6/6/2022,PIPA,31.4,7.6,,Pinus ,palustris,Pinus palustris,longleaf pine,Pinus,pine,Pine,
Tuskegee,116,8,6/6/2022,PIPA,53.8,8,,Pinus ,palustris,Pinus palustris,longleaf pine,Pinus,pine,Pine,
Tuskegee,117,8,6/6/2022,PIEL,61.2,5.4,,Pinus ,elliottii,Pinus elliottii,slash pine,Pinus,pine,Pine,
Tuskegee,118,8,6/6/2022,LITU,39.7,8,,Liriodendron ,tulipifera,Liriodendron tulipifera,tulip poplar,Tulip poplar,other,Encroaching,
Tuskegee,119,8,6/6/2022,LIST,18,5.1,,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Tuskegee,120,8,6/6/2022,LIST,37,4.4,,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Tuskegee,121,8,6/6/2022,LIST,39.3,6.2,,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Tuskegee,122,9,6/6/2022,QUNI,20.3,5.1,,Quercus ,nigra,Quercus nigra,water oak,water oak,other,Encroaching,
Tuskegee,123,9,6/6/2022,QUAL,30.4,6.7,,Quercus ,alba,Quercus alba,white oak,Upland oak,Upland oak,Upland oak,
Tuskegee,124,9,6/6/2022,QUAL,43.2,5.8,,Quercus ,alba,Quercus alba,white oak,Upland oak,Upland oak,Upland oak,
Tuskegee,125,9,6/6/2022,QUAL,44.2,5.5,,Quercus ,alba,Quercus alba,white oak,Upland oak,Upland oak,Upland oak,
Tuskegee,126,9,6/6/2022,PIEL,46.3,5.8,,Pinus ,elliottii,Pinus elliottii,slash pine,Pinus,pine,Pine,
Tuskegee,127,9,6/6/2022,PITA,51.7,7,,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
Tuskegee,128,9,6/6/2022,PIEL,58.2,6.4,,Pinus ,elliottii,Pinus elliottii,slash pine,Pinus,pine,Pine,
Tuskegee,129,9,6/6/2022,JUVI,41.2,7.8,,Juniperus , virginiana,Juniperus  virginiana,eastern red cedar,other,other,Encroaching,
Tuskegee,130,9,6/6/2022,COFL,22.4,7.9,,Cornus ,florida,Cornus florida,flowering dogwood,other,other,Encroaching,
Tuskegee,131,9,6/6/2022,ACRU,16.7,7.1,,Acer ,rubrum,Acer rubrum,red maple,Red maple,other,Encroaching,
Tuskegee,132,12,6/6/2022,QUVE,23.2,4.23,,Quercus ,velutina,Quercus velutina,black oak,Upland oak,Upland oak,Upland oak,
Tuskegee,133,12,6/6/2022,QUFA,26,5.54,,Quercus ,falcata,Quercus falcata,southern red oak,Upland oak,Upland oak,Upland oak,
Tuskegee,134,12,6/6/2022,QUFA,29.5,4.91,,Quercus ,falcata,Quercus falcata,southern red oak,Upland oak,Upland oak,Upland oak,
Tuskegee,135,12,6/6/2022,QUFA,30,4.73,,Quercus ,falcata,Quercus falcata,southern red oak,Upland oak,Upland oak,Upland oak,
Tuskegee,136,12,6/6/2022,PITA,12.8,6.77,,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
