Site,Plot,Date,Direction,Woody_0.25,Woody_1,Woody_3
Tuskegee,1,6/6/2022,N,6,1,2
Tuskegee,1,6/6/2022,SE,4,0,1
Tuskegee,1,6/6/2022,SW,2,0,3
Tuskegee,2,6/6/2022,N,5,1,1
Tuskegee,2,6/6/2022,SE,4,3,0
Tuskegee,2,6/6/2022,SW,7,1,0
Tuskegee,2.2,6/6/2022,N,2,0,1
Tuskegee,2.2,6/6/2022,SE,2,0,1
Tuskegee,2.2,6/6/2022,SW,3,0,0
Tuskegee,3,6/6/2022,N,4,2,1
Tuskegee,3,6/6/2022,SE,2,0,4
Tuskegee,3,6/6/2022,SW,6,1,1
Tuskegee,3.2,6/6/2022,N,2,1,1
Tuskegee,3.2,6/6/2022,SE,3,1,1
Tuskegee,3.2,6/6/2022,SW,4,0,1
Tuskegee,6,6/6/2022,N,3,1,1
Tuskegee,6,6/6/2022,SE,6,1,0
Tuskegee,6,6/6/2022,SW,4,1,0
Tuskegee,7,6/6/2022,N,2,2,0
Tuskegee,7,6/6/2022,SE,6,2,2
Tuskegee,7,6/6/2022,SW,4,2,2
Tuskegee,7.2,6/6/2022,N,1,0,0
Tuskegee,7.2,6/6/2022,SE,1,1,0
Tuskegee,7.2,6/6/2022,SW,5,0,3
Tuskegee,8,6/6/2022,N,2,1,2
Tuskegee,8,6/6/2022,SE,3,2,0
Tuskegee,8,6/6/2022,SW,2,0,0
Tuskegee,9,6/6/2022,N,8,2,1
Tuskegee,9,6/6/2022,SE,6,1,0
Tuskegee,9,6/6/2022,SW,2,0,2
Tuskegee,12,6/6/2022,N,2,1,0
Tuskegee,12,6/6/2022,SE,0,0,0
Tuskegee,12,6/6/2022,SW,3,2,0
Tuskegee,17,6/6/2022,N,3,1,1
Tuskegee,17,6/6/2022,SE,3,0,0
Tuskegee,17,6/6/2022,SW,2,1,1
Kreher,19,5/19/2022,N,5,0,1
Kreher,19,5/19/2022,SE,3,1,1
Kreher,19,5/19/2022,SW,2,0,1
Kreher,20,5/19/2022,N,12,2,1
Kreher,20,5/19/2022,SE,4,2,1
Kreher,20,5/19/2022,SW,17,0,5
Kreher,21,5/19/2022,N,3,0,1
Kreher,21,5/19/2022,SE,3,1,0
Kreher,21,5/19/2022,SW,3,1,1
Kreher,22,5/19/2022,N,5,0,0
Kreher,22,5/19/2022,SE,2,1,0
Kreher,22,5/19/2022,SW,3,1,1
Kreher,23,5/19/2022,N,2,1,1
Kreher,23,5/19/2022,SE,2,2,0
Kreher,23,5/19/2022,SW,1,3,0
MOT,24,5/19/2022,N,2,1,1
MOT,24,5/19/2022,SE,2,2,0
MOT,24,5/19/2022,SW,1,3,0
MOT,25,5/19/2022,N,3,1,0
MOT,25,5/19/2022,SE,0,4,0
MOT,25,5/19/2022,SW,0,2,2
MOT,26,5/19/2022,N,6,3,0
MOT,26,5/19/2022,SE,2,0,0
MOT,26,5/19/2022,SW,3,1,2
MOT,27,5/19/2022,N,1,2,1
MOT,27,5/19/2022,SE,1,2,2
MOT,27,5/19/2022,SW,0,2,0
MOT,28,5/18/2022,N,3,0,6
MOT,28,5/18/2022,SE,2,0,6
MOT,28,5/18/2022,SW,6,0,3
MOT,29,5/18/2022,N,1,3,3
MOT,29,5/18/2022,SE,0,3,0
MOT,29,5/18/2022,SW,2,0,0
