Site,Plot,functional_group,N,plot_total
CR,103,mesophyte,6,11
CR,104,mesophyte,6,15
CR,105,mesophyte,6,12
CR,106,mesophyte,1,10
CR,107,mesophyte,2,17
CR,103,pyrophyte,5,11
CR,104,pyrophyte,5,15
CR,105,pyrophyte,3,12
CR,106,pyrophyte,7,10
CR,107,pyrophyte,12,17
CR,103,uo,0,11
CR,104,uo,4,15
CR,105,uo,3,12
CR,106,uo,2,10
CR,107,uo,3,17
Kreher,19,mesophyte,10,18
Kreher,20,mesophyte,12,16
Kreher,21,mesophyte,12,19
Kreher,22,mesophyte,12,15
Kreher,23,mesophyte,11,15
Kreher,19,pyrophyte,6,18
Kreher,20,pyrophyte,4,16
Kreher,21,pyrophyte,7,19
Kreher,22,pyrophyte,3,15
Kreher,23,pyrophyte,2,15
Kreher,19,uo,2,18
Kreher,20,uo,0,16
Kreher,21,uo,0,19
Kreher,22,uo,0,15
Kreher,23,uo,2,15
MOT,24,mesophyte,10,15
MOT,25,mesophyte,7,13
MOT,26,mesophyte,14,15
MOT,27,mesophyte,14,16
MOT,28,mesophyte,7,18
MOT,29,mesophyte,7,15
MOT,30,mesophyte,14,20
MOT,31,mesophyte,9,17
MOT,32,mesophyte,23,29
MOT,33,mesophyte,23,32
MOT,52,mesophyte,7,14
MOT,53,mesophyte,7,13
MOT,54,mesophyte,11,23
MOT,55,mesophyte,14,23
MOT,56,mesophyte,11,13
MOT,57,mesophyte,11,17
MOT,58,mesophyte,5,10
MOT,59,mesophyte,12,14
MOT,60,mesophyte,9,19
MOT,24,pyrophyte,5,15
MOT,25,pyrophyte,6,13
MOT,26,pyrophyte,1,15
MOT,27,pyrophyte,1,16
MOT,28,pyrophyte,10,18
MOT,29,pyrophyte,5,15
MOT,30,pyrophyte,4,20
MOT,31,pyrophyte,8,17
MOT,32,pyrophyte,2,29
MOT,33,pyrophyte,6,32
MOT,52,pyrophyte,4,14
MOT,53,pyrophyte,4,13
MOT,54,pyrophyte,12,23
MOT,55,pyrophyte,6,23
MOT,56,pyrophyte,2,13
MOT,57,pyrophyte,2,17
MOT,58,pyrophyte,1,10
MOT,59,pyrophyte,2,14
MOT,60,pyrophyte,10,19
MOT,24,uo,0,15
MOT,25,uo,0,13
MOT,26,uo,0,15
MOT,27,uo,1,16
MOT,28,uo,1,18
MOT,29,uo,3,15
MOT,30,uo,2,20
MOT,31,uo,0,17
MOT,32,uo,4,29
MOT,33,uo,3,32
MOT,52,uo,3,14
MOT,53,uo,2,13
MOT,54,uo,0,23
MOT,55,uo,3,23
MOT,56,uo,0,13
MOT,57,uo,4,17
MOT,58,uo,4,10
MOT,59,uo,0,14
MOT,60,uo,0,19
Talladega,61,mesophyte,13,17
Talladega,62,mesophyte,10,19
Talladega,63,mesophyte,8,14
Talladega,64,mesophyte,6,15
Talladega,65,mesophyte,11,20
Talladega,66,mesophyte,14,15
Talladega,67,mesophyte,8,11
Talladega,68,mesophyte,2,10
Talladega,69,mesophyte,1,5
Talladega,70,mesophyte,1,6
Talladega,71,mesophyte,0,21
Talladega,72,mesophyte,1,10
Talladega,74,mesophyte,4,10
Talladega,75,mesophyte,9,11
Talladega,76,mesophyte,3,8
Talladega,77,mesophyte,4,10
Talladega,78,mesophyte,2,5
Talladega,79,mesophyte,5,11
Talladega,80,mesophyte,4,11
Talladega,81,mesophyte,3,8
Talladega,82,mesophyte,5,10
Talladega,83,mesophyte,0,8
Talladega,84,mesophyte,3,6
Talladega,85,mesophyte,0,7
Talladega,86,mesophyte,1,11
Talladega,87,mesophyte,0,7
Talladega,88,mesophyte,0,5
Talladega,89,mesophyte,0,4
Talladega,91,mesophyte,2,10
Talladega,92,mesophyte,2,15
Talladega,93,mesophyte,0,12
Talladega,94,mesophyte,2,10
Talladega,95,mesophyte,5,7
Talladega,96,mesophyte,1,10
Talladega,97,mesophyte,2,10
Talladega,98,mesophyte,5,7
Talladega,99,mesophyte,8,9
Talladega,100,mesophyte,1,7
Talladega,101,mesophyte,3,10
Talladega,102,mesophyte,2,7
