Site,Plot,functional_group,ba
Tuskegee,1,mesophyte,99.9100842
Tuskegee,1,pyrophyte,108.2128177
Tuskegee,1,uo,18.1896936
Tuskegee,2,mesophyte,40.56938744
Tuskegee,2,pyrophyte,126.595087
Tuskegee,2,uo,0
Tuskegee,2.2,mesophyte,21.40176787
Tuskegee,2.2,pyrophyte,108.6243447
Tuskegee,2.2,uo,0
Tuskegee,3,mesophyte,56.43515426
Tuskegee,3,pyrophyte,114.6075473
Tuskegee,3,uo,0
Tuskegee,3.2,mesophyte,49.32219685
Tuskegee,3.2,pyrophyte,109.867041
Tuskegee,3.2,uo,0
Tuskegee,6,mesophyte,70.15519865
Tuskegee,6,pyrophyte,71.35511923
Tuskegee,6,uo,44.79032829
Tuskegee,7,mesophyte,18.21082789
Tuskegee,7,pyrophyte,117.7217276
Tuskegee,7,uo,0
Tuskegee,7.2,mesophyte,85.45507366
Tuskegee,7.2,pyrophyte,172.8786798
Tuskegee,7.2,uo,0
Tuskegee,8,mesophyte,81.38528526
Tuskegee,8,pyrophyte,141.0379242
Tuskegee,8,uo,0
Tuskegee,9,mesophyte,48.86552706
Tuskegee,9,pyrophyte,138.7055437
Tuskegee,9,uo,80.20954232
Tuskegee,12,pyrophyte,67.29801141
Tuskegee,12,uo,50.46006715
Tuskegee,12,mesophyte,0
Tuskegee,17,mesophyte,50.69017732
Tuskegee,17,pyrophyte,146.8091076
Tuskegee,17,uo,0
Kreher,19,mesophyte,122.7983536
Kreher,19,pyrophyte,121.0266237
Kreher,19,uo,50.66583062
Kreher,20,mesophyte,78.61246612
Kreher,20,pyrophyte,176.3352356
Kreher,20,uo,0
Kreher,21,mesophyte,79.86260177
Kreher,21,pyrophyte,126.5120715
Kreher,21,uo,0
Kreher,22,mesophyte,104.9464706
Kreher,22,pyrophyte,67.90938421
Kreher,22,uo,0
Kreher,23,mesophyte,77.23451026
Kreher,23,pyrophyte,101.3818763
Kreher,23,uo,44.57137702
MOT,24,mesophyte,74.23496243
MOT,24,pyrophyte,131.9385124
MOT,24,uo,0
MOT,25,mesophyte,40.47555118
MOT,25,pyrophyte,144.4065613
MOT,25,uo,0
MOT,26,mesophyte,54.91551411
MOT,26,pyrophyte,76.35126592
MOT,26,uo,0
MOT,27,mesophyte,88.43044386
MOT,27,pyrophyte,42.77732922
MOT,27,uo,3.55478796
MOT,28,mesophyte,73.22609585
MOT,28,pyrophyte,129.4030736
MOT,28,uo,8.635640895
MOT,29,mesophyte,23.99722804
MOT,29,pyrophyte,46.90882975
MOT,29,uo,56.05828756
MOT,30,mesophyte,80.51201631
MOT,30,pyrophyte,75.20916876
MOT,30,uo,25.59379701
MOT,31,mesophyte,42.91461758
MOT,31,pyrophyte,136.2223489
MOT,31,uo,0
MOT,32,mesophyte,31.53625277
MOT,32,pyrophyte,18.32309325
MOT,32,uo,61.22858082
MOT,33,mesophyte,56.43008203
MOT,33,pyrophyte,73.56965491
MOT,33,uo,21.95988226
Tuskegee,34,mesophyte,55.50592169
Tuskegee,34,pyrophyte,133.377335
Tuskegee,34,uo,0
Tuskegee,35,mesophyte,49.67471685
Tuskegee,35,pyrophyte,108.4848583
Tuskegee,35,uo,0
Tuskegee,36,mesophyte,183.6145622
Tuskegee,36,pyrophyte,81.3507941
Tuskegee,36,uo,0
Tuskegee,37,mesophyte,63.79986335
Tuskegee,37,pyrophyte,103.7162857
