Site,Stem_id,Plot,Date,Species,DBH,Distance,Azimuth,Genus,Specific epithet,Scientific name,Common name,functional_group
Talladega,1150,99,7/8/2022,ULAL,12.2,2.9,123,Ulmus ,alata,Ulmus alata,winged elm,mesophyte
Talladega,1151,99,7/8/2022,ULAL,17,1.7,190,Ulmus ,alata,Ulmus alata,winged elm,mesophyte
Talladega,874,67,7/5/2022,ULAL,11,5.5,135,Ulmus ,alata,Ulmus alata,winged elm,mesophyte
Tuskegee,579,48,6/2/2022,ULAL,10.8,7,333,Ulmus ,alata,Ulmus alata,winged elm,mesophyte
Tuskegee,580,48,6/2/2022,ULAL,23.9,3.3,126,Ulmus ,alata,Ulmus alata,winged elm,mesophyte
Tuskegee,474,38,6/7/2022,ULAL,14,6.3,38,Ulmus ,alata,Ulmus alata,winged elm,mesophyte
Tuskegee,473,38,6/7/2022,ULAL,11.2,5.1,398,Ulmus ,alata,Ulmus alata,winged elm,mesophyte
MOT,282,27,5/19/2022,ULAL,11,5.7,31,Ulmus ,alata,Ulmus alata,winged elm,mesophyte
MOT,268,26,5/19/2022,ULAL,17.6,7.6,352,Ulmus ,alata,Ulmus alata,winged elm,mesophyte
MOT,267,26,5/19/2022,ULAL,14.4,5.9,201,Ulmus ,alata,Ulmus alata,winged elm,mesophyte
Kreher,224,23,5/19/2022,ULAL,15.5,5.3,351,Ulmus ,alata,Ulmus alata,winged elm,mesophyte
Kreher,226,23,5/19/2022,ULAL,29.7,5.1,349,Ulmus ,alata,Ulmus alata,winged elm,mesophyte
Kreher,225,23,5/19/2022,ULAL,23.8,3.3,17,Ulmus ,alata,Ulmus alata,winged elm,mesophyte
Tuskegee,62,3.2,6/6/2022,ULAL,10,3.6,46,Ulmus ,alata,Ulmus alata,winged elm,mesophyte
Tuskegee,24,2,6/6/2022,ULAL,17.2,7.3,90,Ulmus ,alata,Ulmus alata,winged elm,mesophyte
Talladega,875,67,7/5/2022,QUNI,10.2,186,,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,743,59,5/19/2022,QUNI,18.2,7.9,5,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,741,59,5/19/2022,QUNI,11,7.5,157,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,740,59,5/19/2022,QUNI,10.9,6.4,209,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,742,59,5/19/2022,QUNI,13,6,331,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,744,59,5/19/2022,QUNI,20.9,5.1,350,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,748,59,5/19/2022,QUNI,26.5,4.8,236,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,746,59,5/19/2022,QUNI,23.2,3.7,156,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,747,59,5/19/2022,QUNI,25.9,2.9,338,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,745,59,5/19/2022,QUNI,22.8,2.6,130,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,700,56,5/18/2022,QUNI,30.3,5.2,98,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,655,54,5/18/2022,QUNI,11.4,8,130,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,656,54,5/18/2022,QUNI,17.2,7.4,241,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,654,54,5/18/2022,QUNI,10.2,6,112,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,642,53,5/18/2022,QUNI,20.9,5.4,351,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,627,52,5/18/2022,QUNI,18.2,7.4,347,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,588,49,6/2/2022,QUNI,41.2,6.2,101,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,581,48,6/2/2022,QUNI,14.1,7.4,226,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,582,48,6/2/2022,QUNI,49.5,7.1,335,Quercus ,nigra,Quercus nigra,water oak,mesophyte
