plot,location,thin_lvl,burn_season
1,1,low,late
1,2,low,early
1,3,low,growing
1,4,low,control
2,1,med,growing
2,2,med,late
2,3,med,early
2,4,med,control
3,1,high,early
3,2,high,late
3,3,high,control
3,4,high,growing
4,1,low,control
4,2,low,late
4,3,low,growing
4,4,low,early
5,1,med,early
5,2,med,control
5,3,med,growing
5,4,med,late
6,1,high,growing
6,2,high,early
6,3,high,control
6,4,high,late
7,1,low,late
7,2,low,growing
7,3,low,control
7,4,low,early
8,1,control,growing
8,2,control,control
8,3,control,early
8,4,control,late
9,1,high,early
9,2,high,late
9,3,high,control
9,4,high,growing
10,1,control,growing
10,2,control,control
10,3,control,early
10,4,control,late
11,1,med,control
11,2,med,late
11,3,med,early
11,4,med,growing
